ID,Archive,Year,Type,Topic,Origin,Destination,Author,Addressee,Keywords
PS4000,Archivo Histórico Nacional,1542,familiar,petición,"España, Toledo, Ocaña","España, Salamanca",Pedro López de la Cañada,Anónimo129,"Correo,Correspondencia,Escritura cifrada,Justicia,Prisión,Violación de correspondencia"
PS4001,Archivo Histórico Nacional,1542,familiar,instrucciones,"España, Toledo, Ocaña","España, Salamanca",Pedro López de la Cañada,Diego Martínez de la Cañada,"Correspondencia,Defensa,Escritura cifrada,Justicia,Prisión"
PS4002,Archivo Histórico Nacional,1542,familiar,instrucciones,"España, Toledo, Ocaña","España, Salamanca",Pedro López de la Cañada,Diego Martínez de la Cañada,"Correo,Correspondencia,Escritura cifrada,Justicia,Prisión,Violación de correspondencia"
PS4003,Archivo Histórico Nacional,1542,familiar,instrucciones,"España, Toledo, Ocaña","España, Salamanca",Pedro López de la Cañada,Diego Martínez de la Cañada,"Correspondencia,Defensa,Escritura cifrada,Justicia,Prisión"
PS4004,Archivo Histórico Nacional,1542,familiar,instrucciones,"España, Toledo, Ocaña","España, Salamanca",Pedro López de la Cañada,Anónima35,"Correspondencia,Escritura cifrada,Justicia,Prisión,Suicidio,Violación de correspondencia"
PS4005,Archivo Histórico Nacional,1542,familiar,petición,"España, Toledo, Ocaña","España, Salamanca",Pedro López de la Cañada,Anónimo129,"Correo,Correspondencia,Defensa,Escritura cifrada,Justicia,Prisión"
PS4006,Archivo Histórico Nacional,1542,familiar,petición,"España, Toledo, Ocaña","España, Salamanca",Pedro López de la Cañada,Anónima35,"Correspondencia,Defensa,Escritura cifrada,Justicia,Prisión,Violación de correspondencia"
PS4007,Archivo Histórico Nacional,1526,amor,expresión de amor,"España, La Rioja, Navarrete","España, La Rioja, Logroño",Antonio de Medrano,Juana López,"Amor,Cita,Cortejo"
PS4008,Archivo Histórico Nacional,1526,amor,expresión de amor,"España, La Rioja, Navarrete","España, La Rioja, Logroño",Antonio de Medrano,Juana López,"Amor,Cortejo,Misticismo"
PS4009,Archivo Histórico Nacional,1526,amor,expresión de amor,"España, La Rioja, Navarrete","España, La Rioja, Logroño",Antonio de Medrano,Juana López,"Amor,Cortejo,Misticismo"
PS4010,Archivo Histórico Nacional,1526,particular,consejo,"España, La Rioja, Logroño","España, La Rioja, Navarrete",Rodrigo de Cabredo,Antonio de Medrano,"Absolución,Apelación,Clero,Documentación,Excomunión,Justicia"
PS4011,Archivo Histórico Nacional,1526,particular,información,"España, La Rioja, Logroño","España, La Rioja, Navarrete",Juan de la Torre,Álvaro Morán,"Absolución,Apelación,Clero,Excomunión,Justicia"
PS4012,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Bebidas,Combustibles,Ropa,Textiles"
PS4013,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Juegos,Plantas medicinales,Remedios"
PS4014,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Biblia,Juegos,Música,Instrumentos,Ropa"
PS4015,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Combustibles,Menaje,Plantas medicinales,Ropa"
PS4016,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Bebidas,Menaje"
PS4017,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Bebidas,Menaje"
PS4018,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Bebidas,Menaje,Plantas medicinales"
PS4019,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Mobiliario,Plantas medicinales,Remedios"
PS4020,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Bebidas,Plantas medicinales,Remedios"
PS4021,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Bebidas"
PS4022,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Combustibles,Plantas medicinales,Remedios"
PS4023,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Escritura,Instrumentos,Menaje,Plantas medicinales,Ropa"
PS4024,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Mobiliario,Ropa"
PS4025,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Ropa"
PS4026,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Combustibles,Plantas medicinales,Remedios,Ropa"
PS4027,Archivo Histórico Nacional,1530,familiar,petición,"España, Toledo",S.l.,Antonio de Medrano,Bernardino Díaz de Medrano,"Alimentos,Bebidas,Combustibles,Escritura,Instrumentos,Juegos"
