Sor	Señor	NP00000	señor
	.	Fp	.
escribires	Escribiréis	VMIF2P0	escribir
con	con	SPS00	con
este	este	DD0MS0	este
mensagero	mensajero	NCMS000	mensajero
una	una	DI0FS0	uno
carta	carta	NCFS000	carta
diziendo	diciendo	VMG0000	decir
en	en	SPS00	en
ella	ella	PP3FS000	él
que	que	CS	que
no	no	RN	no
tenga	tenga	VMSP0S0	tener
pena	pena	NCFS000	pena
por	por	SPS00	por
lo	lo	DA0NS0	el
de	de	SPS00	de
aca	acá	RG	acá
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
beniendo	viniendo	VMG0000	venir
la	la	DA0FS0	el
çitatoria	citatoria	NCFS000	citatoria
luego	luego	RG	luego
yra	irá	VMIF3S0	ir
el	el	DA0MS0	el
despacho	despacho	NCMS000	despacho
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
aveis	habéis	VMIP2P0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
	,	Fc	,
sor	señor	NP00000	señor
	,	Fc	,
porque	porque	CS	porque
agan	hagan	VMSP3P0	hacer
Aca	acá	RG	acá
por	por	SPS00	por
mi	mí	PP1CSO00	mí
mientra	mientras	RG	mientras
vos	vos	PP2CS000	vos
	,	Fc	,
sor	señor	NP00000	señor
	,	Fc	,
y	y	CC	y
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
venis	venís	VMIP2P0	venir
	.	Fp	.
porque	Porque	CS	porque
no	no	RN	no
se	se	P00CN000	se
escusa	excusa	VMIP3S0	excusar
va	vuestra	DP2FSP	vuestro
venida	venida	NCFS000	venida
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
para	para	SPS00	para
que	que	CS	que
salga	salga	VMSP0S0	salir
de	de	SPS00	de
aqui	aquí	RG	aquí
	.	Fp	.
porque	Porque	CS	porque
en	en	SPS00	en
lo	lo	DA0NS0	el
de	de	SPS00	de
la	la	DA0FS0	el
corona	Corona	NP00000	corona
estoy	estoy	VMIP1S0	estar
para	para	SPS00	para
sentenziar	sentenciar	VMN0000	sentenciar
	,	Fc	,
que	que	CS	que
dios	Dios	NP00000	dios
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
mui	muy	RQ	muy
asenaladas	señaladas	VMP00PF	señalar
mds	mercedes	NCFP000	merced
en	en	SPS00	en
aver	haber	VAN0000	haber
acaallado	acallado	VMP0000	acallar
tres	tres	Z	3
o	o	CC	o
quatro	cuatro	Z	4
testigos	testigos	NCCP000	testigo
para	para	SPS00	para
provalla	probarla	VMN0000+PP3FSA00	probar+lo
	,	Fc	,
anque	aunque	CS	aunque
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
costado	costado	VMP0000	costar
arto	harto	RG	harto
	.	Fp	.
y	Y	CC	y
mira	mirad	VMM02P0	mirar
que	que	CS	que
	,	Fc	,
si	si	CS	si
no	no	RN	no
fuere	fuere	VSSF0S0	ser
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
	,	Fc	,
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
escrivays	escribáis	VMSP2P0	escribir
otra	otra	PI0FS000	otro
si	si	CS	si
no	no	RN	no
fuere	fuere	VSSF0S0	ser
d	de	SPS00	de
estas	estas	DD0FP0	este
zifras	cifras	NCFP000	cifra
	,	Fc	,
porq	porque	CS	porque
me	me	PP1CS000	me
las	las	PP3FPA00	lo
leen	leen	VMIP3P0	leer
	,	Fc	,
como	como	PA000000	como
dicho	dicho	VMP00SM	decir
tengo	tengo	VMIP1S0	tener
	.	Fp	.
a	A	SPS00	a
luzia	Lucía	NP00000	lucía
me	me	PP1CS000	me
encomendad	encomendad	VMM02P0	encomendar
mucho	mucho	RQ	mucho
	,	Fc	,
y	y	CC	y
que	que	CS	que
aga	haga	VMSP0S0	hacer
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
	,	Fc	,
como	como	PA000000	como
yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
espero	espero	VMIP1S0	esperar
	,	Fc	,
para	para	SPS00	para
que	que	CS	que
salga	salga	VMSP0S0	salir
de	de	SPS00	de
aqui	aquí	RG	aquí
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
aviso	aviso	NCMS000	aviso
	,	Fc	,
sor	señor	NP00000	señor
	,	Fc	,
que	que	CS	que
os	os	PP2CP000	os
envio	envío	VMIP1S0	enviar
a	a	SPS00	a
dezir	decir	VMN0000	decir
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
en	en	SPS00	en
todas	todas	DI0FP0	todo
maneras	maneras	NCFP000	manera
	,	Fc	,
porqu	porque	CS	porque
es	es	VSIP3S0	ser
el	el	DA0MS0	el
toque	toque	NCMS000	toque
de	de	SPS00	de
todo	todo	PI0MS000	todo
para	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
m	me	PP1CS000	me
enviastes	enviastes	VMIS2P0	enviar
a	a	SPS00	a
dezir	decir	VMN0000	decir
del	del	SPS00+DA0MS0	de+el
provisor	provisor	NCMS000	provisor
y	y	CC	y
para	para	SPS00	para
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	.	Fc	,
porqu	Porque	CS	porque
estando	estando	VMG0000	estar
alli	allí	RG	allí
	,	Fc	,
como	como	PA000000	como
dicho	dicho	VMP00SM	decir
tengo	tengo	VMIP1S0	tener
	,	Fc	,
se	se	P00CN000	se
ara	hará	VMIF3S0	hacer
mui	muy	RQ	muy
vien	bien	RG	bien
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
alli	allí	RG	allí
	,	Fc	,
anque	aunque	CS	aunque
le	le	PP3CSD00	le
notefiquen	notifiquen	VMSP3P0	notificar
la	la	DA0FS0	el
zitatoria	citatoria	NCFS000	citatoria
