Hermano	Hermano	NP00000	hermano
	.	Fp	.
ebyenos	Envíenos	VMSP0S0+PP1CP000	enviar+nos
azetunas	aceitunas	NCFP000	aceituna
,	,	Fc	,
y	y	CC	y
un	un	DI0MS0	uno
poco	poco	NCMS000	poco
d	de	SPS00	de
estorac	estoraque	NCMS000	estoraque
,	,	Fc	,
y	y	CC	y
un	un	DI0MS0	uno
poco	poco	NCMS000	poco
de	de	SPS00	de
queso	queso	NCMS000	queso
viejo	viejo	AQ0MS0	viejo
,	,	Fc	,
y	y	CC	y
un	un	DI0MS0	uno
rreal	real	NCMS000	real
q	que	PR0CN000	que
dy	di	VMIS1S0	dar
pa	para	SPS00	para
unos	unos	DI0MP0	uno
naypes	naipes	NCMP000	naipe
	:	Fd	:
agamelos	hágamelos	VMSP0S0+PP1CS000+PP3MPA00	hacer+me+lo
ebyar	enviar	VMN0000	enviar
y	y	CC	y
el	el	DA0MS0	el
medio	medio	NCMS000	medio
e	en	SPS00	en
blancas	blancas	NCFP000	blanca
.	.	Fp	.
y	Y	CC	y
ebialle	enviarle	VMN0000+PP3CSD00	enviar+le
emos	hemos	VAIP1P0	haber
estos	estos	DD0MP0	este
otros	otros	DI0MP0	otro
naypes	naipes	NCMP000	naipe
	.	Fp	.
y	Y	CC	y
ebyeme	envíeme	VMSP0S0+PP1CS000	enviar+me
syenpre	siempre	RG	siempre
artos	hartos	DI0MP0	harto
uebos	huevos	NCMP000	huevo
	,	Fc	,
porq	porque	CS	porque
como	como	VMIP1S0	comer
mal	mal	RG	mal
.	.	Fp	.
