ebienos	Envíenos	VMSP0S0+PP1CP000	enviar+nos
narajas	naranjas	NCCS000	naranja
,	,	Fc	,
e	y	CC	y
un	un	DI0MS0	uno
par	par	NCMS000	par
de	de	SPS00	de
cañones	cañones	NCMP000	cañón
,	,	Fc	,
y	y	CC	y
unos	unos	DI0MP0	uno
naypes	naipes	NCMP000	naipe
,	,	Fc	,
y	y	CC	y
una	una	DI0FS0	uno
vyuela	vihuela	NCFS000	vihuela
	;	Fx	;
y	y	CC	y
luego	luego	RG	luego
	,	Fc	,
si	si	CS	si
es	es	VSIP3S0	ser
posible	posible	AQ0CS0	posible
,	.	Fp	.
y	Y	CC	y
pida	pida	VMSP0S0	pedir
una	una	DI0FS0	uno
blibia	biblia	NCFS000	biblia
a	a	SPS00	a
algunos	alguno	PI0MS000	alguno
de	de	SPS00	de
sus	sus	DP3CP0	su
amigos	amigos	NCMP000	amigo
.	.	Fp	.
