señor	Señor	NP00000	señor
	.	Fp	.
por	Por	SPS00	por
me	me	PP1CS000	me
hazer	hacer	VMN0000	hacer
md	merced	NCFS000	merced
	,	Fc	,
q	que	CS	que
las	las	DA0FP0	el
çenas	cenas	NCFP000	cena
de	de	SPS00	de
aquy	aquí	RG	aquí
adelante	adelante	RG	adelante
sea	sean	VSSP3P0	ser
como	como	PA000000	como
la	la	DA0FS0	el
cazuela	cazuela	NCFS000	cazuela
del	del	SPS00+DA0MS0	de+el
lunes	lunes	NCMN000	lunes
o	o	CC	o
alguna	alguna	DI0FS0	alguno
ternera	ternera	NCFS000	ternero
asada	asada	VMP00SF	asar
	.	Fp	.
y	Y	CC	y
carnero	carnero	NCMS000	carnero
adobado	adobado	VMP00SM	adobar
no	no	RN	no
me	me	PP1CS000	me
lo	lo	PP3MSA00	lo
ebye	envíe	VMSP0S0	enviar
solo	solo	AQ0MS0	solo
	,	Fc	,
q	que	CS	que
como	como	VMIP1S0	comer
muy	muy	RQ	muy
poquyto	poquito	RQ	poquito
d	de	SPS00	de
el	él	PP3MS000	él
	.	Fp	.
ebye	Envíe	VMSP0S0	enviar
un	un	DI0MS0	uno
poco	poco	NCMS000	poco
de	de	SPS00	de
asado	asado	NCMS000	asado
con	con	SPS00	con
l	él	PP3MS000	él
quando	cuando	PA000000	cuando
lo	lo	PP3MSA00	lo
ebyare	enviare	VMSF0S0	enviar
.	.	Fp	.
y	Y	CC	y
tanbye	también	RG	también
me	me	PP1CS000	me
puede	puede	VMIP3S0	poder
ebyar	enviar	VMN0000	enviar
algund	algún	DI0MS0	alguno
pastelico	pastelico	NCMS00D	pastel
	,	Fc	,
o	o	CC	o
algund	algún	DI0MS0	alguno
quartillo	cuartillo	NCMS000	cuartillo
de	de	SPS00	de
ave	ave	NCFS000	ave
o	o	CC	o
un	un	DI0MS0	uno
poco	poco	NCMS000	poco
de	de	SPS00	de
cabryto	cabrito	NCMS000	cabrito
	.	Fp	.
y	Y	CC	y
querya	quería	VMII0S0	querer
q	que	CS	que
conprase	comprase	VMSI0S0	comprar
una	una	DI0FS0	uno
vota	bota	NCFS000	bota
mayor	mayor	AQ0CS0	mayor
para	para	SPS00	para
vyno	vino	NCMS000	vino
tynto	tinto	AQ0MS0	tinto
	,	Fc	,
para	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
efriase	enfriase	VMSI0S0	enfriar
aca	acá	RG	acá
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
vynagre	vinagre	NCMS000	vinagre
q	que	PR0CN000	que
ahora	ahora	RG	ahora
nos	nos	PP1CP000	nos
ebyo	envió	VMIS3S0	enviar
no	no	RN	no
vale	vale	VMIP3S0	valer
nada	nada	PI0NN00N	nada
.	.	Fp	.
y	Y	CC	y
ebyenos	envíenos	VMSP0S0+PP1CP000	enviar+nos
un	un	DI0MS0	uno
par	par	NCMS000	par
de	de	SPS00	de
jarras	jarras	NCFP000	jarra
	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
nos	nos	PP1CP000	nos
an	han	VAIP3P0	haber
quebrado	quebrado	VMP0000	quebrar
las	las	DA0FP0	el
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
ebyo	envió	VMIS3S0	enviar
	(	Fba	(
digo	digo	VMIP1S0	decir
las	las	DA0FP0	el
blancas	blancas	AQ0FP0	blanca
.	)	Fbt	)
	.	Fp	.
y	Y	CC	y
este	esté	VMSP0S0	estar
bueno	bueno	AQ0MS0	bueno
pa	para	SPS00	para
q	que	CS	que
nos	nos	PP1CP000	nos
pueda	pueda	VMSP0S0	poder
bye	bien	RG	bien
pver	proveer	VMN0000	proveer
	.	Fp	.
ebyenos	Envíenos	VMSP0S0+PP1CP000	enviar+nos
un	un	DI0MS0	uno
manojo	manojo	NCMS000	manojo
de	de	SPS00	de
rromero	romero	NCMS000	romero
vde	verde	AQ0CS0	verde
o	o	CC	o
	,	Fc	,
sy	si	CS	si
no	no	RN	no
	,	Fc	,
sequo	seco	AQ0MS0	seco
	.	Fp	.
