señora	Señora	NP00000	señor
mia	mía	DP1FSS	mío
y	y	CC	y
tan	tan	RC	tan
cruel	cruel	AQ0CS0	cruel
	.	Fp	.
ya	Ya	RG	ya
no	no	RN	no
ay	hay	VMIP3S0	haber
cosa	cosa	NCFS000	cosa
e	en	SPS00	en
e	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
q	que	PR0CN000	que
me	me	PP1CS000	me
pueda	pueda	VMSP0S0	poder
dar	dar	VMN0000	dar
contento	contento	NCMS000	contento
	,	Fc	,
pues	pues	CS	pues
q	que	CS	que
Vm	VM	NP00000	VM
	,	Fc	,
q	que	PR0CN000	que
me	me	PP1CS000	me
lo	lo	PP3MSA00	lo
podia	podía	VMII0S0	poder
dar	dar	VMN0000	dar
	,	Fc	,
no	no	RN	no
a	ha	VAIP3S0	haber
querido	querido	VMP0000	querer
con	con	SPS00	con
haçerme	hacerme	VMN0000+PP1CS000	hacer+me
una	una	DI0FS0	uno
md	merced	NCFS000	merced
Por	por	SPS00	por
mi	mí	PP1CSO00	mí
tan	tan	RC	tan
deseada	deseada	VMP00SF	desear
	.	Fp	.
y	Y	CC	y
ansi	así	RG	así
solo	sólo	RG	sólo
me	me	PP1CS000	me
qda	queda	VMIP3S0	quedar
un	un	DI0MS0	uno
consuelo	consuelo	NCMS000	consuelo
	,	Fc	,
y	y	CC	y
es	es	VSIP3S0	ser
dejarme	dejarme	VMN0000+PP1CS000	dejar+me
morir	morir	VMN0000	morir
como	como	PA000000	como
El	el	DA0MS0	el
mas	más	RC	más
desdichado	desdichado	AQ0MS0	desdichado
de	de	SPS00	de
quantos	cuantos	PR0MP000	cuanto
naçieron	nacieron	VMIS3P0	nacer
	,	Fc	,
pues	pues	CS	pues
mi	mi	DP1CSS	mi
bentura	ventura	NCFS000	ventura
asi	así	RG	así
lo	lo	PP3CNA00	lo
quiere	quiere	VMIP3S0	querer
	.	Fp	.
q	Que	CS	que
ubiese	hubiese	VMSI0S0	haber
yo	yo	PP1CSN00	yo
de	de	SPS00	de
amar	amar	VMN0000	amar
a	a	SPS00	a
quien	quien	PR0CS000	quien
tan	tan	RC	tan
poco	poco	RQ	poco
se	se	P00CN000	se
le	le	PP3CSD00	le
da	da	VMIP3S0	dar
por	por	SPS00	por
mi	mí	PP1CSO00	mí
	,	Fc	,
Pues	pues	CS	pues
a	a	SPS00	a
fee	fe	NCFS000	fe
q	que	CS	que
no	no	RN	no
lo	lo	PP3CNA00	lo
mereçe	merece	VMIP3S0	merecer
mi	mi	DP1CSS	mi
deseo	deseo	NCMS000	deseo
ya	ya	CS	ya
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
lo	lo	PP3CNA00	lo
merezca	merezca	VMSP0S0	merecer
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
falta	falta	VMIP3S0	faltar
El	el	DA0MS0	el
mereçer	merecer	NCMS000	merecer
suelen	suelen	VMIP3P0	soler
deçir	decir	VMN0000	decir
q	que	CS	que
lo	lo	PP3CNA00	lo
suple	suple	VMIP3S0	suplir
la	la	DA0FS0	el
boluntad	voluntad	NCFS000	voluntad
	,	Fc	,
Pues	pues	CS	pues
Es	es	VSIP3S0	ser
toda	toda	PI0FS000	todo
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
	¡	Faa	¡
ay	Ay	I	ay
	,	Fc	,
ay	ay	I	ay
	,	Fc	,
ay	ay	I	ay
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
muero	muero	VMIP1S0	morir
por	por	SPS00	por
una	una	DI0FS0	uno
muger	mujer	NCFS000	mujer
tan	tan	RC	tan
sin	sin	SPS00	sin
piadad	piedad	NCFS000	piedad
	!	Fat	!
	¡	Faa	¡
ay	Ay	I	ay
	,	Fc	,
amor	amor	NP00000	amor
	,	Fc	,
como	cómo	PA000000	cómo
me	me	PP1CS000	me
das	das	VMIP2S0	dar
El	el	DA0MS0	el
pago	pago	NCMS000	pago
Como	como	PA000000	como
yo	yo	PP1CSN00	yo
merezco	merezco	VMIP1S0	merecer
	!	Fat	!
yo	Yo	PP1CSN00	yo
Estoy	estoy	VMIP1S0	estar
tal	tal	RC	tal
q	que	CS	que
no	no	RN	no
abia	había	VMII0S0	haber
menester	menester	NCMS000	menester
oyr	oír	VMN0000	oír
tantas	tantas	DI0FP0	tanto
crueldades	crueldades	NCFP000	crueldad
	.	Fp	.
q	Que	CS	que
En	en	SPS00	en
vdad	verdad	NCFS000	verdad
q	que	CS	que
segun	según	SPS00	según
Estoy	estoy	VMIP1S0	estar
q	que	CS	que
tengo	tengo	VMIP1S0	tener
entendido	entendido	VMP00SM	entender
q	que	CS	que
no	no	RN	no
dare	daré	VMIF1S0	dar
a	a	SPS00	a
Vm	VM	NP00000	VM
mas	más	RC	más
pesadumbre	pesadumbre	NCFS000	pesadumbre
	,	Fc	,
y	y	CC	y
entonçes	entonces	RG	entonces
descansara	descansará	VMIF3S0	descansar
Vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
no	no	RN	no
agora	ahora	RG	ahora
qrer	querer	VMN0000	querer
traerme	traerme	VMN0000+PP1CS000	traer+me
asi	así	RG	así
bendido	vendido	VMP00SM	vender
con	con	SPS00	con
palabras	palabras	NCFP000	palabra
falsas	falsas	AQ0FP0	falso
	.	Fp	.
plubiese	Pluguiese	VMSI0S0	placer
a	a	SPS00	a
dios	Dios	NP00000	dios
q	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
acabase	acabase	VMSI0S0	acabar
la	la	DA0FS0	el
bida	vida	NCFS000	vida
para	para	SPS00	para
no	no	RN	no
pasar	pasar	VMN0000	pasar
tantas	tantas	DI0FP0	tanto
muertes	muertes	NCFP000	muerte
	.	Fp	.
