Rdo	Reverendo	AQ0MS0	reverendo
senor	señor	NP00000	señor
	.	Fp	.
Pareceme	Paréceme	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
vramd	VM	NP00000	VM
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
por	por	SPS00	por
tal	tal	RC	tal
que	que	CS	que
no	no	RN	no
sabre	sabré	VMIF1S0	saber
buscar	buscar	VMN0000	buscar
rremedió	remedio	NCMS000	remedio
para	para	SPS00	para
cobrar	cobrar	VMN0000	cobrar
my	mi	DP1CSS	mi
azienda	hacienda	NCFS000	hacienda
	.	Fp	.
y	Y	CC	y
	,	Fc	,
si	si	CS	si
lo	lo	PP3CNA00	lo
piensa	piensa	VMIP3S0	pensar
	,	Fc	,
enganãse	engáñase	VMIP3S0+P00CN000	engañar+se
	.	Fp	.
dygolo	Dígolo	VMIP1S0+PP3CNA00	decir+lo
porque	porque	CS	porque
	,	Fc	,
aunq	aunque	CS	aunque
Po	Pedro	NP00000	pedro
de	de	SPS00	de
sar	Sar	NP00000	sar
en	en	SPS00	en
my	mi	DP1CSS	mi
nonbre	nombre	NCMS000	nombre
a	ha	VAIP3S0	haber
pedido	pedido	VMP0000	pedir
muchas	muchas	DI0FP0	mucho
bezes	veces	NCFP000	vez
que	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
pagase	pagase	VMSI0S0	pagar
el	el	DA0MS0	el
padronazgo	padronazgo	NCMS000	padronazgo
de	de	SPS00	de
santa	Santa	NP00000	santo
cruz	Cruz	NCFS000	cruz
y	y	CC	y
san	San	NP00000	san
myo	Martiño	NP00000	martiño
	,	Fc	,
no	no	RN	no
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
an	han	VAIP3P0	haber
querido	querido	VMP0000	querer
pagar	pagar	VMN0000	pagar
	.	Fp	.
yo	Yo	PP1CSN00	yo
creo	creo	VMIP1S0	creer
que	que	CS	que
vramd	VM	NP00000	VM
no	no	RN	no
sabe	sabe	VMIP3S0	saber
esto	esto	PD0NN000	esto
	.	Fp	.
suplicole	Suplícole	VMIP1S0+PP3CSD00	suplicar+le
no	no	RN	no
lo	lo	PP3CNA00	lo
consienta	consienta	VMSP0S0	consentir
ny	ni	CCN	ni
de	dé	VMSP0S0	dar
causa	causa	NCFS000	causa
a	a	SPS00	a
que	que	CS	que
por	por	SPS00	por
tan	tan	RC	tan
poca	poca	DI0FS0	poco
cosa	cosa	NCFS000	cosa
ande	ande	VMSP0S0	andar
yo	yo	PP1CSN00	yo
en	en	SPS00	en
audiencias	audiencias	NCFP000	audiencia
y	y	CC	y
lo	lo	PP3CNA00	lo
rremedie	remedie	VMSP0S0	remediar
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
	,	Fc	,
mandeme	mándeme	VMSP0S0+PP1CS000	mandar+me
perdonar	perdonar	VMN0000	perdonar
	,	Fc	,
porque	porque	CS	porque
quiero	quiero	VMIP1S0	querer
cobrar	cobrar	VMN0000	cobrar
lo	lo	DA0NS0	el
myo	mío	PX1MS0S0	mío
y	y	CC	y
porque	porque	CS	porque
creo	creo	VMIP1S0	creer
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
querra	querrá	VMIF3S0	querer
por	por	SPS00	por
deserbidor	deservidor	NCMS000	deservidor
	.	Fp	.
antes	Antes	RG	antes
me	me	PP1CS000	me
ara	hará	VMIF3S0	hacer
md	merced	NCFS000	merced
	,	Fc	,
digo	digo	VMIP1S0	decir
	.	Fp	.
de	De	SPS00	de
santo	Santiago	NP00000	santiago
	,	Fc	,
oy	hoy	RG	hoy
juebes	jueves	NCMN000	jueves
ocho	ocho	Z	8
de	de	SPS00	de
junyo	junio	NCMS000	junio
mill	mil	Z	1000
e	y	CC	y
qos	quinientos	Z	500
e	y	CC	y
cincuenta	cincuenta	Z	50
e	y	CC	y
cuatro	cuatro	Z	4
	.	Fp	.
a	A	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
mandare	mandare	VMSF0S0	mandar
	,	Fc	,
Ro	Rodrigo	NP00000	rodrigo
suarez	Suárez	NP00000	suárez
de	de	SPS00	de
castro	Castro	NP00000	castro
