muy	Muy	RQ	muy
magca	magnífica	AQ0FS0	magnífico
senora	señora	NP00000	señor
	.	Fp	.
yo	Yo	PP1CSN00	yo
no	no	RN	no
puedo	puedo	VMIP1S0	poder
crer	creer	VMN0000	creer
sino	sino	CC	sino
q	que	CS	que
vramd	VM	NP00000	VM
piensa	piensa	VMIP3S0	pensar
que	que	CS	que
aca	acá	RG	acá
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
naçido	nacido	VMP0000	nacer
otro	otro	DI0MS0	otro
padre	padre	NCMS000	padre
o	o	CC	o
madre	madre	NCFS000	madre
que	que	PR0CN000	que
me	me	PP1CS000	me
socorra	socorra	VMSP0S0	socorrer
	,	Fc	,
pues	pues	CS	pues
que	que	CS	que
en	en	SPS00	en
cabo	cabo	NCMS000	cabo
de	de	SPS00	de
un	un	Z	1
mes	mes	NCMS000	mes
y	y	CC	y
mo	medio	NCMS000	medio
de	de	SPS00	de
carcel	cárcel	NCFS000	cárcel
no	no	RN	no
fue	fue	VSIS3S0	ser
serbida	servida	VMP00SF	servir
de	de	SPS00	de
saber	saber	VMN0000	saber
si	si	CSI	si
me	me	PP1CS000	me
hahurcaban	ahorcaban	VMII3P0	ahorcar
o	o	CC	o
no	no	RN	no
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
cabo	cabo	NCMS000	cabo
d	de	SPS00	de
aber	haber	VAN0000	haber
estado	estado	VMP0000	estar
otros	otros	DI0MP0	otro
corenta	cuarenta	Z	40
dias	días	NCMP000	día
en	en	SPS00	en
la	la	DA0FS0	el
cama	cama	NCFS000	cama
bien	bien	RG	bien
pudiera	pudiera	VMSI0S0	poder
ser	ser	VSN0000	ser
muerto	muerto	VMP00SM	morir
y	y	CC	y
vramd	VM	NP00000	VM
no	no	RN	no
lo	lo	PP3CNA00	lo
supiera	supiera	VMSI0S0	saber
	,	Fc	,
pues	pues	CS	pues
q	que	CS	que
vramd	VM	NP00000	VM
no	no	RN	no
me	me	PP1CS000	me
da	da	VMIP3S0	dar
nada	nada	PI0NN00N	nada
	.	Fp	.
mande	Mande	VMSP0S0	mandar
llamar	llamar	VMN0000	llamar
a	a	SPS00	a
meu	meu	SPS00	a
amo	amo	NCMS000	amo
y	y	CC	y
dele	dele	VMSP0S0+PP3CSD00	dar+le
esa	esa	DD0FS0	ese
carta	carta	NCFS000	carta
que	que	PR0CN000	que
para	para	SPS00	para
el	él	PP3MS000	él
enbío	envío	VMIP1S0	enviar
	,	Fc	,
y	y	CC	y
que	que	CS	que
me	me	PP1CS000	me
cobren	cobren	VMSP3P0	cobrar
dinero	dinero	NCMS000	dinero
con	con	SPS00	con
gran	gran	AQ0CS0	gran
prisa	prisa	NCFS000	prisa
y	y	CC	y
me	me	PP1CS000	me
los	los	PP3MPA00	lo
trayga	traiga	VMSP0S0	traer
este	este	DD0MS0	este
moço	mozo	NCMS000	mozo
luego	luego	RG	luego
	,	Fc	,
que	que	CS	que
los	los	DA0MP0	el
que	que	PR0CN000	que
vramd	VM	NP00000	VM
ynbió	envió	VMIS3S0	enviar
no	no	RN	no
abia	había	VMII0S0	haber
para	para	SPS00	para
un	un	DI0MS0	uno
procurador	procurador	NCMS000	procurador
	.	Fp	.
y	Y	CC	y
juro	juro	VMIP1S0	jurar
a	a	SPS00	a
dios	Dios	NP00000	dios
poderoso	poderoso	AQ0MS0	poderoso
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
quedan	quedan	VMIP3P0	quedar
mas	más	RC	más
de	de	SPS00	de
ocho	ocho	Z	8
rreales	reales	NCMP000	real
	,	Fc	,
que	que	PR0CN000	que
no	no	RN	no
son	son	VSIP3P0	ser
para	para	SPS00	para
un	un	Z	1
día	día	NCMS000	día
	,	Fc	,
y	y	CC	y
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
una	una	DI0FS0	uno
probança	probanza	NCFS000	probanza
que	que	PR0CN000	que
me	me	PP1CS000	me
costara	costará	VMIF3S0	costar
mas	más	RC	más
de	de	SPS00	de
hocho	ocho	Z	8
ducados	ducados	NCMP000	ducado
	.	Fp	.
rremedieme	Remédieme	VMSP0S0+PP1CS000	remediar+me
vramd	VM	NP00000	VM
hasta	hasta	SPS00	hasta
que	que	CS	que
salga	salga	VMSP0S0	salir
d	de	SPS00	de
aquy	aquí	RG	aquí
	,	Fc	,
que	que	CS	que
despues	después	RG	después
yrme	irme	VMN0000+PP1CS000	ir+me
pasar	pasar	VMN0000	pasar
el	el	DA0MS0	el
ano	año	NCMS000	año
en	en	SPS00	en
un	un	DI0MS0	uno
agujero	agujero	NCMS000	agujero
	.	Fp	.
nro	Nuestro	DP1MSP	nuestro
senor	Señor	NP00000	señor
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vramd	VM	NP00000	VM
como	como	CS	como
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
santo	Santiago	NP00000	santiago
	,	Fc	,
oy	hoy	RG	hoy
myercoles	miércoles	NCMN000	miércoles
	.	Fc	,
a	A	SPS00	a
serbicio	servicio	NCMS000	servicio
de	de	SPS00	de
vramd	VM	NP00000	VM
	,	Fc	,
Ro	Rodrigo	NP00000	rodrigo
suarez	Suárez	NP00000	suárez
de	de	SPS00	de
castro	Castro	NP00000	castro
