YHus	Yhesús		
	.		
en	En		
burgos	Burgos		
	,		
9	9		
de	de		
no	noviembre		
de	de		
1536	1536		
Muy	Muy		
virtuoso	virtuoso		
señor	señor		
	.		
d	De		
esta	ésta		
de	de		
agosto	agosto		
pasada	pasada		
escribi	escribí		
por	por		
dos	dos		
copias	copias		
que	que		
a	a		
las	las		
oras	horas		
creo	creo		
los	los		
abra	habrá		
reçibido	recibido		
	.		
asy	Así		
por	por		
esta	ésta		
biene	viene		
sera	será		
por	por		
le	le		
dezir	decir		
como	como		
a	a		
la	la		
ora	hora		
lego	llego		
en	en		
esta	esta		
çiudad	ciudad		
	.		
y	Y		
he	he		
benido	venido		
de	de		
panplona	Pamplona		
	,		
q	que		
fuy	fui		
a	a		
ber	ver		
si	si		
me	me		
hera	era		
benydo	venido		
la	la		
ropa	ropa		
de	de		
françia	Francia		
lo	lo		
q	que		
alla	allá		
tengo	tengo		
	,		
lo	lo		
qual	cual		
no	no		
hes	es		
venydo	venido		
asta	hasta		
agora	ahora		
	.		
tengo	Tengo		
carta	carta		
de	de		
la	la		
parte	parte		
que	que		
me	me		
escribe	escribe		
el	el		
mal	mal		
despacho	despacho		
que	que		
ha	ha		
abido	habido		
por	por		
medio	medio		
de	de		
la	la		
guerra	guerra		
	.		
y	Y		
agora	ahora		
q	que		
los	los		
echersitos	ejércitos		
se	se		
an	han		
retraydo	retraído		
espero	espero		
aber	haber		
buen	buen		
despacho	despacho		
	.		
pa	Para		
esta	esta		
fa	feria		
yo	yo		
creo	creo		
no	no		
me	me		
alcansara	alcanzará		
ropa	ropa		
de	de		
alla	allá		
	,		
de	de		
q	que		
puede	puede		
ver	ver		
con	con		
q	qué		
plazer	placer		
puedo	puedo		
estar	estar		
	.		
q	Que		
	,		
a	a		
mas	más		
d	de		
el	el		
daño	daño		
	,		
tengo	tengo		
mas	más		
la	la		
pena	pena		
por	por		
vramcd	VM		
	.		
q	Que		
	,		
como	como		
le	le		
escribi	escribí		
de	de		
Roseco	Rioseco		
	,		
yo	yo		
pensaba	pensaba		
d	de		
estar	estar		
çierto	cierto		
de	de		
la	la		
ropa	ropa		
y	y		
remetir	remitir		
dos	dos		
o	o		
tres	tres		
mill	mil		
coronas	coronas		
a	a		
vm	VM		
	.		
tengo	Tengo		
dos	dos		
daños	daños		
	:		
perdida	pérdida		
	,		
lo	lo		
q	que		
be	ve		
	,		
y	y		
la	la		
pena	pena		
q	que		
le	le		
doy	doy		
a	a		
vm	VM		
	.		
vramcd	VM		
se	se		
a	ha		
de	de		
azer	hacer		
a	a		
las	las		
armas	armas		
de	de		
prestar	prestar		
paçiençia	paciencia		
	,		
q	que		
le	le		
juro	juro		
a	a		
dios	Dios		
q	que		
mas	más		
tengo	tengo		
la	la		
pasion	pasión		
por	por		
vramcd	VM		
q	que		
p	por		
la	la		
perdida	pérdida		
dies	diez		
vezes	veces		
	.		
plazera	Placerá		
a	a		
dios	Dios		
q	que		
de	de		
aqui	aquí		
a	a		
villalon	Villalón		
cobrare	cobraré		
todo	todo		
lo	lo		
de	de		
alla	allá		
	,		
donde	donde		
no	no		
le	le		
dare	daré		
pena	pena		
de	de		
un	un		
real	real		
q	que		
tome	tome		
sobre	sobre		
vramcd	VM		
.	.		
un	Un		
criado	criado		
del	del		
señor	señor		
ju	Juan		
de	de		
leçama	Lezama		
he	he		
topado	topado		
en	en		
el	el		
camino	camino		
y	y		
he	he		
recibido	recibido		
una	una		
carta	carta		
de	de		
ma	Medina		
del	del		
campo	Campo		
de	de		
un	un		
criado	criado		
mio	mío		
q	que		
	,		
con	con		
pensar	pensar		
estaria	estaría		
en	en		
vilbao	Bilbao		
	,		
me	me		
escribia	escribía		
en	en		
q	que		
me	me		
da	da		
haviso	aviso		
conpre	compre		
en	en		
vilbao	Bilbao		
todas	todas		
las	las		
merçerias	mercerías		
q	que		
pudiere	pudiere		
allar	hallar		
	,		
q	que		
dize	dice		
sera	será		
la	la		
mejor	mejor		
fa	feria		
q	que		
ha	ha		
vido	habido		
en	en		
gran	gran		
tienpo	tiempo		
	.		
del	Del		
señor	señor		
ju	Juan		
de	de		
leçama	Lezama		
dize	dice		
q	que		
tendra	tendrá		
gran	gran		
fa	feria		
	,		
q	que		
se	se		
alla	halla		
con	con		
suma	suma		
de	de		
ropa	ropa		
en	en		
el	él		
	.		
hes	Es		
por	por		
çierto	cierto		
vien	bien		
enpleado	empleado		
	.		
dame	Dame		
mas	más		
fuego	fuego		
el	el		
moço	mozo		
por	por		
su	su		
carta	carta		
	,		
q	que		
me	me		
dize	dice		
por	por		
todas	todas		
partes	partes		
le	le		
escriba	escriba		
a	a		
vramcd	VM		
deziendo	diciendo		
q	que		
agora	ahora		
hes	es		
el	el		
tienpo	tiempo		
de	de		
los	los		
merçeros	merceros		
	.		
por	Por		
çerto	cierto		
	,		
a	a		
mi	mí		
se	se		
me	me		
aze	hace		
afrenta	afrenta		
d	de		
enbiar	enviar		
por	por		
nada	nada		
a	a		
vm	VM		
asta	hasta		
una	una		
vez	vez		
descargar	descargar		
lo	lo		
q	que		
le	le		
debo	debo		
	,		
mas	mas		
acordandome	acordándome		
de	de		
la	la		
otra	otra		
vez	vez		
cuando	cuando		
el	el		
señor	señor		
po	Pedro		
de	de		
oyardo	Oyardo		
gano	ganó		
un	un		
poso	poso		
	,		
q	que		
el	el		
señor	señor		
ju	Juan		
de	de		
leçama	Lezama		
no	no		
quiso	quiso		
traher	traer		
ropa	ropa		
sino	sino		
recojerse	recogerse		
y	y		
pagar	pagar		
lo	lo		
q	que		
debia	debía		
	,		
por	por		
el	el		
dezir	decir		
de	de		
la	la		
gente	gente		
dexo	dejó		
de	de		
ganar	ganar		
arta	harta		
suma	suma		
de	de		
dineros	dineros		
	.		
asy	Así		
	,		
señor	señor		
	,		
con	con		
esto	esto		
he	he		
acordado	acordado		
de	de		
me	me		
atreber	atrever		
d	de		
enbiarle	enviarle		
esta	esta		
memoria	memoria		
	,		
q	que		
dentro	dentro		
vera	verá		
	,		
q	que		
hel	el		
moço	mozo		
me	me		
lo	lo		
henbia	envía		
de	de		
ma	Medina		
del	del		
canpo	Campo		
	.		
vramcd	VM		
tome	tome		
a	a		
pechos	pechos		
de	de		
poner	poner		
diligençia	diligencia		
en	en		
alguna	alguna		
açabra	zabra		
con	con		
segurarlo	asegurarlo		
asta	hasta		
un	un		
mrv	maravedí		
	.		
sy	Si		
esto	esto		
aze	hace		
	,		
aga	haga		
cuenta	cuenta		
q	que		
me	me		
