YHus	Yhesús	NP00000	yhesús
	.	Fp	.
en	En	SPS00	en
valon	Villalón	NP00000	villalón
	,	Fc	,
a	a	SPS00	a
27	27	Z	27
de	de	SPS00	de
março	marzo	NCMS000	marzo
de	de	SPS00	de
1540	1540	Z	1540
señor	Señor	NP00000	señor
	.	Fp	.
como	Como	CS	como
a	a	SPS00	a
vm	VM	NP00000	VM
le	le	PP3CSD00	le
escribi	escribí	VMIS1S0	escribir
de	de	SPS00	de
fra	feria	NCFS000	feria
de	de	SPS00	de
otue	octubre	NCMS000	octubre
que	que	CS	que
yo	yo	PP1CSN00	yo
hiba	iba	VMII0S0	ir
determinado	determinado	VMP00SM	determinar
de	de	SPS00	de
entrarme	entrarme	VMN0000+PP1CS000	entrar+me
en	en	SPS00	en
la	la	DA0FS0	el
rreligion	religión	NCFS000	religión
de	de	SPS00	de
los	los	DA0MP0	el
casados	casados	VMP00PM	casar
	,	Fc	,
donde	donde	PA000000	donde
dios	Dios	NP00000	dios
a	ha	VAIP3S0	haber
puesto	puesto	VMP0000	poner
la	la	DA0FS0	el
mano	mano	NCFS000	mano
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
asi	así	RG	así
y	y	CC	y
es	es	VSIP3S0	ser
en	en	SPS00	en
parte	parte	NCFS000	parte
en	en	SPS00	en
la	la	DA0FS0	el
casa	casa	NCFS000	casa
mas	más	RC	más
honrrada	honrada	AQ0FS0	honrado
y	y	CC	y
antigoa	antigua	AQ0FS0	antiguo
que	que	CS	que
ay	hay	VMIP3S0	haber
en	en	SPS00	en
toda	toda	DI0FS0	todo
nra	nuestra	DP1FSP	nuestro
ciudad	ciudad	NCFS000	ciudad
	.	Fp	.
es	Es	VSIP3S0	ser
hija	hija	NCFS000	hijo
de	de	SPS00	de
anton	Antón	NP00000	antón
de	de	SPS00	de
caparroso	Caparroso	NP00000	caparroso
y	y	CC	y
en	en	SPS00	en
parentela	parentela	NCFS000	parentela
toma	toma	VMIP3S0	tomar
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
flor	flor	NCFS000	flor
y	y	CC	y
mando	mando	NCMS000	mando
de	de	SPS00	de
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
ciudad	ciudad	NCFS000	ciudad
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
