Jhs	JHS	NP00000	jhs
	.	Fp	.
En	En	SPS00	en
Enberes	Amberes	NP00000	amberes
	,	Fc	,
a	a	SPS00	a
29	29	Z	29
de	de	SPS00	de
junio	junio	NCMS000	junio
de	de	SPS00	de
1556	1556	Z	1556
.	.	Fp	.
sres	Señores	NP00000	señor
aquerretas	Aquerretas	NP00000	aquerretas
	.	Fp	.
señores	Señores	NP00000	señor
	.	Fp	.
En	En	SPS00	en
20	20	Z	20
del	del	SPS00+DA0MS0	de+el
presente	presente	NCMS000	presente
reçebi	recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
vsms	VMs	NP00000	VM
de	de	SPS00	de
23	23	Z	23
del	del	SPS00+DA0MS0	de+el
pasado	pasado	NCMS000	pasado
	,	Fc	,
a	a	SPS00	a
la	la	DA0FS0	el
quoal	cual	PR0CS000	cual
	,	Fc	,
por	por	SPS00	por
ser	ser	VSN0000	ser
en	en	SPS00	en
repuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
las	las	DA0FP0	el
mias	mías	PX1FP0S0	mío
	,	Fc	,
respondere	responderé	VMIF1S0	responder
por	por	SPS00	por
esta	ésta	PD0FS000	este
en	en	SPS00	en
brebe	breve	RG	breve
	.	Fp	.
quoato	Cuanto	PA000000	cuanto
a	a	SPS00	a
lo	lo	DA0NS0	el
del	del	SPS00+DA0MS0	de+el
regaliz	regaliz	NCMS000	regaliz
	,	Fc	,
ya	ya	RG	ya
tengo	tengo	VMIP1S0	tener
abisado	avisado	VMP00SM	avisar
a	a	SPS00	a
vsms	VMs	NP00000	VM
que	que	CS	que
el	el	DA0MS0	el
que	que	PR0CN000	que
conpro	compró	VMIS3S0	comprar
los	los	DA0MP0	el
seysçientos	seiscientos	Z	600
quintales	quintales	NCMP000	quintal
tomara	tomará	VMIF3S0	tomar
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
a	a	SPS00	a
cunplimiento	cumplimiento	NCMS000	cumplimiento
de	de	SPS00	de
los	los	DA0MP0	el
mil	mil	Z	1000
pa	para	SPS00	para
tenerlo	tenerlo	VMN0000+PP3CNA00	tener+lo
todo	todo	PI0MS000	todo
en	en	SPS00	en
su	su	DP3CS0	su
mano	mano	NCFS000	mano
	.	Fp	.
y	Y	CC	y
pedro	Pedro	NP00000	pedro
d	de	SPS00	de
