En	En		
logroño	Logroño		
	,		
a	a		
28	28		
de	de		
agosto	agosto		
de	de		
1556	1556		
señor	Señor		
	.		
a	A		
çaragoça	Zaragoza		
reçebi	recibí		
la	la		
de	de		
vm	VM		
con	con		
el	el		
señor	señor		
ju	Juan		
de	de		
aquerreta	Aquerreta		
	,		
su	su		
padre	padre		
	,		
al	al		
qual	cual		
ara	hará		
oy	hoy		
ocho	ocho		
dias	días		
dexe	dejé		
alla	allá		
muy	muy		
bueno	bueno		
	.		
y	Y		
desps	después		
por	por		
la	la		
de	de		
vm	VM		
fuy	fui		
habisado	avisado		
de	de		
lo	lo		
que	que		
se	se		
abia	había		
echo	hecho		
tocante	tocante		
a	a		
la	la		
carga	carga		
que	que		
al	al		
nabio	navío		
flaco	flamenco		
se	se		
abia	había		
de	de		
dr	dar		
	.		
y	Y		
de	de		
berdad	verdad		
no	no		
se	sé		
que	qué		
dezir	decir		
de	de		
que	que		
son	son		
solas	solas		
180	180		
balas	balas		
de	de		
regaliz	regaliz		
	.		
se	Si		
fuese	fuese		
porque	porque		
	,		
puesto	puesto		
q	que		
cerraba	cerraba		
	,		
llevase	llevase		
alla	allá		
de	de		
cargaz	cargazón		
10	10		
barricas	barricas		
de	de		
grasas	grasas		
	,		
q	que		
hazen	hacen		
25	25		
ts	toneles		
	,		
lugar	lugar		
abia	había		
para	para		
llebar	llevar		
todo	todo		
el	el		
regaliz	regaliz		
nro	nuestro		
.	.		
dizeme	Díceme		
el	el		
señor	señor		
ju	Juan		
de	de		
aquerreta	Aquerreta		
q	que		
en	en		
miguel	Miguel		
de	de		
beroyz	Veroyz		
ubo	hubo		
fraude	fraude		
	.		
no	No		
se	sé		
como	cómo		
lo	lo		
entienda	entienda		
porq	porque		
	,		
segun	según		
se	se		
me	me		
daba	daba		
en	en		
priesa	prisa		
para	para		
los	los		
fletes	fletes		
del	del		
regaliz	regaliz		
	,		
todo	todo		
debia	debía		
destraele	distraerle		
para	para		
la	la		
ora	hora		
	.		
y	Y		
estando	estando		
alli	allí		
el	el		
regaliz	regaliz		
con	con		
buena	buena		
causa	causa		
	,		
no	no		
se	se		
debia	debía		
entremeter	entremeter		
el	él		
en	en		
cargar	cargar		
otra	otra		
ropa	ropa		
	.		
asta	Hasta		
saber	saber		
al	al		
fin	fin		
lo	lo		
que	que		
a	ha		
pasado	pasado		
no	no		
se	sé		
que	qué		
dezir	decir		
	,		
de	de		
que	que		
yo	yo		
pense	pensé		
venir	venir		
por	por		
ay	ahí		
a	a		
berme	verme		
con	con		
vm	VM		
	.		
dexelo	Dejelo		
por	por		
la	la		
priessa	prisa		
que	que		
me	me		
dieron	dieron		
los	los		
negoçios	negocios		
de	de		
alla	allá		
y	y		
tanbien	también		
porque	porque		
me	me		
dixieron	dijeron		
q	que		
estaba	estaba		
vm	VM		
en	en		
s	San		
sb	Sebastián		
a	a		
despachar	despachar		
al	al		
segundo	segundo		
nabio	navío		
que	que		
abia	había		
afletado	fletado		
	.		
suplico	Suplico		
a	a		
vm	VM		
q	que		
me	me		
abise	avise		
lo	lo		
q	que		
se	se		
a	ha		
echo	hecho		
y	y		
haze	hace		
seguiente	siguiente		
a	a		
lo	lo		
de	de		
arriba	arriba		
	.		
yo	Yo		
partire	partiré		
para	para		
bio	Bilbao		
a	a		
prio	primero		
o	o		
segundo	segundo		
d	de		
este	éste		
y	y		
sere	seré		
de	de		
buelta	vuelta		
para	para		
los	los		
quinze	quince		
d	de		
el	él		
	.		
sy	Si		
vm	VM		
biniese	viniese		
a	a		
bio	Bilbao		
e	en		
l	el		
ynterin	ínterin		
q	que		
yo	yo		
alla	allá		
estubiese	estuviese		
	,		
podriamos	podríamos		
aclarar	aclarar		
la	la		
qua	cuenta		
d	de		
este	este		
regaliz	regaliz		
pr	por		
satisfazernos	satisfacernos		
de	de		
los	los		
restos	restos		
,	,		
donde	donde		
	,		
no	no		
allandose	hallándose		
vm	VM		
aqui	aquí		
para	para		
los	los		
xv	XV		
d	de		
este	éste		
	,		
lo	lo		
