Jesus	Jesús	NP00000	jesús
	.	Fp	.
en	En	SPS00	en
brujas	Brujas	NP00000	brujas
	,	Fc	,
a	a	SPS00	a
21	21	Z	21
de	de	SPS00	de
octe	octubre	NCMS000	octubre
1539	1539	Z	1539
muy	Muy	RQ	muy
vtuoso	virtuoso	AQ0MS0	virtuoso
señor	señor	NP00000	señor
	.	Fp	.
la	La	DA0FS0	el
pnte	presente	AQ0CS0	presente
sera	será	VSIF3S0	ser
por	por	SPS00	por
dar	dar	VMN0000	dar
cubierta	cubierta	NCFS000	cubierta
a	a	SPS00	a
la	la	DA0FS0	el
cuenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
las	las	DA0FP0	el
tres	tres	Z	3
balas	balas	NCFP000	bala
de	de	SPS00	de
peleta	peletería	NCFS000	peletería
q	que	CS	que
	,	Fc	,
s	señor	NP00000	señor
	,	Fc	,
me	me	PP1CS000	me
enbio	envió	VMIS3S0	enviar
	.	Fp	.
y	Y	CC	y
como	como	CS	como
por	por	SPS00	por
ella	ella	PP3FS000	él
lo	lo	PP3CNA00	lo
bera	verá	VMIF3S0	ver
	,	Fc	,
mota	monta	VMIP3S0	montar
del	del	SPS00+DA0MS0	de+el
neto	neto	AQ0MS0	neto
proçeydo	procedido	VMP00SM	proceder
catorze	catorce	Z	14
libras	libras	NCFP000	libra
	,	Fc	,
seys	seis	Z	6
sueldos	sueldos	NCMP000	sueldo
	,	Fc	,
un	un	DI0MS0	uno
do	dinero	NCMS000	dinero
de	de	SPS00	de
grso	grueso	NCMS000	grueso
	,	Fc	,
de	de	SPS00	de
las	las	DA0FP0	el
quales	cuales	PR0CP000	cual
l	le	PP3CSD00	le
e	he	VAIP1S0	haber
echo	hecho	VMP0000	hacer
acredor	acreedor	NCMS000	acreedor
en	en	SPS00	en
su	su	DP3CS0	su
qta	cuenta	NCFS000	cuenta
	.	Fp	.
y	Y	CC	y
quando	cuando	PA000000	cuando
los	los	DA0MP0	el
plazos	plazos	NCMP000	plazo
vinieren	vinieren	VMSF3P0	venir
	,	Fc	,
plazo	placiendo	VMG0000	placer
a	a	SPS00	a
dios	Dios	NP00000	dios
	,	Fc	,
se	se	P00CN000	se
procurara	procurará	VMIF3S0	procurar
de	de	SPS00	de
cobrar	cobrar	VMN0000	cobrar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
an	han	VAIP3P0	haber
