ihs	IHS	NP00000	ihs
	.	Fp	.
en	En	SPS00	en
sadaba	Sádaba	NP00000	sádaba
	,	Fc	,
los	los	DA0MP0	el
15	15	Z	15
de	de	SPS00	de
abril	abril	NCMS000	abril
1521	1521	Z	1521
muy	Muy	RQ	muy
vtuoso	virtuoso	AQ0MS0	virtuoso
señor	señor	NP00000	señor
	.	Fp	.
por	Por	SPS00	por
carta	carta	NCFS000	carta
del	del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
martin	Martín	NP00000	martín
teston	Testón	NP00000	testón
supe	supe	VMIS1S0	saber
como	como	CS	como
el	el	DA0MS0	el
señor	señor	NP00000	señor
migel	Miguel	NP00000	miguel
d	de	SPS00	de
añyues	Añués	NP00000	añués
pedia	pedía	VMII0S0	pedir
el	el	DA0MS0	el
trygo	trigo	NCMS000	trigo
de	de	SPS00	de
luesia	Luesia	NP00000	luesia
y	y	CC	y
sus	sus	DP3CP0	su
	.	Fp	.
yo	Yo	PP1CSN00	yo
le	le	PP3CSD00	le
respondi	respondí	VMIS1S0	responder
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
daria	daría	VMIC0S0	dar
en	en	SPS00	en
luesia	Luesia	NP00000	luesia
como	como	CS	como
muchas	muchas	DI0FP0	mucho
vezes	veces	NCFP000	vez
he	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
a	a	SPS00	a
el	él	PP3MS000	él
mismo	mismo	RG	mismo
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
darya	daría	VMIC0S0	dar
,	.	Fp	.
en	En	SPS00	en
las	las	DA0FP0	el
aldeas	aldeas	NCFP000	aldea
no	no	RN	no
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
	.	Fp	.
sienpre	Siempre	RG	siempre
q	que	CS	que
ay	ahí	RG	ahí
lo	lo	PP3CNA00	lo
qrays	queráis	VMSP2P0	querer
	,	Fc	,
yo	yo	PP1CSN00	yo
conprare	compraré	VMIF1S0	comprar
ho	o	CC	o
lo	lo	PP3CNA00	lo
baxare	bajaré	VMIF1S0	bajar
de	de	SPS00	de
luesia	Luesia	NP00000	luesia
ho	o	CC	o
	,	Fc	,
si	si	CS	si
no	no	RN	no
lo	lo	PP3CNA00	lo
quisiere	quisiere	VMSF0S0	querer
de	de	SPS00	de
se	se	P00CN000	se
vender	vender	VMN0000	vender
