caro	Caro	AQ0MS0	caro
sobrino	sobrino	NCMS000	sobrino
,	.	Fp	.
yo	Yo	PP1CSN00	yo
he	he	VAIP1S0	haber
recebido	recibido	VMP0000	recibir
vra	vuestra	DP2FSP	vuestro
carta	carta	NCFS000	carta
y	y	CC	y
ruegos	ruégoos	CS	ruégoos
entendays	entendáis	VMSP2P0	entender
en	en	SPS00	en
mirar	mirar	VMN0000	mirar
esas	esas	DD0FP0	ese
ctas	cuentas	NCFP000	cuenta
	.	Fp	.
y	Y	CC	y
baya	vaya	VMSP0S0	ir
vro	vuestro	DP2MSP	vuestro
hro	hermano	NCMS000	hermano
	,	Fc	,
si	si	CS	si
bos	vos	PP2CS000	vos
no	no	RN	no
podeys	podéis	VMIP2P0	poder
hir	ir	VMN0000	ir
	,	Fc	,
a	a	SPS00	a
la	la	DA0FS0	el
baldonsella	Valdonsella	NP00000	valdonsella
a	a	SPS00	a
atajar	atajar	VMN0000	atajar
todo	todo	PI0MS000	todo
como	como	CS	como
ya	ya	RG	ya
seria	sería	VSIC0S0	ser
tpo	tiempo	NCMS000	tiempo
q	que	CS	que
fuese	fuese	VMSI0S0	ir
echo	hecho	NCMS000	hecho
.	.	Fp	.
hesas	Esas	DD0FP0	ese
ctas	cuentas	NCFP000	cuenta
q	que	PR0CN000	que
dezis	decís	VMIP2P0	decir
q	que	CS	que
teneys	tenéis	VMIP2P0	tener
por	por	SPS00	por
acertar	acertar	VMN0000	acertar
de	de	SPS00	de
los	los	DA0MP0	el
tasados	tasados	NCMP000	tasado
dalde	dadle	SPS00	dadle
la	la	DA0FS0	el
cta	cuenta	NCFS000	cuenta
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
a	a	SPS00	a
vro	vuestro	DP2MSP	vuestro
hro	hermano	NCMS000	hermano
pa	para	SPS00	para
q	que	CS	que
los	los	PP3MPA00	lo
acerte	acierte	VMSP0S0	acertar
	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
ya	ya	RG	ya
os	os	PP2CP000	os
tome	tomé	VMIS1S0	tomar
en	en	SPS00	en
cta	cuenta	NCFS000	cuenta
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
tome	tomé	VMIS1S0	tomar
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
como	como	CS	como
parece	parece	VMIP3S0	parecer
por	por	SPS00	por
las	las	DA0FP0	el
dichas	dichas	VMP00PF	decir
ctas	cuentas	NCFP000	cuenta
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
se	se	P00CN000	se
me	me	PP1CS000	me
qued	queda	VMIP3S0	quedar
a	a	SPS00	a
deber	deber	VMN0000	deber
de	de	SPS00	de
todo	todo	DI0MS0	todo
ello	ello	PD0NN000	ello
lo	lo	DA0NS0	el
q	que	PR0CN000	que
os	os	PP2CP000	os
tengo	tengo	VMIP1S0	tener
escripto	escrito	VMP00SM	escribir
.	.	Fp	.
de	De	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
dezis	decís	VMIP2P0	decir
queda	quedan	VMIP3P0	quedar
a	a	SPS00	a
dever	deber	VMN0000	deber
martin	Martín	NP00000	martín
coscon	Coscón	NP00000	coscón
y	y	CC	y
domigo	Domingo	NP00000	domingo
gil	Gil	NP00000	gil
	,	Fc	,
a	a	SPS00	a
domigo	Domingo	NP00000	domingo
gil	Gil	NP00000	gil
yo	yo	PP1CSN00	yo
nada	nada	PI0NN00N	nada
	.	Fp	.
martin	Martín	NP00000	martín
coscon	Coscón	NP00000	coscón
os	os	PP2CP000	os
habia	había	VMII0S0	haber
de	de	SPS00	de
dar	dar	VMN0000	dar
cta	cuenta	NCFS000	cuenta
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
dio	dio	VMIS3S0	dar
a	a	SPS00	a
domigo	Domingo	NP00000	domingo
gil	Gil	NP00000	gil
	,	Fc	,
y	y	CC	y
assi	así	RG	así
tengo	tengo	VMIP1S0	tener
yo	yo	PP1CSN00	yo
carta	carta	NCFS000	carta
de	de	SPS00	de
mtin	Martín	NP00000	martín
coscon	Coscón	NP00000	coscón
como	como	CS	como
os	os	PP2CP000	os
pago	pagó	VMIS3S0	pagar
de	de	SPS00	de
todo	todo	PI0MS000	todo
	.	Fp	.
y	Y	CC	y
vos	vos	PP2CS000	vos
me	me	PP1CS000	me
lo	lo	PP3MSA00	lo
dixistes	dijistes	VMIS2S0	decir
q	que	CS	que
era	era	VSII0S0	ser
assi	así	RG	así
	,	Fc	,
ssino	sino	CC	sino
q	que	CS	que
os	os	PP2CP000	os
quedab	quedaba	VMII0S0	quedar
a	a	SPS00	a
deber	deber	VMN0000	deber
certa	cierta	AQ0FS0	cierto
suma	suma	NCFS000	suma
el	el	DA0MS0	el
dicho	dicho	VMP00SM	decir
coscon	Coscón	NP00000	coscón
d	de	SPS00	de
ello	ello	PD0NN000	ello
	,	Fc	,
y	y	CC	y
q	que	CS	que
os	os	PP2CP000	os
habia	había	VAII0S0	haber
dado	dado	VMP0000	dar
hun	un	DI0MS0	uno
cartel	cartel	NCMS000	cartel
d	de	SPS00	de
ello	ello	PD0NN000	ello
	,	Fc	,
el	el	DA0MS0	el
quoal	cual	PR0CS000	cual
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
mostrastes	mostrastes	VMIS2S0	mostrar
y	y	CC	y
con	con	SPS00	con
eso	eso	PD0NN000	eso
q	que	CS	que
quedabades	quedábades	NP00000	quedábades
contento	contento	AQ0MS0	contento
d	de	SPS00	de
el	él	PP3MS000	él
	.	Fp	.
y	Y	CC	y
	,	Fc	,
assi	así	RG	así
	,	Fc	,
el	el	DA0MS0	el
mtin	Martín	NP00000	martín
coscon	Coscón	NP00000	coscón
me	me	PP1CS000	me
demando	demandó	VMIS3S0	demandar
descargo	descargo	NCMS000	descargo
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
abia	había	VAII0S0	haber
contratado	contratado	VMP0000	contratar
conmigo	conmigo	SPS00+PP1CSO00	con+mí
	.	Fp	.
y	Y	CC	y
assi	así	RG	así
ge	se	PP3CN000	se
lo	lo	PP3CNA00	lo
di	di	VMIS1S0	dar
,	.	Fp	.
y	Y	CC	y
vos	vos	PP2CS000	vos
me	me	PP1CS000	me
dixistes	dijistes	VMIS2S0	decir
ge	se	PP3CN000	se
lo	lo	PP3CNA00	lo
podia	podía	VMII0S0	poder
dar	dar	VMN0000	dar
	.	Fp	.
de	De	SPS00	de
manera	manera	NCFS000	manera
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
tengo	tengo	VMIP1S0	tener
q	qué	PT0CN000	qué
azer	hacer	VMN0000	hacer
con	con	SPS00	con
el	el	DA0MS0	el
coranbre	corambre	NCMS000	corambre
q	que	PR0CN000	que
dezis	decís	VMIP2P0	decir
ni	ni	CC	ni
con	con	SPS00	con
domigo	Domingo	NP00000	domingo
gil	Gil	NP00000	gil
ni	ni	CC	ni
mtin	Martín	NP00000	martín
coscon	Coscón	NP00000	coscón
	.	Fp	.
y	Yo	PP1CSN00	yo
os	os	PP2CP000	os
ruego	ruego	VMIP1S0	rogar
q	que	CS	que
se	se	P00CN000	se
acierte	acierte	VMSP0S0	acertar
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
y	y	CC	y
luego	luego	RG	luego
	.	Fp	.
y	Y	CC	y
	,	Fc	,
pues	pues	CS	pues
vos	vos	PP2CS000	vos
no	no	RN	no
podeys	podéis	VMIP2P0	poder
hir	ir	VMN0000	ir
	,	Fc	,
inbiar	enviar	VMN0000	enviar
a	a	SPS00	a
vro	vuestro	DP2MSP	vuestro
hro	hermano	NCMS000	hermano
pase	pase	VMSP0S0	pasar
por	por	SPS00	por
aqui	aquí	RG	aquí
y	y	CC	y
trayga	traiga	VMSP0S0	traer
la	la	DA0FS0	el
cedula	cédula	NCFS000	cédula
de	de	SPS00	de
pascoal	Pascual	NP00000	pascual
nabarro	Navarro	NP00000	navarro
y	y	CC	y
tanbien	también	RG	también
la	la	DA0FS0	el
obligacion	obligación	NCFS000	obligación
de	de	SPS00	de
pero	Pero	NP00000	pero
pardo	Pardo	NP00000	pardo
de	de	SPS00	de
exea	Ejea	NP00000	ejea
pa	para	SPS00	para
que	que	CS	que
cobrelo	cóbrelo	SPS00	cóbrelo
todo	todo	PI0MS000	todo
,	.	Fp	.
el	El	DA0MS0	el
pero	Pero	NP00000	pero
farto	Farto	NP00000	farto
a	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
q	que	CS	que
ya	ya	RG	ya
os	os	PP2CP000	os
ha	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
cierto	cierto	AQ0MS0	cierto
saquerio	saquerío	NCMS000	saquerío
en	en	SPS00	en
pago	pago	NCMS000	pago
,	.	Fp	.
escribirme	Escribirme	VMN0000+PP1CS000	escribir+me
ssi	si	CS	si
es	es	VSIP3S0	ser
assi	así	RG	así
y	y	CC	y
quto	cuánto	PT0MS000	cuánto
	,	Fc	,
porq	porque	CS	porque
ssi	si	CS	si
a	ha	VAIP3S0	haber
pagado	pagado	VMP0000	pagar
no	no	RN	no
es	es	VSIP3S0	ser
razon	razón	NCFS000	razón
q	que	CS	que
se	se	P00CN000	se
le	le	PP3CSD00	le
pida	pida	VMSP0S0	pedir
.	.	Fp	.
no	No	RN	no
ay	hay	VMIP3S0	haber
otro	otro	PI0MS000	otro
q	que	CS	que
