somos	Somos		
a	a		
16	16		
de	de		
abril	abril		
	.		
la	La		
de	de		
arriba	arriba		
es	es		
copia	copia		
de	de		
otras	otras		
ydas	idas		
el	el		
dia	día		
que	que		
pareçe	parece		
y	y		
despues	después		
no	no		
e	he		
reçebido	recibido		
nenguna	ninguna		
de	de		
vm	VM		
	;		
y	y		
assi	así		
abra	habrá		
mos	menos		
que	que		
dezir	decir		
	.		
aqui	Aquí		
enbio	envío		
a	a		
vm	VM		
la	la		
relon	relación		
de	de		
lo	lo		
que	que		
asta	hasta		
agora	ahora		
he	he		
enpacado	empacado		
pa	para		
el	el		
sor	señor		
sanpedro	Sampedro		
de	de		
arbieto	Arbieto		
	.		
y	Y		
con	con		
ello	ello		
ba	va		
todo	todo		
lo	lo		
q	que		
vm	VM		
tiene	tiene		
pedido	pedido		
	.		
y	Y		
el	el		
fardel	fardel		
de	de		
olandas	holandas		
ba	va		
en	en		
la	la		
nao	nao		
de	de		
brme	Bartolomé		
de	de		
ygueldo	Ygüeldo		
a	a		
s	San		
sebastian	Sebastián		
y	y		
consina	consignado		
al	al		
s	señor		
beroyz	Veroyz		
pa	para		
que	que		
aga	haga		
la	la		
boluntad	voluntad		
de	de		
vm	VM		
	.		
al	Al		
dicho	dicho		
sor	señor		
arbieto	Arbieto		
escribo	escribo		
de	dé		
a	a		
vm	VM		
todo	todo		
lo	lo		
que	que		
d	de		
ello	ello		
vm	VM		
quisiere	quisiere		
tomar	tomar		
porque	porque		
ba	va		
bien	bien		
sortido	surtido		
	.		
y	Y		
vm	VM		
me	me		
madara	mandará		
enbiar	enviar		
con	con		
el	el		
primero	primero		
la	la		
memoria	memoria		
de	de		
lo	lo		
que	que		
mas	más		
quisiera	quisiera		
	,		
q	que		
sin	sin		
faltar	faltar		
nada	nada		
yra	irá		
e	y		
todo	todo		
consinado	consignado		
a	a		
miguel	Miguel		
de	de		
voyz	Veroyz		
pa	para		
que	que		
aga	haga		
la	la		
boluntad	voluntad		
de	de		
vm	VM		
	.		
con	Con		
el	el		
primero	primero		
enbiare	enviaré		
a	a		
vm	VM		
relaçion	relación		
de	de		
lo	lo		
que	que		
mas	más		
enpacare	empacare		
pa	para		
q	que		
	,		
siendo	siendo		
cosa	cosa		
q	que		
a	a		
vm	VM		
contente	contente		
	,		
tome	tome		
tanbien	también		
todo	todo		
o	o		
lo	lo		
que	que		
d	de		
ello	ello		
quisiere	quisiere		
	.		
y	Y		
	,		
como	como		
digo	digo		
	,		
la	la		
mema	memoria		
q	que		
por	por		
la	la		
suya	suya		
dize	dice		
enbiara	enviará		
me	me		
made	mande		
enbiar	enviar		
pa	para		
que	que		
baya	vaya		
la	la		
ropa	ropa		
en	en		
las	las		
naos	naos		
de	de		
lanas	lanas		
	.		
qu	Que		
esperamos	esperamos		
el	el		
regaliz	regaliz		
benga	venga		
por	por		
el	el		
tienpo	tiempo		
	,		
porque	porque		
	,		
a	a		
benirnos	venirnos		
tarde	tarde		
	,		
no	no		
lo	lo		
tomare	tomaré		
por	por		
los	los		
12	12		
s	sueldos		
	.		
las	Las		
sacas	sacas		
tanbien	también		
podra	podrá		
vm	VM		
enbiar	enviar		
por	por		
su	su		
qta	cuenta		
o	o		
por	por		
la	la		
mia	mía		
o	o		
como	como		
quisiere	quisiere		
o	o		
si	si		
quiera	quiera		
a	a		
medias	medias		
	.		
con	Con		
lo	lo		
dicho	dicho		
no	no		
ay	hay		
otro	otro		
que	que		
dezir	decir		
	.		
çera	Cera		
bale	vale		
20	20		
e	escudos		
1/2	1/2		
	;		
anascotes	anascotes		
	,		
a	a		
50	50		
s	sueldos		
	;		
cobre	cobre		
	,		
de	de		
45	45		
a	a		
46	46		
s	sueldos		
	;		
tunes	túnez		
	,		
7	7		
l	libras		
12	12		
s	sueldos		
	;		
ultrafinos	ultrafinos		
	,		
6	6		
l	libras		
6	6		
s	sueldos		
	;		
menines	menines		
	,		
8	8		
l	libras		
13	13		
s	sueldos		
	.		
canbiase	Cámbiase		
por	por		
mayo	mayo		
a	a		
68	68		
	.		
n	Nuestro		
s	Señor		
gue	guarde		
y	y		
prospere	prospere		
a	a		
vm	VM		
como	como		
desea	desea		
.	.		
besa	Besa		
las	las		
maos	manos		
a	a		
vm	VM		
	,		
Miguel	Miguel		
de	de		
Gamez	Gámez		
