Rmo	Reverendísimo	AQSMS0	reverendo
señor	señor	NP00000	señor
	.	Fp	.
A	A	SPS00	a
tantas	tantas	DI0FP0	tanto
mohinas	mohínas	AQ0FP0	mohíno
y	y	CC	y
pesadunbres	pesadumbres	NCFP000	pesadumbre
como	como	CS	como
al	al	SPS00+DA0MS0	a+el
pe	padre	NCMS000	padre
comor	comendador	NCMS000	comendador
fray	fray	NP00000	fray
antonio	Antonio	NP00000	antonio
Escobar	Escobar	NP00000	escobar
emos	hemos	VAIP1P0	haber
dado	dado	VMP0000	dar
quisiera	quisiera	VMSI0S0	querer
mucho	mucho	RQ	mucho
personalmente	personalmente	RG	personalmente
dar	dar	VMN0000	dar
va	a	SPS00	a
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
El	el	DA0MS0	el
mucho	mucho	DI0MS0	mucho
descargo	descargo	NCMS000	descargo
que	que	CS	que
con	con	SPS00	con
mi	mi	DP1CSS	mi
venida	venida	NCFS000	venida
y	y	CC	y
trayda	traída	VMP00SF	traer
de	de	SPS00	de
unos	unos	DI0MP0	uno
ys	indios	NCMP000	indio
que	que	PR0CN000	que
se	se	P00CN000	se
fueron	fueron	VMIS3P0	ir
al	al	SPS00+DA0MS0	a+el
monte	monte	NCMS000	monte
	,	Fc	,
llamados	llamados	VMP00PM	llamar
lacaxas	lacaxas	NP00000	lacaxas
	,	Fc	,
e	he	VAIP1S0	haber
sacado	sacado	VMP0000	sacar
En	en	SPS00	en
linpio	limpio	AQ0MS0	limpio
	.	Fp	.
pero	Pero	CC	pero
dejarlo	dejarlo	VMN0000+PP3MSA00	dejar+lo
e	he	VMIP1S0	haber
para	para	SPS00	para
que	que	CS	que
con	con	SPS00	con
mas	más	RC	más
tienpo	tiempo	NCMS000	tiempo
y	y	CC	y
lugar	lugar	NCMS000	lugar
	,	Fc	,
despues	después	RG	después
de	de	SPS00	de
ver	ver	VMN0000	ver
y	y	CC	y
besar	besar	VMN0000	besar
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
las	las	DA0FP0	el
manos	manos	NCFP000	mano
	,	Fc	,
facie	facie	SPS00	facie
at	ad	NCFS000	ad
faciem	faciem	RG	faciem
en	en	SPS00	en
esa	esa	DD0FS0	ese
villa	villa	NCFS000	villa
yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
haga	haga	VMSP0S0	hacer
	.	Fp	.
solo	Sólo	RG	sólo
por	por	SPS00	por
esta	ésta	PD0FS000	este
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
p	paternidad	NP00000	paternidad
quede	quede	VMSP0S0	quedar
muy	muy	RQ	muy
enterado	enterado	VMP00SM	enterar
que	que	CS	que
	,	Fc	,
pasado	pasado	NCMS000	pasado
un	un	DI0MS0	uno
punto	punto	NCMS000	punto
de	de	SPS00	de
colera	cólera	NCFS000	cólera
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
	,	Fc	,
El	el	DA0MS0	el
pe	padre	NCMS000	padre
comor	comendador	NCMS000	comendador
es	es	VSIP3S0	ser
un	un	DI0MS0	uno
angel	ángel	NCMS000	ángel
y	y	CC	y
acude	acude	VMIP3S0	acudir
a	a	SPS00	a
la	la	DA0FS0	el
mucha	mucha	DI0FS0	mucho
nobleza	nobleza	NCFS000	nobleza
que	que	CS	que
dios	Dios	NP00000	dios
le	le	PP3CSD00	le
dio	dio	VMIS3S0	dar
	;	Fx	;
y	y	CC	y
de	de	SPS00	de
oy	hoy	RG	hoy
en	en	SPS00	en
adelante	adelante	RG	adelante
lloraremos	lloraremos	VMIF1P0	llorar
todos	todos	PI0MP000	todo
con	con	SPS00	con
cien	cien	Z	100
ojos	ojos	NCMP000	ojo
su	su	DP3CS0	su
ausencia	ausencia	NCFS000	ausencia
y	y	CC	y
ojala	ojalá	RG	ojalá
fuera	fuera	VSSI0S0	ser
servido	servido	VMP00SM	servir
de	de	SPS00	de
admitir	admitir	VMN0000	admitir
nra	nuestra	DP1FSP	nuestro
suplicacion	suplicación	NCFS000	suplicación
	,	Fc	,
que	que	CS	que
cierto	cierto	RG	cierto
todos	todos	DI0MP0	todo
gustaramos	gustáramos	VMSI1P0	gustar
mucho	mucho	RQ	mucho
d	de	SPS00	de
ello	ello	PD0NN000	ello
	.	Fp	.
pero	Pero	CC	pero
como	como	CS	como
las	las	DA0FP0	el
heridas	heridas	NCFP000	herida
estan	están	VMIP3P0	estar
coRiendo	corriendo	VMG0000	correr
sangre	sangre	NCFS000	sangre
no	no	RN	no
me	me	PP1CS000	me
espanto	espanto	VMIP1S0	espantar
	,	Fc	,
porque	porque	CS	porque
El	el	DA0MS0	el
mucho	mucho	RQ	mucho
bibir	vivir	NCMS000	vivir
y	y	CC	y
ver	ver	VMN0000	ver
tratar	tratar	VMN0000	tratar
haze	hace	VMIP3S0	hacer
a	a	SPS00	a
los	los	DA0MP0	el
honbres	hombres	NCMP000	hombre
austeros	austeros	NCMP000	austero
.	.	Fp	.
todo	Todo	DI0MS0	todo
lo	lo	DA0NS0	el
tratado	tratado	NCMS000	tratado
contra	contra	SPS00	contra
el	el	DA0MS0	el
pe	padre	NCMS000	padre
comor	comendador	NCMS000	comendador
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
por	por	SPS00	por
pechos	pechos	NCMP000	pecho
apasionados	apasionados	VMP00PM	apasionar
y	y	CC	y
de	de	SPS00	de
poca	poca	DI0FS0	poco
conciencia	conciencia	NCFS000	conciencia
	.	Fp	.
y	Y	CC	y
si	si	CS	si
yo	yo	PP1CSN00	yo
estubiera	estuviera	VMSI0S0	estar
en	en	SPS00	en
ese	ese	DD0MS0	ese
pueblo	pueblo	NCMS000	pueblo
	,	Fc	,
enterado	enterado	VMP00SM	enterar
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
aca	acá	RG	acá
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
Estoy	estoy	VMIP1S0	estar
	,	Fc	,
nunca	nunca	RN	nunca
yo	yo	PP1CSN00	yo
diera	diera	VMSI0S0	dar
lugar	lugar	NCMS000	lugar
a	a	SPS00	a
que	que	CS	que
padeciera	padeciera	VMSI0S0	padecer
tan	tan	RC	tan
sin	sin	SPS00	sin
culpa	culpa	NCFS000	culpa
como	como	CS	como
padece	padece	VMIP3S0	padecer
	.	Fp	.
pero	Pero	CC	pero
	,	Fc	,
como	como	CS	como
tan	tan	RC	tan
chapeton	chapetón	NCMS000	chapetón
en	en	SPS00	en
esta	esta	DD0FS0	este
tieRa	tierra	NCFS000	tierra
	,	Fc	,
creyme	creíme	VMIS1S0+PP1CS000	creer+me
de	de	SPS00	de
ligero	ligero	AQ0MS0	ligero
	.	Fp	.
todas	Todas	DI0FP0	todo
an	han	VAIP3P0	haber
sido	sido	VSP0000	ser
ninerias	niñerías	NCFP000	niñería
y	y	CC	y
cosas	cosas	NCFP000	cosa
que	que	CS	que
sacadas	sacadas	NCFP000	sacada
En	en	SPS00	en
linpio	limpio	AQ0MS0	limpio
no	no	RN	no
llegan	llegan	VMIP3P0	llegar
al	al	SPS00+DA0MS0	a+el
fuego	fuego	NCMS000	fuego
mas	más	RC	más
de	de	SPS00	de
ponderaciones	ponderaciones	NCFP000	ponderación
de	de	SPS00	de
quien	quien	PR0CS000	quien
digo	digo	VMIP1S0	decir
.	.	Fp	.
aora	Ahora	RG	ahora
nos	nos	PP1CP000	nos
a	ha	VAIP3S0	haber
perdonado	perdonado	VMP0000	perdonar
a	a	SPS00	a
todos	todos	PI0MP000	todo
y	y	CC	y
nos	nos	PP1CP000	nos
a	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
mas	más	RC	más
md	merced	NCFS000	merced
que	que	CS	que
nunca	nunca	RN	nunca
y	y	CC	y
nos	nos	PP1CP000	nos
deja	deja	VMIP3S0	dejar
muy	muy	RQ	muy
obligados	obligados	VMP00PM	obligar
a	a	SPS00	a
su	su	DP3CS0	su
servicio	servicio	NCMS000	servicio
	.	Fp	.
