Ihus	Jesús	NP00000	jesús
	,	Fc	,
maria	María	NP00000	maría
dios	Dios	NP00000	dios
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
sea	sea	VSSP0S0	ser
con	con	SPS00	con
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
y	y	CC	y
con	con	SPS00	con
todos	todos	PI0MP000	todo
	.	Fp	.
amen	Amén	I	amén
	.	Fp	.
Rvi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
y	y	CC	y
mucha	mucha	DI0FS0	mucho
charidad	caridad	NCFS000	caridad
y	y	CC	y
Regalo	regalo	NCMS000	regalo
En	en	SPS00	en
que	que	CS	que
se	se	P00CN000	se
aquerde	acuerde	VMSP0S0	acordar
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
de	de	SPS00	de
Este	este	DD0MS0	este
su	su	DP3CS0	su
tan	tan	RC	tan
berdadero	verdadero	AQ0MS0	verdadero
hijo	hijo	NCMS000	hijo
	,	Fc	,
pues	pues	CS	pues
El	el	DA0MS0	el
sello	serlo	VSN0000+PP3CNA00	ser+lo
yo	yo	PP1CSN00	yo
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
mas	más	RC	más
dicha	dicha	NCFS000	dicha
	;	Fx	;
que	que	CS	que
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
desgraçia	desgracia	NCFS000	desgracia
Estar	estar	VMN0000	estar
absente	ausente	AQ0CS0	ausente
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
y	y	CC	y
no	no	RN	no
gozar	gozar	VMN0000	gozar
de	de	SPS00	de
tan	tan	RC	tan
santa	santa	AQ0FS0	santo
dotrina	doctrina	NCFS000	doctrina
y	y	CC	y
consolatoria	consolatoria	AQ0FS0	consolatorio
bista	vista	NCFS000	vista
	.	Fp	.
que	Que	CS	que
tenga	tenga	VMSP0S0	tener
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
salud	salud	NCFS000	salud
	;	Fx	;
me	me	PP1CS000	me
huelgo	huelgo	VMIP1S0	holgar
abmentela	auméntela	SPS00	auméntela
nro	Nuestro	DP1MSP	nuestro
senor	Señor	NP00000	señor
como	como	CS	como
puede	puede	VMIP3S0	poder
y	y	CC	y
sus	sus	DP3CP0	su
hijos	hijos	NCMP000	hijo
deseamos	deseamos	VMIP1P0	desear
.	.	Fp	.
Espantame	Espántame	VMIP3S0+PP1CS000	espantar+me
El	el	DA0MS0	el
pe	padre	NCMS000	padre
fray	fray	NP00000	fray
antonio	Antonio	NP00000	antonio
de	de	SPS00	de
Escobar	Escobar	NP00000	escobar
tornar	tornar	VMN0000	tornar
a	a	SPS00	a
tratar	tratar	VMN0000	tratar
negoçio	negocio	NCMS000	negocio
tan	tan	RC	tan
acabado	acabado	VMP00SM	acabar
y	y	CC	y
tan	tan	RC	tan
contra	contra	SPS00	contra
su	su	DP3CS0	su
honor	honor	NCMS000	honor
	.	Fp	.
yo	Yo	PP1CSN00	yo
le	le	PP3CSD00	le
Escribire	escribiré	VMIF1S0	escribir
a	a	SPS00	a
cochabanba	Cochabamba	NP00000	cochabamba
	,	Fc	,
donde	donde	PA000000	donde
Reside	reside	VMIP3S0	residir
	,	Fc	,
que	que	CS	que
lo	lo	PP3CNA00	lo
haze	hace	VMIP3S0	hacer
mal	mal	RG	mal
	,	Fc	,
pues	pues	CS	pues
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
	,	Fc	,
sin	sin	SPS00	sin
yrle	irle	RG	irle
nada	nada	PI0NN00N	nada
ni	ni	CC	ni
aber	haber	VMN0000	haber
En	en	SPS00	en
El	el	DA0MS0	el
negoçio	negocio	NCMS000	negocio
de	de	SPS00	de
las	las	DA0FP0	el
bacas	vacas	NCFP000	vaca
mas	más	RC	más
parte	parte	NCFS000	parte
de	de	SPS00	de
meter	meter	VMN0000	meter
paz	paz	NCFS000	paz
y	y	CC	y
quitar	quitar	VMN0000	quitar
alguna	alguna	DI0FS0	alguno
ocaçion	ocasión	NCFS000	ocasión
	,	Fc	,
si	si	CS	si
la	la	PP3FSA00	lo
abia	había	VMII0S0	haber
	,	Fc	,
de	de	SPS00	de
quejas	quejas	NCFP000	queja
	,	Fc	,
le	le	PP3CSD00	le
dio	dio	VMIS3S0	dar
todo	todo	DI0MS0	todo
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
conmigo	conmigo	SPS00+PP1CSO00	con+mí
El	él	PP3MS000	él
paso	pasó	VMIS3S0	pasar
y	y	CC	y
quixo	quejó	VMIS3S0	quejar
	.	Fp	.
y	Y	CC	y
El	el	DA0MS0	el
curador	curador	NCMS000	curador
de	de	SPS00	de
la	la	DA0FS0	el
menor	menor	AQ0CS0	menor
dio	dio	VMIS3S0	dar
carta	carta	NCFS000	carta
de	de	SPS00	de
pago	pago	NCMS000	pago
y	y	CC	y
quedo	quedó	VMIS3S0	quedar
contento	contento	AQ0MS0	contento
	.	Fp	.
tornar	Tornar	VMN0000	tornar
agora	ahora	RG	ahora
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
a	a	SPS00	a
quejarse	quejarse	VMN0000+P00CN000	quejar+se
	...	Fs	...
no	No	RN	no
se	sé	VMIP1S0	saber
que	qué	PT0CN000	qué
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
y	y	CC	y
la	la	DA0FS0	el
conpania	Compañía	NCFS000	compañía
por	por	SPS00	por
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
hizo	hizo	VMIS3S0	hacer
El	el	DA0MS0	el
deber	deber	VMN0000	deber
