magco	Magnífico	AQ0MS0	magnífico
señor	señor	NP00000	señor
	.	Fp	.
Vmd	VM	NP00000	VM
sepa	sepa	VMSP0S0	saber
y	y	CC	y
entienda	entienda	VMSP0S0	entender
este	este	DD0MS0	este
negoçio	negocio	NCMS000	negocio
	.	Fp	.
q	Que	CS	que
yo	yo	PP1CSN00	yo
declarare	declararé	VMIF1S0	declarar
a	a	SPS00	a
Vmd	VM	NP00000	VM
q	que	CS	que
es	es	VSIP3S0	ser
q	que	CS	que
yo	yo	PP1CSN00	yo
	,	Fc	,
q	que	CS	que
escrivo	escribo	VMIP1S0	escribir
la	la	DA0FS0	el
presente	presente	AQ0CS0	presente
	,	Fc	,
soy	soy	VSIP1S0	ser
el	el	DA0MS0	el
delinquente	delincuente	NCMS000	delincuente
d	de	SPS00	de
este	este	DD0MS0	este
negoçio	negocio	NCMS000	negocio
	.	Fp	.
que	Que	CS	que
di	di	VMIS1S0	dar
la	la	DA0FS0	el
mano	mano	NCFS000	mano
y	y	CC	y
palabra	palabra	NCFS000	palabra
a	a	SPS00	a
una	una	DI0FS0	uno
donçella	doncella	NCFS000	doncella
pa	para	SPS00	para
casarme	casarme	VMN0000+PP1CS000	casar+me
con	con	SPS00	con
ella	ella	PP3FS000	él
	.	Fp	.
i	Y	CC	y
la	la	PP3FSA00	lo
ube	hube	VMIS1S0	haber
primero	primero	RG	primero
y	y	CC	y
despues	después	RG	después
q	que	CS	que
le	le	PP3CSD00	le
di	di	VMIS1S0	dar
la	la	DA0FS0	el
mo	mano	NCFS000	mano
Carnalmente	carnalmente	RG	carnalmente
	.	Fp	.
y	Y	CC	y
estavan	estaban	VMII3P0	estar
dos	dos	Z	2
testigos	testigos	NCCP000	testigo
dlante	delante	RG	delante
quando	cuando	PA000000	cuando
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
di	di	VMIS1S0	dar
la	la	DA0FS0	el
mao	mano	NCFS000	mano
pa	para	SPS00	para
casarme	casarme	VMN0000+PP1CS000	casar+me
con	con	SPS00	con
ella	ella	PP3FS000	él
	.	Fp	.
y	Y	CC	y
no	no	RN	no
paso	pasó	VMIS3S0	pasar
nyngun	ningún	DI0MS0	ninguno
sacramento	sacramento	NCMS000	sacramento
d	de	SPS00	de
la	la	DA0FS0	el
yglia	iglesia	NCFS000	iglesia
Entre	entre	SPS00	entre
nosotros	nosotros	PP1MP000	nosotros
mas	más	RC	más
d	de	SPS00	de
esto	esto	PD0NN000	esto
	.	Fp	.
y	Y	CC	y
agora	ahora	RG	ahora
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
zoçediddo	sucedido	VMP0000	suceder
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
es	es	VSIP3S0	ser
mi	mi	DP1CSS	mi
Voluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
Casarme	casarme	VMN0000+PP1CS000	casar+me
con	con	SPS00	con
ella	ella	PP3FS000	él
	,	Fc	,
sudalle	sudarle	VMN0000+PP3CSD00	sudar+le
casamito	casamiento	NCMS000	casamiento
conforme	conforme	RG	conforme
a	a	SPS00	a
su	su	DP3CS0	su
estado	estado	NCMS000	estado
	,	Fc	,
pues	pues	CS	pues
q	que	CS	que
no	no	RN	no
ay	hay	VMIP3S0	haber
otro	otro	DI0MS0	otro
matrimonio	matrimonio	NCMS000	matrimonio
Entre	entre	SPS00	entre
nosotros	nosotros	PP1MP000	nosotros
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
q	que	CS	que
Vmd	VM	NP00000	VM
sepa	sepa	VMSP0S0	saber
q	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
Recreçido	recrecido	VMP0000	recrecer
q	que	CS	que
tengo	tengo	VMIP1S0	tener
carnalmte	carnalmente	RG	carnalmente
qher	quehacer	NCMS000	quehacer
con	con	SPS00	con
otra	otra	DI0FS0	otro
donçella	doncella	NCFS000	doncella
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esta	ésta	PD0FS000	este
es	es	VSIP3S0	ser
mi	mi	DP1CSS	mi
Voluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
casarme	casarme	VMN0000+PP1CS000	casar+me
y	y	CC	y
no	no	RN	no
con	con	SPS00	con
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
	.	Fp	.
y	Y	CC	y
si	si	CS	si
con	con	SPS00	con
esta	ésta	PD0FS000	este
no	no	RN	no
me	me	PP1CS000	me
caso	caso	NCMS000	caso
	,	Fc	,
ella	ella	PP3FS000	él
a	ha	VMIP3S0	haber
de	de	SPS00	de
her	hacer	VMN0000	hacer
un	un	DI0MS0	uno
malhecho	malhecho	NCMS000	malhecho
y	y	CC	y
yo	yo	PP1CSN00	yo
con	con	SPS00	con
ella	ella	PP3FS000	él
	.	Fp	.
y	Y	CC	y
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
con	con	SPS00	con
qual	cuál	PT0CS000	cuál
d	de	SPS00	de
estas	estas	DD0FP0	este
dos	dos	Z	2
me	me	PP1CS000	me
case	case	VMSP0S0	casar
	,	Fc	,
sy	si	CS	si
con	con	SPS00	con
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
dandole	dándole	VMG0000+PP3CSD00	dar+le
casamito	casamiento	NCMS000	casamiento
Cunplo	cumplo	VMIP1S0	cumplir
como	como	CS	como
dixe	dije	VMIS1S0	decir
aRiba	arriba	RG	arriba
pa	para	SPS00	para
q	que	CS	que
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
pueda	pueda	VMSP0S0	poder
casar	casar	VMN0000	casar
con	con	SPS00	con
estotra	estotra	PD0FS000	estotro
	,	Fc	,
q	que	CS	que
es	es	VSIP3S0	ser
la	la	DA0FS0	el
seguda	segunda	AO0FS0	segundo
	.	Fp	.
y	Y	CC	y
Vmd	VM	NP00000	VM
m	me	PP1CS000	me
escriba	escriba	VMSP0S0	escribir
con	con	SPS00	con
la	la	DA0FS0	el
q	que	PR0CN000	que
la	la	DA0FS0	el
presente	presente	AQ0CS0	presente
lleva	lleva	VMIP3S0	llevar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
e	he	VMIP1S0	haber
de	de	SPS00	de
her	hacer	VMN0000	hacer
	;	Fx	;
seguramte	seguramente	RG	seguramente
si	sí	RG	sí
es	es	VSIP3S0	ser
con	con	SPS00	con
la	la	DA0FS0	el
segunda	segunda	AO0FS0	segundo
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
esto	esto	PD0NN000	esto
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
dios	Dios	NP00000	dios
y	y	CC	y
a	a	SPS00	a
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
enbie	envíe	VMSP0S0	enviar
declarado	declarado	VMP00SM	declarar
como	cómo	PA000000	cómo
yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
e	he	VMIP1S0	haber
de	de	SPS00	de
her	hacer	VMN0000	hacer
	.	Fp	.
q	Que	CS	que
yo	yo	PP1CSN00	yo
digo	digo	VMIP1S0	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
q	que	CS	que
	,	Fc	,
si	si	CS	si
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
her	hacer	VMN0000	hacer
con	con	SPS00	con
la	la	DA0FS0	el
segunda	segunda	AO0FS0	segundo
como	como	CS	como
dixe	dije	VMIS1S0	decir
dl	del	SPS00+DA0MS0	de+el
cunplimito	cumplimiento	NCMS000	cumplimiento
d	de	SPS00	de
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
llevare	llevaré	VMIF1S0	llevar
en	en	SPS00	en
psona	persona	NCFS000	persona
a	a	SPS00	a
Vmd	VM	NP00000	VM
un	un	DI0MS0	uno
capon	capón	NCMS000	capón
y	y	CC	y
una	una	DI0FS0	uno
gallina	gallina	NCFS000	gallina
