muy	Muy	RQ	muy
Vtuoso	virtuoso	AQ0MS0	virtuoso
señor	señor	NP00000	señor
	.	Fp	.
agame	Hágame	VMSP0S0+PP1CS000	hacer+me
mde	merced	NCFS000	merced
q	que	CS	que
Venda	venda	VMSP0S0	vender
el	el	DA0MS0	el
trigo	trigo	NCMS000	trigo
lo	lo	DA0NS0	el
mas	más	RC	más
presto	presto	RG	presto
que	que	PR0CN000	que
pueda	pueda	VMSP0S0	poder
	.	Fp	.
y	Y	CC	y
no	no	RN	no
lo	lo	PP3CNA00	lo
Vendays	vendáis	VMSP2P0	vender
syn	sin	SPS00	sin
qu	que	CS	que
este	esté	VMSP0S0	estar
presente	presente	AQ0CS0	presente
xpo	XPO	NP00000	xpo
alchez	Alchez	NP00000	alchez
	,	Fc	,
byn	bien	CC	bien
su	su	DP3CS0	su
yjo	hijo	NCMS000	hijo
U	u	CC	o
otro	otro	PI0MS000	otro
quien	quien	PR0CS000	quien
el	él	PP3MS000	él
mandare	mandare	VMSF0S0	mandar
q	que	CS	que
este	esté	VMSP0S0	estar
presente	presente	AQ0CS0	presente
al	al	SPS00+DA0MS0	a+el
tyenpo	tiempo	NCMS000	tiempo
que	que	PR0CN000	que
lo	lo	PP3MSA00	lo
ayays	hayáis	VMSP2P0	haber
de	de	SPS00	de
medir	medir	VMN0000	medir
	.	Fp	.
y	Y	CC	y
no	no	RN	no
escriVo	escribo	VMIP1S0	escribir
mas	más	RC	más
	,	Fc	,
syno	sino	CC	sino
q	que	CS	que
quedo	quedo	VMIP1S0	quedar
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
	,	Fc	,
señor	señor	NP00000	señor
	,	Fc	,
mandaredes	mandáredes	VMSF2P0	mandar
	.	Fp	.
en	En	SPS00	en
consuegra	Consuegra	NP00000	consuegra
	,	Fc	,
a	a	SPS00	a
xx	XX	Z	20
de	de	SPS00	de
mayo	mayo	NCMS000	mayo
de	de	SPS00	de
myll	mil	Z	1000
y	y	CC	y
quinientos	quinientos	Z	500
y	y	CC	y
treynta	treinta	Z	30
anos	años	NCMP000	año
	.	Fp	.
seVastian	Sebastián	NP00000	sebastián
gomez	Gómez	NP00000	gómez
