Many	Magnífico	AQ0MS0	magnífico
Señor	señor	NP00000	señor
	.	Fp	.
Señor	Señor	NP00000	señor
	.	Fp	.
La	La	DA0FS0	el
presente	presente	NCMS000	presente
Sera	será	VSIF3S0	ser
par	para	SPS00	para
haser	hacer	VMN0000	hacer
Saber	saber	VMN0000	saber
a	a	SPS00	a
Voestra	vuestra	DP2FSP	vuestro
mercet	merced	NP00000	merced
como	como	CS	como
la	la	DA0FS0	el
Vispra	víspera	NCFS000	víspera
de	de	SPS00	de
Sant	San	NP00000	san
Lucas	Lucas	NP00000	lucas
prendieron	prendieron	VMIS3P0	prender
a	a	SPS00	a
Isac	Isaac	NP00000	isaac
La	la	DA0FS0	el
inquisision	Inquisición	NP00000	inquisición
i	y	CC	y
le	le	PP3CSA00	le
levaron	llevaron	VMIS3P0	llevar
a	a	SPS00	a
toleda	Toledo	NP00000	toledo
	.	Fp	.
Lo	Lo	DA0NS0	el
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
entendido	entendido	VMP00SM	entender
que	que	CS	que
loego	luego	RG	luego
Iran	irán	VMIF3P0	ir
por	por	SPS00	por
Vos	vos	PP2CS000	vos
	.	Fp	.
por	Por	SPS00	por
esto	esto	PD0NN000	esto
mira	mira	VMM02S0	mirar
Lo	lo	DA0NS0	el
que	que	PR0CN000	que
terminas	terminas	VMIP2S0	terminar
de	de	SPS00	de
haser	hacer	VMN0000	hacer
	,	Fc	,
que	que	CS	que
el	el	DA0MS0	el
viernes	viernes	NCMN000	viernes
sera	será	VSIF3S0	ser
aqua	acá	RG	acá
L	el	DA0MS0	el
alhasil	alguacil	NCMS000	alguacil
de	de	SPS00	de
la	la	DA0FS0	el
enquisisisiorn	Inquisición	NP00000	inquisición
	.	Fp	.
