Por	Por	SPS00	por
la	la	DA0FS0	el
carta	carta	NCFS000	carta
que	que	CS	que
Vm	VM	NP00000	VM
ha	ha	VAIP3S0	haber
escrito	escrito	VMP0000	escribir
a	a	SPS00	a
nro	nuestro	DP1MSP	nuestro
amigo	amigo	NP00000	amigo
el	el	DA0MS0	el
capitan	capitán	NP00000	capitán
Pedro	Pedro	NP00000	pedro
monçon	Monzón	NP00000	monzón
de	de	SPS00	de
los	los	DA0MP0	el
beinte	veinte	Z	20
i	y	CC	y
siete	siete	Z	7
de	de	SPS00	de
henero	enero	NCMS000	enero
	,	Fc	,
tengo	tengo	VMIP1S0	tener
visto	visto	VMP0000	ver
el	el	DA0MS0	el
horden	orden	NCMS000	orden
le	le	PP3CSD00	le
da	da	VMIP3S0	dar
en	en	SPS00	en
que	que	CS	que
remate	remate	VMSP0S0	rematar
la	la	DA0FS0	el
cuenta	cuenta	NCFS000	cuenta
conmigo	conmigo	SPS00+PP1CSO00	con+mí
i	y	CC	y
le	le	PP3CSD00	le
remitta	remita	VMSP0S0	remitir
la	la	DA0FS0	el
resta	resta	NCFS000	resta
	.	Fp	.
i	Y	CC	y
ansi	así	RG	así
	,	Fc	,
como	como	CS	como
vehera	verá	VMIF3S0	ver
Vm	VM	NP00000	VM
por	por	SPS00	por
la	la	DA0FS0	el
cuenta	cuenta	NCFS000	cuenta
va	va	VMIP3S0	ir
con	con	SPS00	con
esta	ésta	PD0FS000	este
	,	Fc	,
he	he	VAIP1S0	haber
pagados	pagados	VMP0000	pagar
a	a	SPS00	a
dicho	dicho	VMP00SM	decir
capitan	capitán	NCMS000	capitán
ochosientos	ochocientos	Z	800
setenta	setenta	Z	70
reales	reales	NCMP000	real
castellanos	castellanos	AQ0MP0	castellano
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
io	yo	PP1CSN00	yo
quedava	quedaba	VMII0S0	quedar
deudor	deudor	NCMS000	deudor
a	a	SPS00	a
Vm	VM	NP00000	VM
por	por	SPS00	por
los	los	DA0MP0	el
salarios	salarios	NCMP000	salario
de	de	SPS00	de
duanero	aduanero	NCMS000	aduanero
havia	había	VAII0S0	haber
cobrado	cobrado	VMP0000	cobrar
hasta	hasta	SPS00	hasta
los	los	DA0MP0	el
dies	diez	Z	10
de	de	SPS00	de
henero	enero	NCMS000	enero
propasado	propasado	VMP00SM	propasar
del	del	SPS00+DA0MS0	de+el
prte	presente	AQ0CS0	presente
año	año	NCMS000	año
	.	Fp	.
i	Y	CC	y
nuestra	nuestra	DP1FSP	nuestro
cuenta	cuenta	NCFS000	cuenta
resta	resta	VMIP3S0	restar
rematada	rematada	NCFS000	rematada
hasta	hasta	SPS00	hasta
dicho	dicho	VMP00SM	decir
dia	día	NCMS000	día
	.	Fp	.
Vm	VM	NP00000	VM
la	la	PP3FSA00	lo
mandara	mandará	VMIF3S0	mandar
veher	ver	VMN0000	ver
i	y	CC	y
	,	Fc	,
estando	estando	VMG0000	estar
bien	bien	RG	bien
	,	Fc	,
si	si	CS	si
sera	será	VSIF3S0	ser
serbido	servido	VMP00SM	servir
avisara	avisará	VMIF3S0	avisar
d	de	SPS00	de
ello	ello	PD0NN000	ello
.	.	Fp	.
El	El	DA0MS0	el
recado	recado	NCMS000	recado
que	que	PR0CN000	que
Vm	VM	NP00000	VM
dize	dice	VMIP3S0	decir
me	me	PP1CS000	me
enbiara	enviará	VMIF3S0	enviar
para	para	SPS00	para
defensa	defensa	NCFS000	defensa
de	de	SPS00	de
la	la	DA0FS0	el
juridission	jurisdicción	NCFS000	jurisdicción
