señor	Señor	NP00000	señor
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
con	con	SPS00	con
q	qué	DT0CN0	qué
palabras	palabras	NCFP000	palabra
exajerar	exajerar	VMN0000	exajerar
la	la	DA0FS0	el
md	merced	NCFS000	merced
que	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
solo	sólo	RG	sólo
con	con	SPS00	con
el	el	DA0MS0	el
callar	callar	VMN0000	callar
y	y	CC	y
de	de	SPS00	de
nuevo	nuevo	AQ0MS0	nuevo
me	me	PP1CS000	me
proferir	proferir	VMN0000	proferir
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
ai	hay	VMIP3S0	haber
que	que	CS	que
mas	más	RC	más
	,	Fc	,
pues	pues	CS	pues
mandandome	mandándome	VMG0000+PP1CS000	mandar+me
vm	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
dixe	dije	VMIS1S0	decir
en	en	SPS00	en
la	la	DA0FS0	el
pasada	pasada	VMP00SF	pasar
	,	Fc	,
conoçera	conocerá	VMIF3S0	conocer
deçir	decir	VMN0000	decir
y	y	CC	y
hazer	hacer	VMN0000	hacer
comer	comer	VMN0000	comer
a	a	SPS00	a
mi	mi	DP1CSS	mi
mesa	mesa	NCFS000	mesa
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
va	va	VMIP3S0	ir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
por	por	SPS00	por
su	su	DP3CS0	su
carta	carta	NCFS000	carta
a	a	SPS00	a
mandar	mandar	VMN0000	mandar
m	me	PP1CS000	me
enbia	envía	VMIP3S0	enviar
	,	Fc	,
juro	juro	NCMS000	juro
por	por	SPS00	por
el	el	DA0MS0	el
abito	hábito	NCMS000	hábito
de	de	SPS00	de
santiago	Santiago	NP00000	santiago
qu	que	CS	que
en	en	SPS00	en
la	la	DA0FS0	el
çiudad	ciudad	NCFS000	ciudad
de	de	SPS00	de
cuenca	Cuenca	NP00000	cuenca
no	no	RN	no
los	los	PP3MPA00	lo
ai	hay	VMIP3S0	haber
y	y	CC	y
pesame	pésame	NCMS000	pésame
en	en	SPS00	en
todo	todo	DI0MS0	todo
estremo	extremo	NCMS000	extremo
de	de	SPS00	de
no	no	RN	no
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
aver	haber	VAN0000	haber
hecho	hecho	VMP0000	hacer
saber	saber	VMN0000	saber
