sy	Si	CS	si
no	no	RN	no
fuera	fuera	VSSI0S0	ser
tyenpo	tiempo	NCMS000	tiempo
tan	tan	RC	tan
aprolejado	aprolejado	X	x
pa	para	SPS00	para
pedyr	pedir	VMN0000	pedir
perdon	perdón	NCMS000	perdón
y	y	CC	y
es	es	VSIP3S0	ser
tan	tan	RC	tan
justo	justo	AQ0MS0	justo
el	el	DA0MS0	el
darmelo	dármelo	VMN0000+PP1CS000+PP3MSA00	dar+me+lo
vm	VM	NP00000	VM
q	que	CS	que
por	por	SPS00	por
serlo	serlo	VSN0000+PP3CNA00	ser+lo
tanto	tanto	RC	tanto
sygura	segura	AQ0FS0	seguro
q	que	CS	que
vm	VM	NP00000	VM
	,	Fc	,
byendo	viendo	VMG0000	ver
la	la	DA0FS0	el
causa	causa	NCFS000	causa
q	que	PR0CN000	que
e	he	VAIP1S0	haber
tenydo	tenido	VMP0000	tener
pa	para	SPS00	para
no	no	RN	no
aber	haber	VAN0000	haber
echo	hecho	VMP0000	hacer
esto	esto	PD0NN000	esto
tantos	tantos	DI0MP0	tanto
dyas	días	NCMP000	día
a	ha	VMIP3S0	haber
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
culpara	culpará	VMIF3S0	culpar
sabyendo	sabiendo	VMG0000	saber
las	las	DA0FP0	el
q	que	PR0CN000	que
e	he	VAIP1S0	haber
padezydo	padecido	VMP0000	padecer
despues	después	RG	después
q	que	CS	que
don	don	NP00000	don
ju	Juan	NP00000	juan
byno	vino	VMIS3S0	venir
de	de	SPS00	de
madryd	Madrid	NP00000	madrid
	,	Fc	,
q	que	CS	que
an	han	VAIP3P0	haber
sydo	sido	VSP0000	ser
cual	cual	CC	cual
dyos	Dios	NP00000	dios
sabe	sabe	VMIP3S0	saber
porq	porque	CS	porque
a	ha	VAIP3S0	haber
estado	estado	VMP0000	estar
a	a	SPS00	a
la	la	DA0FS0	el
muerte	muerte	NCFS000	muerte
	.	Fp	.
bendyto	Bendito	AQ0MSP	bendito
sea	sea	VSSP0S0	ser
el	él	PP3MS000	él
	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
cordado	acordado	VMP0000	acordar
de	de	SPS00	de
my	mí	PP1CSO00	mí
y	y	CC	y
le	le	PP3CSD00	le
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
entera	entera	AQ0FS0	entero
salud	salud	NCFS000	salud
	.	Fp	.
a	A	SPS00	a
my	mi	DP1CSS	mi
tyo	tío	NCMS000	tío
tuve	tuve	VMIS1S0	tener
tan	tan	RC	tan
syn	sin	SPS00	sin
ella	ella	PP3FS000	él
q	que	CS	que
no	no	RN	no
pensamos	pensamos	VMIP1P0	pensar
q	que	CS	que
escapara	escapara	VMSI0S0	escapar
de	de	SPS00	de
un	un	DI0MS0	uno
dolor	dolor	NCMS000	dolor
de	de	SPS00	de
costado	costado	VMP0000	costar
	.	Fp	.
qda	Queda	VMIP3S0	quedar
bueno	bueno	AQ0MS0	bueno
a	a	SPS00	a
servycyo	servicio	NCMS000	servicio
de	de	SPS00	de
vm	VM	NP00000	VM
y	y	CC	y
besa	besa	VMIP3S0	besar
las	las	DA0FP0	el
ms	manos	NCFP000	mano
a	a	SPS00	a
vm	VM	NP00000	VM
	;	Fx	;
y	y	CC	y
don	don	NP00000	don
juan	Juan	NP00000	juan
muchas	muchas	DI0FP0	mucho
beces	veces	NCFP000	vez
	,	Fc	,
y	y	CC	y
no	no	RN	no
escryve	escribe	VMIP3S0	escribir
pa	para	SPS00	para
