beso	Beso	VMIP1S0	besar
las	las	DA0FP0	el
ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
por	por	SPS00	por
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
q	que	CS	que
con	con	SPS00	con
su	su	DP3CS0	su
carta	carta	NCFS000	carta
me	me	PP1CS000	me
hyzo	hizo	VMIS3S0	hacer
	.	Fp	.
q	Que	CS	que
a	a	SPS00	a
lo	lo	DA0NS0	el
prymero	primero	RG	primero
quyero	quiero	VMIP1S0	querer
dezyr	decir	VMN0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
ansy	así	RG	así
dyos	Dios	NP00000	dios
me	me	PP1CS000	me
salve	salve	NCFS000	salve
	,	Fc	,
q	que	CS	que
no	no	RN	no
e	he	VAIP1S0	haber
bysto	visto	VMP0000	ver
la	la	DA0FS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
dyze	dice	VMIP3S0	decir
me	me	PP1CS000	me
enbyo	envío	VMIP1S0	enviar
por	por	SPS00	por
la	la	DA0FS0	el
bya	vía	NCFS000	vía
de	de	SPS00	de
floryan	Florián	NP00000	florián
de	de	SPS00	de
lugo	Lugo	NP00000	lugo
	.	Fp	.
y	Y	CC	y
ansy	así	RG	así
por	por	SPS00	por
no	no	RN	no
aberla	haberla	VAN0000+PP3FSA00	haber+lo
rrezyvydo	recibido	VMP0000	recibir
no	no	RN	no
aya	haya	VASP0S0	haber
rrespondydo	respondido	VMP0000	responder
	.	Fp	.
a	A	SPS00	a
floryan	Florián	NP00000	florián
de	de	SPS00	de
lugo	Lugo	NP00000	lugo
le	le	PP3CSD00	le
escryvo	escribo	VMIP1S0	escribir
q	que	CS	que
me	me	PP1CS000	me
abyse	avise	VMSP0S0	avisar
q	qué	PT0CN000	qué
la	la	PP3FSA00	lo
hyzo	hizo	VMIS3S0	hacer
y	y	CC	y
me	me	PP1CS000	me
la	la	PP3FSA00	lo
enbye	envíe	VMSP0S0	enviar
	.	Fp	.
y	Y	CC	y
buelbo	vuelvo	VMIP1S0	volver
a	a	SPS00	a
besar	besar	VMN0000	besar
las	las	DA0FP0	el
ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
otras	otras	DI0FP0	otro
tantas	tantas	DI0FP0	tanto
bezes	veces	NCFP000	vez
por	por	SPS00	por
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
mrd	merced	NCFS000	merced
q	que	PR0CN000	que
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
	,	Fc	,
q	que	CS	que
estoy	estoy	VMIP1S0	estar
muy	muy	RQ	muy
syerta	cierta	AQ0FS0	cierto
de	de	SPS00	de
rrezyvyrla	recibirla	VMN0000+PP3FSA00	recibir+lo
como	como	CS	como
syempre	siempre	RG	siempre
	.	Fp	.
y	Y	CC	y
no	no	RN	no
menos	menos	RC	menos
lo	lo	PP3CNA00	lo
estoy	estoy	VMIP1S0	estar
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
servyr	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
e	he	VAIP1S0	haber
deseado	deseado	VMP0000	desear
	,	Fc	,
q	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
conozer	conocer	VMN0000	conocer
vm	VM	NP00000	VM
esta	esta	DD0FS0	este
boluntad	voluntad	NCFS000	voluntad
y	y	CC	y
entrañas	entrañas	NCFP000	entraña
q	que	PR0CN000	que
son	son	VSIP3P0	ser
onrradas	honradas	AQ0FP0	honrado
y	y	CC	y
berdaderas	verdaderas	AQ0FP0	verdadero
	.	Fp	.
y	Y	CC	y
q	que	CS	que
	,	Fc	,
cuando	cuando	PA000000	cuando
a	a	SPS00	a
vm	VM	NP00000	VM
se	se	P00CN000	se
le	le	PP3CSD00	le
ofrezyere	ofreciere	VMSF0S0	ofrecer
en	en	SPS00	en
q	que	CS	que
acuda	acuda	VMSP0S0	acudir
a	a	SPS00	a
su	su	DP3CS0	su
servycyo	servicio	NCMS000	servicio
	,	Fc	,
bera	verá	VMIF3S0	ver
con	con	SPS00	con
las	las	DA0FP0	el
beras	veras	NCFP000	vera
q	que	PR0CN000	que
es	es	VSIP3S0	ser
berdad	verdad	NCFS000	verdad
esto	esto	PD0NN000	esto
y	y	CC	y
con	con	SPS00	con
las	las	DA0FP0	el
q	que	PR0CN000	que
conozere	conoceré	VMIF1S0	conocer
toda	toda	DI0FS0	todo
my	mi	DP1CSS	mi
byda	vida	NCFS000	vida
lo	lo	DA0NS0	el
q	que	PR0CN000	que
devo	debo	VMIP1S0	deber
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
desela	Désela	VMM02S0+PP3CN000+PP3FSA00	dar+se+lo
dyos	Dios	NP00000	dios
a	a	SPS00	a
vm	VM	NP00000	VM
tantos	tantos	DI0MP0	tanto
años	años	NCMP000	año
como	como	CS	como
deseo	deseo	VMIP1S0	desear
	,	Fc	,
q	que	CS	que
sy	si	CS	si
es	es	VSIP3S0	ser
ansy	así	RG	así
seran	serán	VSIF3P0	ser
muchos	muchos	PI0MP000	mucho
	.	Fp	.
y	Y	CC	y
crea	crea	VMSP0S0	creer
vm	VM	NP00000	VM
q	que	CS	que
los	los	DA0MP0	el
q	que	PR0CN000	que
byvyere	viviere	VMSF0S0	vivir
seran	serán	VSIF3P0	ser
pa	para	SPS00	para
servylle	servirle	VMN0000+PP3CSA00	servir+le
	,	Fc	,
y	y	CC	y
q	que	CS	que
vm	VM	NP00000	VM
a	ha	VMIP3S0	haber
de	de	SPS00	de
conozer	conocer	VMN0000	conocer
esto	esto	PD0NN000	esto
porq	porque	CS	porque
la	la	DA0FS0	el
berdad	verdad	NCFS000	verdad
tyene	tiene	VMIP3S0	tener
tanta	tanta	DI0FS0	tanto
fuerza	fuerza	NCFS000	fuerza
y	y	CC	y
mas	más	RC	más
donde	donde	PA000000	donde
tan	tan	RC	tan
de	de	SPS00	de
beras	veras	NCFP000	vera
se	se	P00CN000	se
trata	trata	VMIP3S0	tratar
y	y	CC	y
a	ha	VAIP3S0	haber
tratado	tratado	VMP0000	tratar
como	como	CS	como
en	en	SPS00	en
vm	VM	NP00000	VM
	.	Fp	.
