byen	Bien	RG	bien
puedo	puedo	VMIP1S0	poder
dezyr	decir	VMN0000	decir
q	que	CS	que
e	he	VAIP1S0	haber
tenydo	tenido	VMP0000	tener
dos	dos	Z	2
contentos	contentos	AQ0MP0	contento
q	que	PR0CN000	que
an	han	VAIP3P0	haber
sydo	sido	VSP0000	ser
arto	harto	RG	harto
gdes	grandes	AQ0CP0	grande
pa	para	SPS00	para
my	mí	PP1CSO00	mí
	:	Fd	:
ber	ver	VMN0000	ver
a	a	SPS00	a
don	don	NP00000	don
ju	Juan	NP00000	juan
tan	tan	RC	tan
bueno	bueno	AQ0MS0	bueno
y	y	CC	y
saber	saber	VMN0000	saber
por	por	SPS00	por
su	su	DP3CS0	su
carta	carta	NCFS000	carta
de	de	SPS00	de
vm	VM	NP00000	VM
q	que	CS	que
lo	lo	PP3CNA00	lo
qda	queda	VMIP3S0	quedar
	,	Fc	,
y	y	CC	y
q	que	CS	que
en	en	SPS00	en
ella	ella	PP3FS000	él
se	se	P00CN000	se
me	me	PP1CS000	me
haga	haga	VMSP0S0	hacer
tanta	tanta	DI0FS0	tanto
m	merced	NCFS000	merced
	,	Fc	,
q	que	CS	que
es	es	VSIP3S0	ser
la	la	DA0FS0	el
q	que	PR0CN000	que
puede	puede	VMIP3S0	poder
merezer	merecer	VMN0000	merecer
un	un	DI0MS0	uno
deseo	deseo	NCMS000	deseo
tan	tan	RC	tan
gde	grande	AQ0CS0	grande
como	como	CS	como
el	el	DA0MS0	el
myo	mío	PX1MS0S0	mío
de	de	SPS00	de
servyr	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
cuyas	cuyas	PU0FP000	cuyo
ms	manos	NCFP000	mano
beso	beso	VMIP1S0	besar
por	por	SPS00	por
el	él	PP3MS000	él
	,	Fc	,
q	que	CS	que
tyene	tiene	VMIP3S0	tener
del	del	SPS00+DA0MS0	de+el
buen	buen	AQ0MS0	bueno
suseso	suceso	NCMS000	suceso
de	de	SPS00	de
nros	nuestros	DP1MPP	nuestro
negocyos	negocios	NCMP000	negocio
el	el	DA0MS0	el
del	del	SPS00+DA0MS0	de+el
tytulo	título	NCMS000	título
	.	Fp	.
a	Ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
muy	muy	RQ	muy
buen	buen	AQ0MS0	bueno
consejo	consejo	NCMS000	consejo
el	el	DA0MS0	el
q	que	CS	que
don	don	NP00000	don
ju	Juan	NP00000	juan
a	ha	VAIP3S0	haber
traydo	traído	VMP0000	traer
