tyene	Tiene	VMIP3S0	tener
vm	VM	NP00000	VM
tanta	tanta	DI0FS0	tanto
rrazon	razón	NCFS000	razón
de	de	SPS00	de
dezyrme	decirme	VMN0000+PP1CS000	decir+me
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
dyze	dice	VMIP3S0	decir
q	que	CS	que
con	con	SPS00	con
solo	sólo	RG	sólo
confesar	confesar	VMN0000	confesar
my	mi	DP1CSS	mi
culpa	culpa	NCFS000	culpa
puedo	puedo	VMIP1S0	poder
suplycar	suplicar	VMN0000	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
me	me	PP1CS000	me
la	la	PP3FSA00	lo
perdone	perdone	VMSP0S0	perdonar
	.	Fp	.
y	Y	CC	y
crea	crea	VMSP0S0	creer
de	de	SPS00	de
my	mí	PP1CSO00	mí
q	que	CS	que
jamas	jamás	RG	jamás
la	la	PP3FSA00	lo
podre	podré	VMIF1S0	poder
tener	tener	VMN0000	tener
en	en	SPS00	en
olbydar	olvidar	VMN0000	olvidar
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
q	que	PR0CN000	que
devo	debo	VMIP1S0	deber
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
este	este	DD0MS0	este
rreconozymyento	reconocimiento	NCMS000	reconocimiento
esta	está	VMIP3S0	estar
tan	tan	RC	tan
en	en	SPS00	en
my	mi	DP1CSS	mi
alma	alma	NCFS000	alma
q	que	CS	que
como	como	CS	como
salvarla	salvarla	VMN0000+PP3FSA00	salvar+lo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
y	Y	CC	y
deseare	desearé	VMIF1S0	desear
syenpre	siempre	RG	siempre
q	que	CS	que
vm	VM	NP00000	VM
eche	eche	VMSP0S0	echar
de	de	SPS00	de
ber	ver	VMN0000	ver
cuan	cuán	RG	cuán
agradesyda	agradecida	VMP00SF	agradecer
soy	soy	VSIP1S0	ser
y	y	CC	y
sere	seré	VSIF1S0	ser
a	a	SPS00	a
quyen	quien	PR0CS000	quien
tan	tan	RC	tan
devydo	debido	VMP00SM	deber
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
la	la	DA0FS0	el
llaneza	llaneza	NCFS000	llaneza
q	que	CS	que
al	al	SPS00+DA0MS0	a+el
conde	conde	NCMS000	conde
my	mi	DP1CSS	mi
hrno	hermano	NCMS000	hermano
e	he	VAIP1S0	haber
tratado	tratado	VMP0000	tratar
a	a	SPS00	a
vm	VM	NP00000	VM
syenpre	siempre	RG	siempre
	,	Fc	,
y	y	CC	y
con	con	SPS00	con
la	la	DA0FS0	el
mysma	misma	AQ0FS0	mismo
sygurydad	seguridad	NCFS000	seguridad
q	que	CS	que
lo	lo	PP3CNA00	lo
hyzyera	hiciera	VMSI0S0	hacer
d	de	SPS00	de
el	él	PP3MS000	él
en	en	SPS00	en
todas	todas	DI0FP0	todo
ocasyones	ocasiones	NCFP000	ocasión
	.	Fp	.
y	Y	CC	y
syerto	cierto	RG	cierto
	,	Fc	,
señor	señor	NP00000	señor
	,	Fc	,
q	que	CS	que
no	no	RN	no
se	se	P00CN000	se
le	le	PP3CSD00	le
ofrezera	ofrecerá	VMIF3S0	ofrecer
a	a	SPS00	a
vm	VM	NP00000	VM
nynguna	ninguna	PI0FS00N	ninguno
de	de	SPS00	de
su	su	DP3CS0	su
servyçyo	servicio	NCMS000	servicio
q	que	CS	que
con	con	SPS00	con
la	la	DA0FS0	el
sangre	sangre	NCFS000	sangre
de	de	SPS00	de
mys	mis	DP1CPS	mi
