Traeme	Tráeme	VMM02S0+PP1CS000	traer+me
my	mi	DP1CSS	mi
preñado	preñado	NCMS000	preñado
con	con	SPS00	con
unos	unos	DI0MP0	uno
corrymyentos	corrimientos	NCMP000	corrimiento
q	que	PR0CN000	que
me	me	PP1CS000	me
apryetan	aprietan	VMIP3P0	apretar
mucho	mucho	RQ	mucho
	,	Fc	,
mas	mas	CC	mas
estoy	estoy	VMIP1S0	estar
alybyada	aliviada	VMP00SF	aliviar
del	del	SPS00+DA0MS0	de+el
q	que	PR0CN000	que
escryvy	escribí	VMIS1S0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
tenya	tenía	VMII0S0	tener
	,	Fc	,
porq	porque	CS	porque
aquell	aquel	DD0MS0	aquel
dya	día	NCMS000	día
me	me	PP1CS000	me
fatygo	fatigó	VMIS3S0	fatigar
mucho	mucho	RQ	mucho
el	el	DA0MS0	el
dolor	dolor	NCMS000	dolor
de	de	SPS00	de
muelas	muelas	NP00000	muelas
	.	Fp	.
graçyas	Gracias	NCFP000	gracia
a	a	SPS00	a
dyos	Dios	NP00000	dios
	,	Fc	,
con	con	SPS00	con
rremedyos	remedios	NP00000	remedios
q	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
an	han	VAIP3P0	haber
echo	hecho	VMP0000	hacer
qdo	quedo	VMIP1S0	quedar
con	con	SPS00	con
mucha	mucha	DI0FS0	mucho
mejorya	mejoría	NCFS000	mejoría
y	y	CC	y
deseando	deseando	VMG0000	desear
como	como	CS	como
lo	lo	PP3CNA00	lo
devo	debo	VMIP1S0	deber
servyr	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
a	a	SPS00	a
todas	todas	DI0FP0	todo
sus	sus	DP3CP0	su
cosas	cosas	NCFP000	cosa
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
qdar	quedar	VMN0000	quedar
mala	mala	AQ0FS0	malo
como	como	CS	como
e	he	VAIP1S0	haber
dycho	dicho	VMP0000	decir
no	no	RN	no
puede	puede	VMIP3S0	poder
dezyr	decir	VMN0000	decir
lo	lo	DA0NS0	el
q	que	PR0CN000	que
dyre	diré	VMIF1S0	decir
en	en	SPS00	en
esta	ésta	PD0FS000	este
	,	Fc	,
fuera	fuera	RG	fuera
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
e	he	VAIP1S0	haber
dycho	dicho	VMP0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
del	del	SPS00+DA0MS0	de+el
pleyto	pleito	NCMS000	pleito
