ille	Ilustre	AQ0CS0	ilustre
sa	señora	NP00000	señor
esta	Está	VMIP3S0	estar
el	el	DA0MS0	el
sor	señor	NP00000	señor
jurado	jurado	NCMS000	jurado
mi	mi	DP1CSS	mi
cuñado	cuñado	NCMS000	cuñado
tal	tal	RC	tal
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
dizen	dicen	VMIP3P0	decir
	,	Fc	,
de	de	SPS00	de
la	la	DA0FS0	el
manera	manera	NCFS000	manera
de	de	SPS00	de
desamor	desamor	NCMS000	desamor
con	con	SPS00	con
que	que	CS	que
vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
trata	trata	VMIP3S0	tratar
	,	Fc	,
que	que	CS	que
si	si	CS	si
vm	VM	NP00000	VM
no	no	RN	no
Remedia	remedia	VMIP3S0	remediar
su	su	DP3CS0	su
grande	grande	AQ0CS0	grande
afligimiento	afligimiento	NCMS000	afligimiento
no	no	RN	no
se	sé	VMIP1S0	saber
que	qué	PT0CN000	qué
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
d	de	SPS00	de
el	él	PP3MS000	él
.	.	Fp	.
y	Y	CC	y
mas	más	RC	más
lo	lo	PP3CNA00	lo
esta	está	VMIP3S0	estar
porque	porque	CS	porque
le	le	PP3CSD00	le
dizen	dicen	VMIP3P0	decir
que	que	CS	que
an	han	VAIP3P0	haber
informado	informado	VMP0000	informar
a	a	SPS00	a
vm	VM	NP00000	VM
q	que	CS	que
el	él	PP3MS000	él
no	no	RN	no
quiere	quiere	VMIP3S0	querer
tratar	tratar	VMN0000	tratar
d	de	SPS00	de
este	este	DD0MS0	este
negocio	negocio	NCMS000	negocio
.	.	Fp	.
juro	Juro	VMIP1S0	jurar
a	a	SPS00	a
dios	Dios	NP00000	dios
y	y	CC	y
a	a	SPS00	a
esta	ésta	PD0FS000	este
que	que	CS	que
	,	Fc	,
aunque	aunque	CS	aunque
a	a	SPS00	a
el	él	PP3MS000	él
le	le	PP3CSD00	le
cueste	cueste	VMSP0S0	costar
la	la	DA0FS0	el
vida	vida	NCFS000	vida
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
hazienda	hacienda	NCFS000	hacienda
	,	Fc	,
q	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
vm	VM	NP00000	VM
su	su	DP3CS0	su
muger	mujer	NCFS000	mujer
y	y	CC	y
mi	mi	DP1CSS	mi
cuñada	cuñada	NCFS000	cuñado
y	y	CC	y
que	que	CS	que
nunca	nunca	RN	nunca
jamas	jamás	RG	jamás
el	él	PP3MS000	él
ni	ni	CC	ni
yo	yo	PP1CSN00	yo
emos	hemos	VAIP1P0	haber
querido	querido	VMP0000	querer
ni	ni	CC	ni
pensado	pensado	VMP0000	pensar
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
.	.	Fp	.
y	Y	CC	y
quien	quien	PR0CS000	quien
a	a	SPS00	a
vm	VM	NP00000	VM
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
a	ha	VAIP3S0	haber
escrito	escrito	VMP0000	escribir
o	o	CC	o
dicho	dicho	NCMS000	dicho
miente	miente	VMIP3S0	mentir
como	como	CS	como
mal	mal	RG	mal
cristiano	cristiano	NCMS000	cristiano
	.	Fp	.
y	Y	CC	y
si	si	CS	si
se	se	P00CN000	se
a	ha	VAIP3S0	haber
escrito	escrito	VMP0000	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
algun	algún	DI0MS0	alguno
villete	billete	NCMS000	billete
de	de	SPS00	de
esto	esto	PD0NN000	esto
es	es	VSIP3S0	ser
falso	falso	AQ0MS0	falso
	,	Fc	,
fabricado	fabricado	VMP00SM	fabricar
por	por	SPS00	por
algun	algún	DI0MS0	alguno
falsario	falsario	NCMS000	falsario
por	por	SPS00	por
divertir	divertir	VMN0000	divertir
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
el	Él	PP3MS000	él
y	y	CC	y
yo	yo	PP1CSN00	yo
estamos	estamos	VMIP1P0	estar
en	en	SPS00	en
esta	esta	DD0FS0	este
boluntad	voluntad	NCFS000	voluntad
tan	tan	RC	tan
fuertes	fuertes	AQ0CP0	fuerte
y	y	CC	y
tan	tan	RC	tan
firmes	firmes	NCMP000	firme
que	que	CS	que
no	no	RN	no
ay	hay	VMIP3S0	haber
azero	acero	NCMS000	acero
q	que	PR0CN000	que
mas	más	RC	más
fuerte	fuerte	AQ0CS0	fuerte
sea	sea	VSSP0S0	ser
.	,	Fc	,
y	y	CC	y
lo	lo	PP3CNA00	lo
estaremos	estaremos	VMIF1P0	estar
siempre	siempre	RG	siempre
.	.	Fp	.
y	Y	CC	y
estamos	estamos	VMIP1P0	estar
coRidissimos	corridísimos	AQSMP0	corrido
en	en	SPS00	en
que	que	CS	que
vm	VM	NP00000	VM
crea	crea	VMSP0S0	creer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
.	.	Fp	.
todo	Todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
a	a	SPS00	a
vm	VM	NP00000	VM
dizen	dicen	VMIP3P0	decir
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
jurado	jurado	NCMS000	jurado
q	que	CS	que
no	no	RN	no
sea	sea	VSSP0S0	ser
q	que	CS	que
adora	adora	VMIP3S0	adorar
y	y	CC	y
quiere	quiere	VMIP3S0	querer
a	a	SPS00	a
vram	VM	NP00000	VM
es	es	VSIP3S0	ser
mentira	mentira	NCFS000	mentira
	,	Fc	,
q	que	CS	que
el	él	PP3MS000	él
se	se	P00CN000	se
arde	arde	VMIP3S0	arder
en	en	SPS00	en
bibas	vivas	AQ0FP0	vivo
llamas	llamas	VMIP2S0	llamar
de	de	SPS00	de
amor	amor	NCMS000	amor
casto	casto	AQ0MS0	casto
y	y	CC	y
honesto	honesto	AQ0MS0	honesto
de	de	SPS00	de
matrimonio	matrimonio	NCMS000	matrimonio
.	.	Fp	.
y	Y	CC	y
quiere	quiere	VMIP3S0	querer
a	a	SPS00	a
vm	VM	NP00000	VM
en	en	SPS00	en
camisa	camisa	NCFS000	camisa
y	y	CC	y
tiene	tiene	VMIP3S0	tener
hazienda	hacienda	NCFS000	hacienda
para	para	SPS00	para
tratar	tratar	VMN0000	tratar
a	a	SPS00	a
vm	VM	NP00000	VM
como	como	CS	como
una	una	DI0FS0	uno
Reyna	reina	NCFS000	reina
	.	Fp	.
no	No	RN	no
tema	tema	VMSP0S0	temer
maldiciones	maldiciones	NCFP000	maldición
de	de	SPS00	de
su	su	DP3CS0	su
padre	padre	NCMS000	padre
	,	Fc	,
q	que	CS	que
en	en	SPS00	en
ocho	ocho	Z	8
dias	días	NCMP000	día
de	de	SPS00	de
casada	casada	VMP00SF	casar
se	se	P00CN000	se
acaban	acaban	VMIP3P0	acabar
todas	todas	DI0FP0	todo
sus	sus	DP3CP0	su
coleras	cóleras	NCMP000	cólera
	.	Fp	.
no	No	RN	no
