una	Una	DI0FS0	uno
de	de	SPS00	de
vm	VM	NP00000	VM
de	de	SPS00	de
ago	agosto	NCMS000	agosto
de	de	SPS00	de
59	59	Z	59
resçibi	recibí	VMIS1S0	recibir
	,	Fc	,
por	por	SPS00	por
la	la	DA0FS0	el
ql	cual	PR0CS000	cual
me	me	PP1CS000	me
avisa	avisa	VMIP3S0	avisar
de	de	SPS00	de
muchas	muchas	DI0FP0	mucho
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
escrito	escrito	VMP0000	escribir
avisandome	avisándome	VMG0000+PP1CS000	avisar+me
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
de	de	SPS00	de
Alli	allí	RG	allí
	.	Fp	.
e	Y	CC	y
dize	dice	VMIP3S0	decir
vm	VM	NP00000	VM
no	no	RN	no
aberle	haberle	VAN0000+PP3CSD00	haber+le
yo	yo	PP1CSN00	yo
respondido	respondido	VMP0000	responder
Algunas	algunas	DI0FP0	alguno
de	de	SPS00	de
ellas	ellas	PP3FP000	ellos
	.	Fp	.
dig	Digo	VMIP1S0	decir
	,	Fc	,
sor	señor	NP00000	señor
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
he	he	VAIP1S0	haber
respondido	respondido	VMP0000	responder
a	a	SPS00	a
vm	VM	NP00000	VM
a	a	SPS00	a
todas	todas	PI0FP000	todo
la	la	DA0FS0	el
q	que	PR0CN000	que
de	de	SPS00	de
vm	VM	NP00000	VM
he	he	VAIP1S0	haber
rdo	recibido	VMP0000	recibir
hasta	hasta	SPS00	hasta
esta	ésta	PD0FS000	este
hasta	hasta	SPS00	hasta
enbiar	enviar	VMN0000	enviar
co	con	SPS00	con
por	por	SPS00	por
de	de	SPS00	de
ellas	ellas	PP3FP000	ellos
A	a	SPS00	a
lorenço	Lorenzo	NP00000	lorenzo
de	de	SPS00	de
myranda	Miranda	NP00000	miranda
para	para	SPS00	para
q	que	CS	que
