Illma	Ilustrísima	AQSFS0	ilustre
señora	señora	NP00000	señor
	.	Fp	.
quisiera	Quisiera	VMSI0S0	querer
yo	yo	PP1CSN00	yo
,	,	Fc	,
siendo	siendo	VSG0000	ser
tan	tan	RC	tan
siervo	siervo	NCMS000	siervo
y	y	CC	y
capella	capellán	NCMS000	capellán
del	del	SPS00+DA0MS0	de+el
conde	conde	NCMS000	conde
	,	Fc	,
mi	mi	DP1CSS	mi
señor	señor	NP00000	señor
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
sus	sus	DP3CP0	su
padres	padres	NCMP000	padre
	,	Fc	,
hijos	hijos	NCMP000	hijo
y	y	CC	y
hermanos	hermanos	NCMP000	hermano
,	,	Fc	,
uviera	hubiera	VASI0S0	haber
usado	usado	VMP0000	usar
otros	otros	DI0MP0	otro
terminos	términos	NCMP000	término
con	con	SPS00	con
un	un	DI0MS0	uno
obpo	obispo	NCMS000	obispo
de	de	SPS00	de
los	los	DA0MP0	el
mas	más	RC	más
antiguos	antiguos	AQ0MP0	antiguo
de	de	SPS00	de
la	la	DA0FS0	el
christiandad	cristiandad	NCFS000	cristiandad
,	,	Fc	,
por	por	SPS00	por
contemplaçion	contemplación	NCFS000	contemplación
de	de	SPS00	de
que	que	CS	que
digan	digan	VMSP3P0	decir
q	que	CS	que
es	es	VSIP3S0	ser
diligete	diligente	AQ0CS0	diligente
y	y	CC	y
executivo	ejecutivo	AQ0MS0	ejecutivo
en	en	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
encomiendan	encomiendan	VMIP3P0	encomendar
,	.	Fp	.
y	Y	CC	y
tenga	tenga	VMSP0S0	tener
vs	VSa	NP00000	VSa
por	por	SPS00	por
muy	muy	RQ	muy
çierto	cierto	AQ0MS0	cierto
q	que	CS	que
a	ha	VMIP3S0	haber
treynta	treinta	Z	30
años	años	NCMP000	año
que	que	CS	que
soy	soy	VSIP1S0	ser
obispo	obispo	NCMS000	obispo
y	y	CC	y
ninguno	ninguno	PI0MS00N	ninguno
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
agraviado	agraviado	VMP0000	agraviar
que	que	PR0CN000	que
no	no	RN	no
aia	haya	VASP0S0	haber
visto	visto	VMP0000	ver
visiblemete	visiblemente	RG	visiblemente
juizios	juicios	NCMP000	juicio
de	de	SPS00	de
dios	Dios	NP00000	dios
sobre	sobre	SPS00	sobre
ellos	ellos	PP3MP000	ellos
,	.	Fp	.
y	Y	CC	y
aun	aun	RG	aun
oso	oso	VMIP1S0	osar
poner	poner	VMN0000	poner
en	en	SPS00	en
escrito	escrito	NCMS000	escrito
de	de	SPS00	de
mi	mi	DP1CSS	mi
mano	mano	NCFS000	mano
que	que	CS	que
seria	sería	VSIC0S0	ser
posible	posible	AQ0CS0	posible
q	que	CS	que
la	la	DA0FS0	el
muerte	muerte	NCFS000	muerte
de	de	SPS00	de
ormaneto	Ormaneto	NP00000	ormaneto
	,	Fc	,
nunçio	nuncio	NCMS000	nuncio
pasado	pasado	VMP00SM	pasar
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
su	su	DP3CS0	su
auditor	auditor	NCMS000	auditor
fueron	fueron	VSIS3P0	ser
por	por	SPS00	por
las	las	DA0FP0	el
persecuçiones	persecuciones	NCFP000	persecución
que	que	PR0CN000	que
me	me	PP1CS000	me
hizieron	hicieron	VMIS3P0	hacer
contra	contra	SPS00	contra
justiçia	justicia	NCFS000	justicia
,	;	Fx	;
que	que	CS	que
el	el	DA0MS0	el
nunçio	nuncio	NCMS000	nuncio
