Ille	Ilustre	AQ0CS0	ilustre
señor	señor	NP00000	señor
	.	Fp	.
quisiera	Quisiera	VMSI0S0	querer
yo	yo	PP1CSN00	yo
yr	ir	VMN0000	ir
a	a	SPS00	a
informar	informar	VMN0000	informar
a	a	SPS00	a
vmd	VM	NP00000	VM
sobre	sobre	SPS00	sobre
un	un	DI0MS0	uno
notable	notable	AQ0CS0	notable
agravio	agravio	NCMS000	agravio
q	que	PR0CN000	que
e	he	VAIP1S0	haber
Recebido	recibido	VMP0000	recibir
del	del	SPS00+DA0MS0	de+el
s	señor	NP00000	señor
asistete	asistente	NP00000	asistente
,	,	Fc	,
siendole	siéndole	VSG0000+PP3CSD00	ser+le
yo	yo	PP1CSN00	yo
tan	tan	RC	tan
servidor	servidor	NCMS000	servidor
,	,	Fc	,
y	y	CC	y
con	con	SPS00	con
mi	mi	DP1CSS	mi
gota	gota	NCFS000	gota
no	no	RN	no
puedo	puedo	VMIP1S0	poder
,	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
caso	caso	NCMS000	caso
es	es	VSIP3S0	ser
q	que	CS	que
	,	Fc	,
mientras	mientras	RG	mientras
yo	yo	PP1CSN00	yo
dezia	decía	VMII0S0	decir
misa	misa	NCFS000	misa
el	el	DA0MS0	el
otro	otro	DI0MS0	otro
dia	día	NCMS000	día
,	,	Fc	,
dixo	dijo	VMIS3S0	decir
su	su	DP3CS0	su
s	señoría	NP00000	señoría
a	a	SPS00	a
un	un	DI0MS0	uno
paje	paje	NCMS000	paje
mio	mío	DP1MSS	mío
de	de	SPS00	de
Ruiseco	Rioseco	NP00000	rioseco
,	,	Fc	,
de	de	SPS00	de
catorze	catorce	Z	14
años	años	NCMP000	año
y	y	CC	y
de	de	SPS00	de
corona	corona	NCFS000	corona
,	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
fuese	fuese	VMSI0S0	ir
con	con	SPS00	con
el	él	PP3MS000	él
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
queria	quería	VMII0S0	querer
embiar	enviar	VMN0000	enviar
un	un	DI0MS0	uno
presete	presente	NCMS000	presente
,	.	Fp	.
y	Y	CC	y
el	él	PP3MS000	él
se	se	P00CN000	se
fue	fue	VMIS3S0	ir
y	y	CC	y
le	le	PP3CSD00	le
puso	puso	VMIS3S0	poner
miedo	miedo	NCMS000	miedo
de	de	SPS00	de
tormetos	tormentos	NCMP000	tormento
y	y	CC	y
lo	lo	PP3MSA00	lo
examino	examinó	VMIS3S0	examinar
y	y	CC	y
lo	lo	PP3MSA00	lo
mando	mandó	VMIS3S0	mandar
prender	prender	VMN0000	prender
y	y	CC	y
lo	lo	PP3MSA00	lo
tiene	tienen	VMIP3P0	tener
muy	muy	RQ	muy
psso	preso	AQ0MS0	preso
,	.	Fp	.
y	Y	CC	y
yo	yo	PP1CSN00	yo
no	no	RN	no
sabia	sabía	VMII0S0	saber
por	por	SPS00	por
q	qué	PT0CN000	qué
hasta	hasta	SPS00	hasta
q	que	CS	que
dos	dos	Z	2
dias	días	NCMP000	día
a	ha	VMIP3S0	haber
me	me	PP1CS000	me
escrivio	escribió	VMIS3S0	escribir
un	un	DI0MS0	uno
fraile	fraile	NCMS000	fraile
	,	Fc	,
de	de	SPS00	de
berlanga	Berlanga	NP00000	berlanga
natural	natural	AQ0CS0	natural
	,	Fc	,
pedricador	predicador	NCMS000	predicador
,	,	Fc	,
como	como	CS	como
unos	unos	DI0MP0	uno
villanos	villanos	NCMP000	villano
de	de	SPS00	de
alli	allí	RG	allí
se	se	P00CN000	se
escandalizaro	escandalizaron	VMIS3P0	escandalizar
quando	cuando	PA000000	cuando
pase	pasé	VMIS1S0	pasar
por	por	SPS00	por
alli	allí	RG	allí
y	y	CC	y
se	se	P00CN000	se
qjaro	quejaron	VMIS3P0	quejar
al	al	SPS00+DA0MS0	a+el
s	señor	NP00000	señor
psidete	presidente	NP00000	presidente
de	de	SPS00	de
ordenes	Órdenes	NP00000	orden
,	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
esto	esto	PD0NN000	esto
ay	hay	VMIP3S0	haber
la	la	DA0FS0	el
causa	causa	NCFS000	causa
por	por	SPS00	por
q	que	PR0CN000	que
le	le	PP3CSA00	le
tiene	tienen	VMIP3P0	tener
psso	preso	AQ0MS0	preso
,	.	Fp	.
y	Y	CC	y
ayer	ayer	RG	ayer
estuvo	estuvo	VMIS3S0	estar
aqui	aquí	RG	aquí
el	el	DA0MS0	el
s	señor	NP00000	señor
asistete	asistente	NP00000	asistente
y	y	CC	y
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
dixe	dije	VMIS1S0	decir
y	y	CC	y
q	que	CS	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
embiaria	enviaría	VMIC0S0	enviar
la	la	DA0FS0	el
vdad	verdad	NCFS000	verdad
de	de	SPS00	de
este	este	DD0MS0	este
negocio	negocio	NCMS000	negocio
,	,	Fc	,
la	la	DA0FS0	el
qual	cual	PR0CS000	cual
es	es	VSIP3S0	ser
la	la	DA0FS0	el
q	que	PR0CN000	que
va	va	VMIP3S0	ir
en	en	SPS00	en
ese	ese	DD0MS0	ese
memorial	memorial	NCMS000	memorial
	,	Fc	,
sin	sin	SPS00	sin
faltar	faltar	VMN0000	faltar
un	un	DI0MS0	uno
punto	punto	NCMS000	punto
,	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
vmd	VM	NP00000	VM
es	es	VSIP3S0	ser
de	de	SPS00	de
Ruiseco	Rioseco	NP00000	rioseco
y	y	CC	y
ese	ese	DD0MS0	ese
paje	paje	NCMS000	paje
tiene	tiene	VMIP3S0	tener
(	(	Fba	(
publico	público	AQ0MS0	público
y	y	CC	y
notorio	notorio	AQ0MS0	notorio
)	)	Fbt	)
mal	mal	NCMS000	mal
de	de	SPS00	de
coraçon	corazón	NCMS000	corazón
,	,	Fc	,
q	que	CS	que
en	en	SPS00	en
madrid	Madrid	NP00000	madrid
le	le	PP3CSD00	le
a	ha	VAIP3S0	haber
acaescido	acaecido	VMP0000	acaecer
estar	estar	VMN0000	estar
toda	toda	DI0FS0	todo
una	una	DI0FS0	uno
noche	noche	NCFS000	noche
en	en	SPS00	en
el	el	DA0MS0	el
lodo	lodo	NCMS000	lodo
Rebolcandose	revolcándose	VMG0000+P00CN000	revolcar+se
y	y	CC	y
diziendo	diciendo	VMG0000	decir
desatinos	desatinos	NCMP000	desatino
	.	Fp	.
y	Y	CC	y
pa	para	SPS00	para
con	con	SPS00	con
vmd	VM	NP00000	VM
	,	Fc	,
es	es	VSIP3S0	ser
hijo	hijo	NCMS000	hijo
de	de	SPS00	de
biçama	Bizama	NP00000	bizama
	,	Fc	,
el	el	DA0MS0	el
camarero	camarero	NCMS000	camarero
del	del	SPS00+DA0MS0	de+el
padre	padre	NCMS000	padre
del	del	SPS00+DA0MS0	de+el
almirate	almirante	NCMS000	almirante
,	,	Fc	,
q	que	PR0CN000	que
lo	lo	PP3MSA00	lo
uvo	hubo	VMIS3S0	haber
en	en	SPS00	en
ana	Ana	NP00000	ana
maria	María	NP00000	maría
de	de	SPS00	de
medina	Medina	NP00000	medina
,	.	Fp	.
y	Y	CC	y
yo	yo	PP1CSN00	yo
supe	supe	VMIS1S0	saber
ser	ser	VSN0000	ser
esto	esto	PD0NN000	esto
vdad	verdad	NCFS000	verdad
en	en	SPS00	en
Ruiseco	Rioseco	NP00000	rioseco
,	,	Fc	,
porq	porque	CS	porque
le	le	PP3CSD00	le
dexo	dejó	VMIS3S0	dejar
hazienda	hacienda	NCFS000	hacienda
y	y	CC	y
dixo	dijo	VMIS3S0	decir
al	al	SPS00+DA0MS0	a+el
tiempo	tiempo	NCMS000	tiempo
q	que	PR0CN000	que
murio	murió	VMIS3S0	morir
q	que	CS	que
era	era	VSII0S0	ser
su	su	DP3CS0	su
hijo	hijo	NCMS000	hijo
,	;	Fx	;
y	y	CC	y
por	por	SPS00	por
tal	tal	PD0CS000	tal
lo	lo	PP3MSA00	lo
tienen	tienen	VMIP3P0	tener
el	el	DA0MS0	el
