dn	Don	NP00000	don
po	Pedro	NP00000	pedro
	.	Fp	.
esto	Esto	PD0NN000	esto
ba	va	VMIP3S0	ir
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
peor	peor	AQ0CS0	peor
	.	Fp	.
aguardando	Aguardando	VMG0000	aguardar
estan	están	VMIP3P0	estar
q	que	CS	que
pase	pase	VMSP0S0	pasar
la	la	DA0FS0	el
peste	peste	NCFS000	peste
para	para	SPS00	para
q	que	CS	que
des	des	VMSP2S0	dar
la	la	DA0FS0	el
casa	casa	NCFS000	casa
	.	Fp	.
si	Si	CS	si
no	no	RN	no
la	la	PP3FSA00	lo
das	das	VMIP2S0	dar
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
istante	instante	NCMS000	instante
qrellan	querellan	VMIP3P0	querellar
de	de	SPS00	de
ti	ti	PP2CSO00	ti
	.	Fp	.
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
io	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
pensado	pensado	VMP0000	pensar
es	es	VSIP3S0	ser
	,	Fc	,
cuando	cuando	PA000000	cuando
me	me	PP1CS000	me
tomen	tomen	VMSP3P0	tomar
guramento	juramento	NCMS000	juramento
	,	Fc	,
deçir	decir	VMN0000	decir
q	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
tuio	tuyo	PX2MS0S0	tuyo
	.	Fp	.
si	Si	CS	si
me	me	PP1CS000	me
digeren	dijeren	VMSF3P0	decir
qen	quién	PT0CS000	quién
	,	Fc	,
dire	diré	VMIF1S0	decir
q	que	CS	que
de	de	SPS00	de
un	un	DI0MS0	uno
moço	mozo	NCMS000	mozo
q	que	PR0CN000	que
abia	había	VMII0S0	haber
en	en	SPS00	en
tu	tu	DP2CSS	tu
casa	casa	NCFS000	casa
q	que	PR0CN000	que
se	se	P00CN000	se
llama	llama	VMIP3S0	llamar
gosepe	Josepe	NP00000	josepe
	;	Fx	;
i	y	CC	y
q	que	CS	que
tu	tú	PP2CSN00	tú
te	te	PP2CS000	te
maliciaste	maliciaste	VMIS2S0	maliciar
q	que	CS	que
entraba	entraba	VMII0S0	entrar
i	y	CC	y
al	al	SPS00+DA0MS0	a+el
istante	instante	NCMS000	instante
lo	lo	PP3MSA00	lo
echaste	echaste	VMIS2S0	echar
de	de	SPS00	de
la	la	DA0FS0	el
casa	casa	NCFS000	casa
	,	Fc	,
mas	mas	CC	mas
q	que	CS	que
no	no	RN	no
sabias	sabías	VMII2S0	saber
con	con	SPS00	con
quien	quién	PT0CS000	quién
entraba	entraba	VMII0S0	entrar
	.	Fp	.
q	Que	CS	que
lo	lo	DA0NS0	el
q	que	PR0CN000	que
te	te	PP2CS000	te
an	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
a	a	SPS00	a
ti	ti	PP2CSO00	ti
es	es	VSIP3S0	ser
q	que	CS	que
estabamos	estábamos	VMII1P0	estar
por	por	SPS00	por
unas	unas	DI0FP0	uno
pendençias	pendencias	NCFP000	pendencia
	,	Fc	,
mas	mas	CC	mas
no	no	RN	no
q	que	CS	que
abia	había	VAII0S0	haber
io	yo	PP1CSN00	yo
echo	hecho	VMP0000	hacer
una	una	DI0FS0	uno
picardia	picardía	NCFS000	picardía
como	como	CS	como
esa	ésa	PD0FS000	ese
	.	Fp	.
esto	Esto	PD0NN000	esto
as	has	VMIP2S0	hacer
de	de	SPS00	de
deçir	decir	VMN0000	decir
tu	tú	PP2CSN00	tú
	.	Fp	.
no	No	RN	no
pidas	pidas	VMSP2S0	pedir
ia	ya	RG	ya
por	por	SPS00	por
nosotras	nosotras	PP1FP000	nosotros
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
en	en	SPS00	en
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
	.	Fp	.
si	Si	CS	si
digeren	dijeren	VMSF3P0	decir
del	del	SPS00+DA0MS0	de+el
	.	Fp	.
esto	Esto	PD0NN000	esto
lo	lo	PP3CNA00	lo
