sra	Señora	NP00000	señor
doña	doña	NP00000	don
manuela	Manuela	NP00000	manuela
	.	Fp	.
en	En	SPS00	en
las	las	DA0FP0	el
ocasiones	ocasiones	NCFP000	ocasión
se	se	P00CN000	se
espirmentan	experimentan	VMIP3P0	experimentar
las	las	DA0FP0	el
fineças	finezas	NCFP000	fineza
naçidas	nacidas	VMP00PF	nacer
de	de	SPS00	de
una	una	DI0FS0	uno
boluntad	voluntad	NCFS000	voluntad
	,	Fc	,
pues	pues	CS	pues
en	en	SPS00	en
ninguna	ninguna	DI0FS0	ninguno
ocasion	ocasión	NCFS000	ocasión
mas	más	RC	más
bien	bien	RG	bien
que	que	CS	que
en	en	SPS00	en
la	la	DA0FS0	el
de	de	SPS00	de
anoche	anoche	RG	anoche
	.	Fp	.
pues	Pues	CS	pues
es	es	VSIP3S0	ser
çierto	cierto	AQ0MS0	cierto
que	que	CS	que
no	no	RN	no
creiera	creyera	VMSI0S0	creer
de	de	SPS00	de
vm	VM	NP00000	VM
tal	tal	DD0CS0	tal
ingratitud	ingratitud	NCFS000	ingratitud
	,	Fc	,
bien	bien	RG	bien
mereçida	merecida	VMP00SF	merecer
a	a	SPS00	a
mis	mis	DP1CPS	mi
pocos	pocos	DI0MP0	poco
meritos	méritos	NCMP000	mérito
	.	Fp	.
pues	Pues	CS	pues
	,	Fc	,
aunque	aunque	CS	aunque
conoçco	conozco	VMIP1S0	conocer
que	que	CS	que
no	no	RN	no
los	los	PP3MPA00	lo
tengo	tengo	VMIP1S0	tener
	,	Fc	,
siquiera	siquiera	RF	siquiera
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
i	y	CC	y
io	yo	PP1CSN00	yo
tanbien	también	RG	también
	,	Fc	,
no	no	RN	no
tenia	tenía	VMII0S0	tener
de	de	SPS00	de
dar	dar	VMN0000	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
la	la	DA0FS0	el
poca	poca	DI0FS0	poco
boluntad	voluntad	NCFS000	voluntad
que	que	PR0CN000	que
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
	,	Fc	,
sino	sino	CC	sino
obrar	obrar	VMN0000	obrar
con	con	SPS00	con
mas	más	RC	más
cariño	cariño	NCMS000	cariño
	,	Fc	,
pues	pues	CS	pues
sabe	sabe	VMIP3S0	saber
vm	VM	NP00000	VM
que	que	CS	que
en	en	SPS00	en
mi	mí	PP1CSO00	mí
no	no	RN	no
a	ha	VAIP3S0	haber
