hermano	Hermano	NCMS000	hermano
y	y	CC	y
sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
con	Con	SPS00	con
el	el	DA0MS0	el
coreo	correo	NCMS000	correo
escrevi	escribí	VMIS1S0	escribir
a	a	SPS00	a
vmd	VM	NP00000	VM
dandole	dándole	VMG0000+PP3CSD00	dar+le
cuenta	cuenta	NCFS000	cuenta
del	del	SPS00+DA0MS0	de+el
casamiento	casamiento	NCMS000	casamiento
de	de	SPS00	de
el	el	DA0MS0	el
marques	marqués	NCMS000	marqués
	.	Fp	.
y	Y	CC	y
ahora	ahora	RG	ahora
lo	lo	PP3CNA00	lo
ago	hago	VMIP1S0	hacer
con	con	SPS00	con
propio	propio	NCMS000	propio
dando	dando	VMG0000	dar
cuenta	cuenta	NCFS000	cuenta
a	a	SPS00	a
vmd	VM	NP00000	VM
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
ay	hay	VMIP3S0	haber
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
q	que	CS	que
oy	hoy	RG	hoy
	,	Fc	,
savado	sábado	NCMS000	sábado
	,	Fc	,
an	han	VAIP3P0	haber
llegado	llegado	VMP0000	llegar
aqui	aquí	RG	aquí
dos	dos	Z	2
caballeros	caballeros	NCMP000	caballero
de	de	SPS00	de
ecija	Écija	NP00000	écija
con	con	SPS00	con
los	los	DA0MP0	el
despachos	despachos	NCMP000	despacho
de	de	SPS00	de
sevilla	Sevilla	NP00000	sevilla
	,	Fc	,
que	que	CS	que
aviendo	habiendo	VAG0000	haber
dado	dado	VMP0000	dar
el	el	DA0MS0	el
ordinario	ordinario	NCMS000	ordinario
de	de	SPS00	de
sebilla	Sevilla	NP00000	sevilla
la	la	DA0FS0	el
lisensia	licencia	NCFS000	licencia
con	con	SPS00	con
que	que	CS	que
se	se	P00CN000	se
coran	corran	VMSP3P0	correr
aqui	aquí	RG	aquí
las	las	DA0FP0	el
munisiones	municiones	NCFP000	munición
el	el	DA0MS0	el
despacho	despacho	NCMS000	despacho
que	que	PR0CN000	que
ysimos	hicimos	VMIS1P0	hacer
de	de	SPS00	de
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
de	de	SPS00	de
el	el	DA0MS0	el
sor	señor	NP00000	señor
ovispo	obispo	NCMS000	obispo
sufro	sufrió	VMIS3S0	sufrir
efeto	efecto	NCMS000	efecto
	.	Fp	.
y	Y	CC	y
