hermano	Hermano	NP00000	hermano
y	y	CC	y
sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
la	La	DA0FS0	el
desgrasia	desgracia	NCFS000	desgracia
de	de	SPS00	de
la	la	DA0FS0	el
casa	casa	NCFS000	casa
de	de	SPS00	de
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
el	el	DA0MS0	el
marques	marqués	NCMS000	marqués
	,	Fc	,
mi	mi	DP1CSS	mi
sor	señor	NP00000	señor
que	que	PR0CN000	que
este	esté	VMSP0S0	estar
en	en	SPS00	en
el	el	DA0MS0	el
sielo	cielo	NCMS000	cielo
	,	Fc	,
es	es	VSIP3S0	ser
tal	tal	RC	tal
como	como	CS	como
se	se	P00CN000	se
tiene	tiene	VMIP3S0	tener
espirimentada	experimentada	VMP00SF	experimentar
	.	Fp	.
	¡	Faa	¡
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
aora	ahora	RG	ahora
le	le	PP3CSD00	le
a	ha	VAIP3S0	haber
sobrevenido	sobrevenido	VMP0000	sobrevenir
	!	Fat	!
el	El	DA0MS0	el
aver	haber	VAN0000	haber
el	el	DA0MS0	el
marques	marqués	NCMS000	marqués
ydose	ídose	VMP0000+P00CN000	ir+se
a	a	SPS00	a
ecija	Écija	NP00000	écija
el	el	DA0MS0	el
juebes	jueves	NCMN000	jueves
y	y	CC	y
biernes	viernes	NCMN000	viernes
de	de	SPS00	de
la	la	DA0FS0	el
semana	semana	NCFS000	semana
pasada	pasada	VMP00SF	pasar
con	con	SPS00	con
el	el	DA0MS0	el
yjo	hijo	NCMS000	hijo
del	del	SPS00+DA0MS0	de+el
corejidor	corregidor	NCMS000	corregidor
don	,	Fc	,
alonso	Alonso	NP00000	alonso
beles	Vélez	NP00000	vélez
	,	Fc	,
y	y	CC	y
un	un	DI0MS0	uno
criado	criado	NCMS000	criado
del	del	SPS00+DA0MS0	de+el
corejidor	corregidor	NCMS000	corregidor
y	y	CC	y
don	don	NP00000	don
alonso	Alonso	NP00000	alonso
ruys	Ruiz	NP00000	ruiz
de	de	SPS00	de
la	la	DA0FS0	el
portilla	Portilla	NP00000	portilla
y	y	CC	y
el	el	DA0MS0	el
yjo	hijo	NCMS000	hijo
del	del	SPS00+DA0MS0	de+el
corejidor	corregidor	NCMS000	corregidor
de	de	SPS00	de
santaella	Santaella	NP00000	santaella
	.	Fp	.
y	Y	CC	y
oy	hoy	RG	hoy
