Resebi	Recibí	VMIS1S0	recibir
su	su	DP3CS0	su
carta	carta	NCFS000	carta
de	de	SPS00	de
vmd	VM	NP00000	VM
i	y	CC	y
con	con	SPS00	con
ella	ella	PP3FS000	él
el	el	DA0MS0	el
gusto	gusto	NCMS000	gusto
que	que	PR0CN000	que
vmd	VM	NP00000	VM
Puede	puede	VMIP3S0	poder
considerar	considerar	VMN0000	considerar
que	que	CS	que
tendra	tendrá	VMIF3S0	tener
quien	quien	PR0CS000	quien
esta	está	VMIP3S0	estar
por	por	SPS00	por
estantes	instantes	NCMP000	instante
esperando	esperando	VMG0000	esperar
la	la	DA0FS0	el
dicha	dicha	NCFS000	dicha
de	de	SPS00	de
Berse	verse	VMN0000+P00CN000	ver+se
con	con	SPS00	con
una	una	DI0FS0	uno
prima	prima	NCFS000	primo
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
quiere	quiere	VMIP3S0	querer
tanto	tanto	RC	tanto
y	y	CC	y
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
paso	paso	NCMS000	paso
en	en	SPS00	en
que	que	PR0CN000	que
lo	lo	PP3CNA00	lo
dessea	desea	VMIP3S0	desear
	,	Fc	,
se	se	P00CN000	se
ofrese	ofrece	VMIP3S0	ofrecer
mayores	mayores	AQ0CP0	mayor
dificultades	dificultades	NCFP000	dificultad
	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
fin	fin	NCMS000	fin
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
consuela	consuela	VMIP3S0	consolar
es	es	VSIP3S0	ser
q	que	CS	que
	,	Fc	,
despues	después	RG	después
que	que	CS	que
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
es	es	VSIP3S0	ser
mundo	mundo	NCMS000	mundo
	,	Fc	,
no	no	RN	no
a	ha	VAIP3S0	haber
bido	habido	VMP0000	haber
quien	quien	PR0CS000	quien
se	se	P00CN000	se
aya	haya	VASP0S0	haber
queRido	querido	VMP0000	querer
casar	casar	VMN0000	casar
que	que	PR0CN000	que
no	no	RN	no
lo	lo	PP3CNA00	lo
aya	haya	VASP0S0	haber
consegido	conseguido	VMP0000	conseguir
	,	Fc	,
siendo	siendo	VSG0000	ser
personas	personas	NCFP000	persona
iguales	iguales	AQ0CP0	igual
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
solo	sólo	RG	sólo
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
q	que	PR0CN000	que
siento	siento	VMIP1S0	sentir
las	las	DA0FP0	el
dilaciones	dilaciones	NCFP000	dilación
	,	Fc	,
porque	porque	CS	porque
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	,	Fc	,
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
dios	Dios	NP00000	dios
quitandome	quitándome	VMG0000+PP1CS000	quitar+me
la	la	DA0FS0	el
vida	vida	NCFS000	vida
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
quitara	quitará	VMIF3S0	quitar
de	de	SPS00	de
lo	lo	DA0NS0	el
proPuesto	propuesto	VMP00SM	proponer
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
digo	digo	VMIP1S0	decir
a	a	SPS00	a
vmd	VM	NP00000	VM
no	no	RN	no
por	por	SPS00	por
gusgar	juzgar	VMN0000	juzgar
que	que	CS	que
lo	lo	PP3CNA00	lo
inora	ignora	VMIP3S0	ignorar
	,	Fc	,
sino	sino	CC	sino
por	por	SPS00	por
si	si	CS	si
acaso	acaso	RG	acaso
se	se	P00CN000	se
ofresiere	ofreciere	VMSF0S0	ofrecer
leerle	leerle	VMN0000+PP3CSD00	leer+le
este	este	DD0MS0	este
capitulo	capítulo	NCMS000	capítulo
a	a	SPS00	a
qualquiera	cualquiera	PI0CS000	cualquiera
de	de	SPS00	de
esos	esos	DD0MP0	ese
señores	señores	NCMP000	señor
u	o	CC	o
a	a	SPS00	a
mi	mi	DP1CSS	mi
prima	prima	NCFS000	primo
	,	Fc	,
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
la	la	DA0FS0	el
marquesa	marquesa	NCFS000	marqués
	,	Fc	,
u	o	CC	o
a	a	SPS00	a
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
	,	Fc	,
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
doña	doña	NP00000	don
teresa	Teresa	NP00000	teresa
	.	Fp	.
i	Y	CC	y
en	en	SPS00	en
