Carissimo	Carísimo	AQSMS0	caro
Primo	primo	NP00000	primo
del	del	SPS00+DA0MS0	de+el
alma	alma	NCFS000	alma
	.	Fp	.
deseada	Deseada	VMP00SF	desear
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
para	para	SPS00	para
mi	mí	PP1CSO00	mí
la	la	DA0FS0	el
tuia	tuya	PX2FS0S0	tuyo
,	,	Fc	,
pues	pues	CS	pues
despues	después	RG	después
que	que	CS	que
te	te	PP2CS000	te
fuiste	fuiste	VMIS2S0	ir
no	no	RN	no
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
sino	sino	CC	sino
esta	ésta	PD0FS000	este
	.	Fp	.
yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
hallo	hallo	VMIP1S0	hallar
en	en	SPS00	en
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
de	de	SPS00	de
segura	Segura	NP00000	segura
aviendo	habiendo	VAG0000	haber
venido	venido	VMP0000	venir
a	a	SPS00	a
las	las	DA0FP0	el
fiestas	fiestas	NCFP000	fiesta
que	que	PR0CN000	que
tu	tú	PP2CSN00	tú
sabes	sabes	VMIP2S0	saber
	,	Fc	,
aunq	aunque	CS	aunque
entendi	entendí	VMIS1S0	entender
no	no	RN	no
benir	venir	VMN0000	venir
	.	Fp	.
en	En	SPS00	en
fin	fin	NCMS000	fin
	,	Fc	,
amigo	amigo	NP00000	amigo
	,	Fc	,
agora	ahora	RG	ahora
dos	dos	Z	2
correos	correos	NCMP000	correo
te	te	PP2CS000	te
scribi	escribí	VMIS1S0	escribir
mui	muy	RQ	muy
largo	largo	AQ0MS0	largo
avisandote	avisándote	VMG0000+PP2CS000	avisar+te
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
avia	había	VMII0S0	haber
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
,	.	Fp	.
por	Por	SPS00	por
agora	ahora	RG	ahora
no	no	RN	no
ai	hay	VMIP3S0	haber
sino	sino	CC	sino
avisarte	avisarte	VMN0000+PP2CS000	avisar+te
como	como	CS	como
se	se	P00CN000	se
a	ha	VAIP3S0	haber
efectuado	efectuado	VMP0000	efectuar
el	el	DA0MS0	el
casamiento	casamiento	NCMS000	casamiento
de	de	SPS00	de
aitamarren	Aitamarren	NP00000	aitamarren
con	con	SPS00	con
D	don	NP00000	don
Andres	Andrés	NP00000	andrés
	.	Fp	.
y	Y	CC	y
cierto	cierto	AQ0MS0	cierto
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
se	se	P00CN000	se
admira	admira	VMIP3S0	admirar
por	por	SPS00	por
averse	haberse	VAN0000+P00CN000	haber+se
efectuado	efectuado	VMP0000	efectuar
aier	ayer	RG	ayer
	.	Fp	.
no	No	RN	no
te	te	PP2CS000	te
doi	doy	VMIP1S0	dar
quenta	cuenta	NCFS000	cuenta
por	por	SPS00	por
estenso	extenso	AQ0MS0	extenso
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
dejare	dejaré	VMIF1S0	dejar
de	de	SPS00	de
darte	darte	VMN0000+PP2CS000	dar+te
el	el	DA0MS0	el
correo	correo	NCMS000	correo
que	que	PR0CN000	que
biene	viene	VMIP3S0	venir
con	con	SPS00	con
otras	otras	DI0FP0	otro
cossillas	cosillas	NCFP00D	cosa
,	.	Fp	.
mañana	Mañana	RG	mañana
parto	parto	VMIP1S0	partir
para	para	SPS00	para
cassa	casa	NCFS000	casa
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
amigo	amigo	NP00000	amigo
Lucas	Lucas	NP00000	lucas
mis	mis	DP1CPS	mi
cariñosas	cariñosas	AQ0FP0	cariñoso
memorias	memorias	NCFP000	memoria
y	y	CC	y
que	que	CS	que
ia	ya	RG	ya
sabe	sabe	VMIP3S0	saber
lo	lo	DA0NS0	el
suio	suyo	PX3MS000	suyo
,	.	Fp	.
el	El	DA0MS0	el
ato	ato	NCMS000	ato
te	te	PP2CS000	te
encargo	encargo	VMIP1S0	encargar
con	con	SPS00	con
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
que	que	PR0CN000	que
te	te	PP2CS000	te
tengo	tengo	VMIP1S0	tener
suplicado	suplicado	VMP00SM	suplicar
	.	Fp	.
a	A	SPS00	a
Dios	Dios	NP00000	dios
del	del	SPS00+DA0MS0	de+el
alma	alma	NCFS000	alma
	,	Fc	,
Amigo	amigo	NP00000	amigo
	.	Fp	.
el	Él	PP3MS000	él
te	te	PP2CS000	te
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
la	la	DA0FS0	el
medida	medida	NCFS000	medida
de	de	SPS00	de
mi	mi	DP1CSS	mi
deseo	deseo	NCMS000	deseo
y	y	CC	y
te	te	PP2CS000	te
me	me	PP1CS000	me
dege	deje	VMSP0S0	dejar
ver	ver	VMN0000	ver
quanto	cuanto	PA000000	cuanto
antes	antes	RG	antes
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
	.	Fp	.
segura	Segura	NP00000	segura
	,	Fc	,
3	3	Z	3
Julio	julio	NCMS000	julio
78	78	Z	78
	.	Fp	.
