La	La	DA0FS0	el
carta	carta	NCFS000	carta
de	de	SPS00	de
Vm	VM	NP00000	VM
de	de	SPS00	de
13	13	Z	13
d	de	SPS00	de
este	éste	PD0MS000	este
he	he	VAIP1S0	haber
reçivido	recibido	VMP0000	recibir
y	y	CC	y
estimo	estimo	VMIP1S0	estimar
	,	Fc	,
como	como	PA000000	como
es	es	VSIP3S0	ser
justo	justo	AQ0MS0	justo
	,	Fc	,
El	el	DA0MS0	el
cuydado	cuidado	NCMS000	cuidado
con	con	SPS00	con
q	que	PR0CN000	que
Vm	VM	NP00000	VM
trata	trata	VMIP3S0	tratar
del	del	SPS00+DA0MS0	de+el
casamiento	casamiento	NCMS000	casamiento
de	de	SPS00	de
mi	mi	DP1CSS	mi
sobrina	sobrina	NCFS000	sobrino
	,	Fc	,
y	y	CC	y
q	que	CS	que
se	se	P00CN000	se
aya	haya	VASP0S0	haber
ajustado	ajustado	VMP0000	ajustar
como	como	PA000000	como
Vm	VM	NP00000	VM
dize	dice	VMIP3S0	decir
	.	Fp	.
y	Y	CC	y
tengo	tengo	VMIP1S0	tener
tan	tan	RC	tan
buena	buena	AQ0FS0	bueno
relacion	relación	NCFS000	relación
de	de	SPS00	de
las	las	DA0FP0	el
partes	partes	NCFP000	parte
y	y	CC	y
meritos	méritos	NCMP000	mérito
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
Don	don	NP00000	don
Jusepe	Jusepe	NP00000	jusepe
q	que	CS	que
olgara	holgara	VMSI0S0	holgar
q	que	CS	que
nra	nuestra	DP1FSP	nuestro
sobrina	sobrina	NCFS000	sobrino
tuviera	tuviera	VMSI0S0	tener
de	de	SPS00	de
presente	presente	NCMS000	presente
un	un	DI0MS0	uno
gran	gran	AQ0CS0	gran
dote	dote	NCMS000	dote
y	y	CC	y
otras	otras	DI0FP0	otro
comodidades	comodidades	NCFP000	comodidad
	,	Fc	,
pero	pero	CC	pero
algo	algo	PI0CS000	algo
se	se	P00CN000	se
ha	ha	VMIP3S0	haber
de	de	SPS00	de
fiar	fiar	VMN0000	fiar
del	del	SPS00+DA0MS0	de+el
tiempo	tiempo	NCMS000	tiempo
,	.	Fp	.
yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
con	con	SPS00	con
menos	menos	RC	menos
hazienda	hacienda	NCFS000	hacienda
de	de	SPS00	de
la	la	DA0FS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
piensa	piensa	VMIP3S0	pensar
	,	Fc	,
porq	porque	CS	porque
mia	mía	PX1FS0S0	mío
	(	Fba	(
fuera	fuera	RG	fuera
de	de	SPS00	de
la	la	DA0FS0	el
doña	doña	NP00000	don
Maria	María	NP00000	maría
	)	Fbt	)
no	no	RN	no
tengo	tengo	VMIP1S0	tener
ninguna	ninguna	PI0FS00N	ninguno
fixa	fija	AQ0FS0	fijo
	.	Fp	.
di	Di	VMIS1S0	dar
a	a	SPS00	a
mis	mis	DP1CPS	mi
hermanas	hermanas	NCFP000	hermano
quando	cuando	PA000000	cuando
se	se	P00CN000	se
casaron	casaron	VMIS3P0	casar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pude	pude	VMIS1S0	poder
	,	Fc	,
y	y	CC	y
no	no	RN	no
fue	fue	VSIS3S0	ser
nada	nada	PI0NN00N	nada
aquello	aquello	PD0NN000	aquello
pa	para	SPS00	para
lo	lo	DA0NS0	el
q	que	PR0CN000	que
por	por	SPS00	por
otros	otros	DI0MP0	otro
caminos	caminos	NCMP000	camino
se	se	P00CN000	se
les	les	PP3CPD00	le
ha	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
mis	mis	DP1CPS	mi
sobrinas	sobrinas	NCFP000	sobrino
	,	Fc	,
de	de	SPS00	de
la	la	DA0FS0	el
renta	renta	NCFS000	renta
q	que	PR0CN000	que
el	el	DA0MS0	el
Rey	rey	NCMS000	rey
me	me	PP1CS000	me
dio	dio	VMIS3S0	dar
por	por	SPS00	por
mis	mis	DP1CPS	mi
serviçios	servicios	NCMP000	servicio
	,	Fc	,
les	les	PP3CPD00	le
pase	pasé	VMIS1S0	pasar
a	a	SPS00	a
cada	cada	DI0CN0	cada
una	una	PI0FS000	uno
100	100	Z	100
ds	ducados	NCMP000	ducado
al	al	SPS00+DA0MS0	a+el
año	año	NCMS000	año
	,	Fc	,
q	que	CS	que
de	de	SPS00	de
aqui	aquí	RG	aquí
adelante	adelante	RG	adelante
se	se	P00CN000	se
pagara	pagará	VMIF3S0	pagar
muy	muy	RQ	muy
bien	bien	RG	bien
,	.	Fp	.
y	Y	CC	y
confieso	confieso	VMIP1S0	confesar
a	a	SPS00	a
Vm	VM	NP00000	VM
q	que	CS	que
pa	para	SPS00	para
mis	mis	DP1CPS	mi
hijas	hijas	NCFP000	hijo
no	no	RN	no
he	he	VAIP1S0	haber
podido	podido	VMP0000	poder
hazer	hacer	VMN0000	hacer
otro	otro	DI0MS0	otro
tanto	tanto	NCMS000	tanto
y	y	CC	y
q	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
muy	muy	RQ	muy
facil	fácil	AQ0CS0	fácil
hazer	hacer	VMN0000	hacer
mas	más	RC	más
sin	sin	SPS00	sin
riesgo	riesgo	NCMS000	riesgo
de	de	SPS00	de
la	la	DA0FS0	el
conçiençia	conciencia	NCFS000	conciencia
	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
menos	menos	RC	menos
por	por	SPS00	por
promesa	promesa	NCFS000	promesa
,	.	Fp	.
con	Con	SPS00	con
todo	todo	DI0MS0	todo
eso	eso	PD0NN000	eso
	,	Fc	,
procurare	procuraré	VMIF1S0	procurar
q	que	CS	que
pa	para	SPS00	para
navidad	Navidad	NP00000	navidad
se	se	P00CN000	se
den	den	VMSP3P0	dar
a	a	SPS00	a
mi	mi	DP1CSS	mi
sobrina	sobrina	NCFS000	sobrino
100	100	Z	100
ds	ducados	NCMP000	ducado
	;	Fx	;
y	y	CC	y
pa	para	SPS00	para
pasada	pasada	VMP00SF	pasar
la	la	DA0FS0	el
quaresma	Cuaresma	NP00000	cuaresma
o	o	CC	o
antes	antes	RG	antes
,	,	Fc	,
otros	otros	DI0MP0	otro
100	100	Z	100
	.	Fp	.
y	Y	CC	y
adelante	adelante	RG	adelante
no	no	RN	no
sera	será	VSIF3S0	ser
esto	esto	PD0NN000	esto
solo	sólo	RG	sólo
,	.	Fp	.
darele	Darele	VMIF1S0+PP3CSD00	dar+le
tambien	también	RG	también
una	una	PI0FS000	uno
media	media	AQ0FS0	medio
casa	casa	NCFS000	casa
mia	mía	DP1FSS	mío
de	de	SPS00	de
buena	buena	AQ0FS0	bueno
fabrica	fábrica	NCFS000	fábrica
	,	Fc	,
q	que	PR0CN000	que
es	es	VSIP3S0	ser
los	los	DA0MP0	el
quartos	cuartos	NCMP000	cuarto
delanteros	delanteros	AQ0MP0	delantero
de	de	SPS00	de
la	la	DA0FS0	el
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
hernan	Hernán	NP00000	hernán
Martinez	Martínez	NP00000	martínez
	,	Fc	,
q	que	PR0CN000	que
vale	vale	VMIP3S0	valer
400	400	Z	400
ds	ducados	NCMP000	ducado
	,	Fc	,
de	de	SPS00	de
la	la	DA0FS0	el
renta	renta	NCFS000	renta
de	de	SPS00	de
nava	Navarra	NP00000	navarra
.	.	Fp	.
estaran	Estarán	VMIF3P0	estar
caydos	caídos	VMP00PM	caer
otros	otros	DI0MP0	otro
100	100	Z	100
ds	ducados	NCMP000	ducado
pa	para	SPS00	para
navidad	Navidad	NP00000	navidad
	,	Fc	,
porq	porque	CS	porque
le	le	PP3CSD00	le
correran	correrán	VMIF3P0	correr
desde	desde	SPS00	desde
principio	principio	NCMS000	principio
d	de	SPS00	de
este	este	DD0MS0	este
año	año	NCMS000	año
,	.	Fp	.
esto	Esto	PD0NN000	esto
y	y	CC	y
la	la	DA0FS0	el
propiedad	propiedad	NCFS000	propiedad
de	de	SPS00	de
la	la	DA0FS0	el
renta	renta	NCFS000	renta
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
q	que	PR0CN000	que
por	por	SPS00	por
agora	ahora	RG	ahora
	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
q	que	PR0CN000	que
a	a	SPS00	a
mi	mí	PP1CSO00	mí
toca	toca	VMIP3S0	tocar
	,	Fc	,
se	se	P00CN000	se
podra	podrá	VMIF3S0	poder
dar	dar	VMN0000	dar
a	a	SPS00	a
mi	mi	DP1CSS	mi
sobrina	sobrina	NCFS000	sobrino
	,	Fc	,
y	y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
mas	más	RC	más
pudiere	pudiere	VMSF0S0	poder
su	su	DP3CS0	su
Padre	padre	NCMS000	padre
	.	Fp	.
y	Y	CC	y
conozco	conozco	VMIP1S0	conocer
q	que	CS	que
es	es	VSIP3S0	ser
todo	todo	PI0MS000	todo
poco	poco	RQ	poco
y	y	CC	y
muchos	muchos	PI0MP000	mucho
menos	menos	RC	menos
pa	para	SPS00	para
mis	mis	DP1CPS	mi
deseos	deseos	NCMP000	deseo
	.	Fp	.
y	Y	CC	y
espero	espero	VMIP1S0	esperar
q	que	CS	que
con	con	SPS00	con
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
se	se	P00CN000	se
podra	podrá	VMIF3S0	poder
hazer	hacer	VMN0000	hacer
mas	más	RC	más
y	y	CC	y
q	que	CS	que
todos	todos	PI0MP000	todo
emos	hemos	VMIP1P0	haber
de	de	SPS00	de
tener	tener	VMN0000	tener
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
con	con	SPS00	con
este	este	DD0MS0	este
casamto	casamiento	NCMS000	casamiento
	,	Fc	,
mediante	mediante	SPS00	mediante
Dios	Dios	NP00000	dios
,	.	Fp	.
y	Y	CC	y
porq	porque	CS	porque
estas	estas	DD0FP0	este
cosas	cosas	NCFP000	cosa
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
mejor	mejor	AQ0CS0	mejor
concluyrlas	concluirlas	VMN0000+PP3FPA00	concluir+lo
qto	cuanto	PA000000	cuanto
antes	antes	RG	antes
	,	Fc	,
suppco	suplico	VMIP1S0	suplicar
a	a	SPS00	a
Vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
procure	procure	VMSP0S0	procurar
	.	Fp	.
y	Y	CC	y
aviendome	habiéndome	VAG0000+PP1CS000	haber+me
informado	informado	VMP0000	informar
de	de	SPS00	de
las	las	DA0FP0	el
letras	letras	NCFP000	letra
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
don	don	NP00000	don
Jusepe	Jusepe	NP00000	jusepe
pa	para	SPS00	para
ber	ver	VMN0000	ver
en	en	SPS00	en
q	qué	PT0CN000	qué
podriamos	podríamos	VMIC1P0	poder
poner	poner	VMN0000	poner
los	los	DA0MP0	el
ojos	ojos	NCMP000	ojo
pa	para	SPS00	para
darle	darle	VMN0000+PP3CSD00	dar+le
puesto	puesto	NCMS000	puesto
,	,	Fc	,
la	la	PP3FSA00	lo
he	he	VAIP1S0	haber
allado	hallado	VMP0000	hallar
tan	tan	RC	tan
buena	buena	AQ0FS0	bueno
q	que	CS	que
tengo	tengo	VMIP1S0	tener
esperancas	esperanzas	NCFP000	esperanza
q	que	CS	que
nos	nos	PP1CP000	nos
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
facil	fácil	AQ0CS0	fácil
de	de	SPS00	de
sacarle	sacarle	VMN0000+PP3CSD00	sacar+le
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
q	que	PR0CN000	que
todos	todos	PI0MP000	todo
tengamos	tengamos	VMSP1P0	tener
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
,	,	Fc	,
en	en	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
no	no	RN	no
alçare	alzaré	VMIF1S0	alzar
la	la	DA0FS0	el
mano	mano	NCFS000	mano
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
a	a	SPS00	a
Vm	VM	NP00000	VM
como	como	PA000000	como
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
md	Madrid	NP00000	madrid
	,	Fc	,
a	a	SPS00	a
23	23	Z	23
de	de	SPS00	de
novie	noviembre	NCMS000	noviembre
1622	1622	Z	1622
	.	Fp	.
franco	Francisco	NP00000	francisco
lovo	Lobo	NP00000	lobo
de	de	SPS00	de
Castrillo	Castrillo	NP00000	castrillo
