A	A		
mi	mi		
sa	señora		
doña	doña		
ines	Inés		
piñan	Piñán		
	.		
Por	Por		
la	la		
que	que		
me	me		
dexo	dejó		
escrita	escrita		
el	el		
sor	señor		
don	don		
po	Pedro		
se	se		
be	ve		
claro	claro		
como	como		
su	su		
mrd	merced		
no	no		
abia	había		
recibido	recibido		
la	la		
mia	mía		
en	en		
que	que		
demas	demás		
de	de		
que	que		
a	a		
ella	ella		
y	y		
a	a		
las	las		
q	que		
me	me		
tiene	tiene		
escrito	escrito		
le	le		
tengo	tengo		
respondido	respondido		
	,		
pero	pero		
sucintamte	sucintamente		
hare	haré		
esto	esto		
pa	para		
q	que		
otra	otra		
bez	vez		
lo	lo		
sepa	sepa		
	.		
y	Y		
asi	así		
vmd	VM		
le	le		
podra	podrá		
remirsela	remitírsela		
esta	ésta		
	,		
por	por		
do	do		
bera	verá		
toda	toda		
la	la		
resolucion	resolución		
de	de		
lo	lo		
q	que		
pide	pide		
y	y		
manda	manda		
	.		
digo	Digo		
	,		
mi	mi		
sa	señora		
	,		
que	que		
	,		
en	en		
qto	cuanto		
a	a		
la	la		
cobranca	cobranza		
del	del		
tro	trigo		
y	y		
ca	carta		
de	de		
los	los		
renteros	renteros		
de	de		
sta	Santa		
ma	María		
del	del		
campo	Campo		
	,		
q	que		
dexe	dejé		
cobradas	cobradas		
cien	cien		
fanegas	fanegas		
de	de		
tro	trigo		
y	y		
otras	otras		
tantas	tantas		
de	de		
ca	cebada		
	,		
porq	porque		
lo	lo		
demas	demás		
no	no		
se	se		
puede	puede		
cobrar	cobrar		
	.		
de	De		
lo	lo		
q	que		
toca	toca		
a	a		
la	la		
cobranca	cobranza		
de	de		
las	las		
ditas	ditas		
	,		
q	que		
	,		
en	en		
qto	cuanto		
a	a		
la	la		
deuda	deuda		
q	que		
debe	debe		
la	la		
va	villa		
de	de		
sta	Santa		
ma	María		
del	del		
campo	Campo		
	,		
q	que		
po	pagó		
senta	sesenta		
y	y		
quatro	cuatro		
rs	reales		
	;		
y	y		
q	que		
por	por		
lo	lo		
demas	demás		
escribi	escribí		
q	que		
	,		
si	si		
no	no		
me	me		
inbiaba	enviaba		
requisitoria	requisitoria		
y	y		
papeles	papeles		
para	para		
exar	ejecutar		
	,		
q	que		
no	no		
pagara	pagará		
la	la		
va	villa		
de	de		
otra	otra		
manera	manera		
	.		
q	Que		
en	en		
qto	cuanto		
a	a		
lo	lo		
de	de		
ma	María		
gara	García		
	,		
q	que		
bibe	vive		
en	en		
tebar	Tébar		
	,		
q	que		
l	le		
e	he		
cabido	cabido		
y	y		
no	no		
responde	responde		
	;		
q	que		
me	me		
enbie	envíe		
el	el		
censo	censo		
para	para		
executar	ejecutar		
	.		
q	Que		
lo	lo		
del	del		
pinarejo	Pinarejo		
	,		
q	que		
el	el		
clerigo	clérigo		
no	no		
paga	paga		
	;		
q	que		
tanbien	también		
enbio	envió		
el	el		
censo	censo		
	.		
que	Que		
en	en		
lo	lo		
de	de		
po	Pedro		
blasco	Blasco		
	,		
dio	dio		
cinco	cinco		
fas	fanegas		
de	de		
trigo	trigo		
y	y		
quarenta	cuarenta		
reales	reales		
en	en		
dineros	dineros		
q	que		
le	le		
llebo	llevó		
don	don		
manuel	Manuel		
a	a		
primro	primero		
q	que		
a	ha		
ofrecido	ofrecido		
	.		
en	En		
cobrando	cobrando		
dara	dará		
la	la		
resta	resta		
	,		
q	que		
es	es		
tresciento	trescientos		
y	y		
sesenta	sesenta		
y	y		
tantos	tantos		
r	reales		
	.		
en	En		
qto	cuanto		
a	a		
la	la		
labor	labor		
y	y		
mulas	mulas		
q	que		
enbio	envió		
	,		
estan	están		
traiendo	trayendo		
paxa	paja		
desde	desde		
la	la		
guerta	huerta		
a	a		
el	el		
alberca	alberca		
y	y		
tienen	tienen		
traidas	traídas		
doce	doce		
caretadas	carretadas		
	.		
no	No		
dan	dan		
mas	más		
porq	porque		
dicen	dicen		
no	no		
ai	hay		
	.		
en	En		
qto	cuanto		
a	a		
las	las		
haças	hazas		
q	que		
abia	había		
de	de		
decir	decir		
domingo	Domingo		
perez	Pérez		
y	y		
po	Pedro		
la	la		
torre	Torre		
pa	para		
q	que		
arasen	arasen		
y	y		
adobasen	adobasen		
	,		
dicen	dicen		
q	que		
ellos	ellos		
no	no		
saben	saben		
las	las		
q	que		
acaban	acaban		
	;		
q	que		
sin	sin		
los	los		
arrendamtos	arrendamientos		
y	e		
hijuela	hijuela		
q	que		
no	no		
se	se		
pueden	pueden		
ellos	ellos		
rejir	regir		
ni	ni		
señalar	señalar		
	.		
yo	Yo		
las	las		
tengo	tengo		
entradas	entradas		
a	a		
pedir	pedir		
muchas	muchas		
beces	veces		
a	a		
el	el		
sor	señor		
don	don		
po	Pedro		
	.		
no	No		
me	me		
las	las		
enbia	envía		
ni	ni		
me	me		
responde	responde		
a	a		
nada	nada		
este	este		
proposito	propósito		
yo	yo		
sin	sin		
conocimto	conocimiento		
de	de		
estas	estas		
haças	haças		
menos	menos		
puedo	puedo		
rejir	regir		
ni	ni		
mandar	mandar		
	,		
y	y		
pa	para		
arar	arar		
en	en		
las	las		
demas	demás		
pa	para		
barbechos	barbechos		
es	es		
tenprano	temprano		
y	y		
esta	está		
mui	muy		
dura	dura		
la	la		
tierra	tierra		
	.		
en	En		
qto	cuanto		
a	a		
la	la		
muleta	muleta		
	,		
boi	voy		
mañana	mañana		
a	a		
encabestralla	encabestrarla		
	,		
que	que		
no	no		
se	se		
a	ha		
podido	podido		
asta	hasta		
aora	ahora		
	.		
en	En		
lo	lo		
del	del		
caro	carro		
y	y		
trastos	trastos		
q	que		
trujo	trajo		
el	el		
moço	mozo		
	,		
el	el		
carro	carro		
bino	vino		
qbrado	quebrado		
	.		
una	Una		
llanta	llanta		
y	y		
pina	pina		
ase	hase		
adereçado	aderezado		
	.		
costo	Costó		
diez	diez		
reales	reales		
	.		
bujes	Bujes		
de	de		
las	las		
ruedas	ruedas		
	,		
eestan	están		
qbrados	quebrados		
las	las		
de	de		
adentro	adentro		
y	y		
no	no		
puede	puede		
andar	andar		
sin	sin		
echallas	echarlas		
nuebas	nuevas		
	.		
entrego	Entregó		
un	un		
iubo	yubo		
,	,		
un	un		
arado	arado		
,	,		
un	un		
agujada	aguijada		
,	,		
tres	tres		
	,		
un	un		
azuela	azuela		
	,		
una	una		
conllera	collera		
con	con		
su	su		
reata	reata		
de	de		
soga	soga		
	,		
dos	dos		
baras	varas		
	,		
una	una		
cadena	cadena		
de	de		
mula	mula		
	,		
una	una		
reja	reja		
con	con		
su	su		
cama	cama		
	,		
tres	tres		
bilortas	vilortas		
	,		
quatro	cuatro		
hitas	hitas		
de	de		
rueda	rueda		
de	de		
entre	entre		
raios	rayos		
	,		
un	un		
sobontes	sobontes		
de	de		
cañamo	cáñamo		
	.		
el	El		
perro	perro		
se	se		
llebo	llevó		
el	el		
moco	mozo		
qdo	cuando		
se	se		
fue	fue		
y	y		
le	le		
llebo	llevó		
caballero	caballero		
en	en		
una	una		
mula	mula		
	.		
alla	Allá		
se	se		
haga	haga		
la	la		
dilijencia	diligencia		
	.		
y	Y		
en	en		
todo	todo		
lo	lo		
demas	demás		
de	de		
las	las		
puertas	puertas		
y	y		
adereço	aderezo		
de	de		
la	la		
casa	casa		
	,		
se	se		
ba	va		
traiendo	trayendo		
y	y		
prebiniendo	previniendo		
todo	todo		
	.		
base	Vase		
conpuniendo	componiendo		
las	las		
ditas	ditas		
del	del		
alberca	alberca		
	.		
de	De		
conacho	Conacho		
se	se		
trujo	trajo		
20	20		
fas	fanegas		
de	de		
tro	trigo		
	.		
como	Como		
se	se		
ytento	intentó		
se	se		
ba	va		
desaciendo	deshaciendo		
y	y		
se	se		
ba	va		
pagando	pagando		
	.		
de	De		
los	los		
censos	censos		
de	de		
na	Nuestra		
sa	Señora		
de	de		
rus	Rus		
y	y		
la	la		
de	de		
los	los		
frailes	frailes		
	,		
se	se		
suspende	suspende		
hasta	hasta		
q	que		
pe	pague		
po	Pedro		
blasco	Blasco		
	.		
esso	Eso		
no	no		
ai	hay		
q	que		
dar	dar		
cuidado	cuidado		
	.		
abise	Avisé		
asimismo	asimismo		
como	como		
herera	Herrera		
	,		
sobre	sobre		
los	los		
7	7		
ducados	ducados		
q	que		
tomo	tomó		
q	que		
quiere	quiere		
ir	ir		
a	a		
exar	ejecutar		
	,		
yo	yo		
lo	lo		
entretengo	entretengo		
hasta	hasta		
que	que		
se	se		
muestre	muestre		
raçon	razón		
	.		
es	Es		
tenaz	tenaz		
y	y		
honbre	hombre		
de	de		
resolucion	resolución		
	.		
no	No		
ai	hay		
otra	otra		
cosa	cosa		
q	que		
	...		
en	En		
lo	lo		
de	de		
po	Pedro		
gomez	Gómez		
	,		
hasta	hasta		
oi	hoy		
a	ha		
qu	que		
esta	está		
mui	muy		
malo	malo		
de	de		
tercanas	tercianas		
	;		
pero	pero		
