Todas	Todas	DI0FP0	todo
las	las	DA0FP0	el
beçes	veces	NCFP000	vez
que	que	PR0CN000	que
reçibiere	recibiere	VMSF0S0	recibir
carta	carta	NCFS000	carta
de	de	SPS00	de
vm	VM	NP00000	VM
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
faboreçida	favorecida	VMP00SF	favorecer
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
estimare	estimaré	VMIF1S0	estimar
que	que	CS	que
en	en	SPS00	en
todas	todas	DI0FP0	todo
ocasiones	ocasiones	NCFP000	ocasión
vm	VM	NP00000	VM
me	me	PP1CS000	me
abise	avise	VMSP0S0	avisar
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
de	de	SPS00	de
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
doña	doña	NP00000	don
ynes	Inés	NP00000	inés
	.	Fp	.
en	En	SPS00	en
casa	casa	NCFS000	casa
la	la	PP3FSA00	lo
tenemos	tenemos	VMIP1P0	tener
todos	todos	PI0MP000	todo
a	a	SPS00	a
serbiçio	servicio	NCMS000	servicio
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
sola	Sola	AQ0FS0	solo
maria	María	NP00000	maría
que	que	CS	que
no	no	RN	no
acaba	acaba	VMIP3S0	acabar
de	de	SPS00	de
convaleçer	convalecer	VMN0000	convalecer
	,	Fc	,
quando	cuando	PA000000	cuando
ella	ella	PP3FS000	él
y	y	CC	y
todos	todos	PI0MP000	todo
estabamos	estábamos	VMII1P0	estar
esperando	esperando	VMG0000	esperar
a	a	SPS00	a
vm	VM	NP00000	VM
para	para	SPS00	para
los	los	DA0MP0	el
toros	toros	NCMP000	toro
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
estando	estando	VMG0000	estar
vm	VM	NP00000	VM
aqui	aquí	RG	aquí
no	no	RN	no
son	son	VSIP3P0	ser
fiestas	fiestas	NCFP000	fiesta
para	para	SPS00	para
esta	esta	DD0FS0	este
casa	casa	NCFS000	casa
.	.	Fp	.
ai	Hay	VMIP3S0	haber
jente	gente	NCFS000	gente
de	de	SPS00	de
tan	tan	RC	tan
mala	mala	AQ0FS0	malo
alma	alma	NCFS000	alma
que	que	PR0CN000	que
escriben	escriben	VMIP3P0	escribir
solo	sólo	RG	sólo
por	por	SPS00	por
meter	meter	VMN0000	meter
çiçaña	cizaña	NCFS000	cizaña
y	y	CC	y
ponernos	ponernos	VMN0000+PP1CP000	poner+nos
mal	mal	RG	mal
con	con	SPS00	con
vm	VM	NP00000	VM
por	por	SPS00	por
saber	saber	VMN0000	saber
el	el	DA0MS0	el
gusto	gusto	NCMS000	gusto
y	y	CC	y
consuelo	consuelo	NCMS000	consuelo
que	que	PR0CN000	que
tenemos	tenemos	VMIP1P0	tener
todos	todos	PI0MP000	todo
en	en	SPS00	en
berle	verle	VMN0000+PP3CSA00	ver+le
aqui	aquí	RG	aquí
	.	Fp	.
a	A	SPS00	a
dios	Dios	NP00000	dios
lo	lo	PP3CNA00	lo
dejo	dejó	VMIS3S0	dejar
que	que	CS	que
