Con	Con	SPS00	con
la	la	DA0FS0	el
de	de	SPS00	de
vmd	VM	NP00000	VM
nos	nos	PP1CP000	nos
alegramos	alegramos	VMIP1P0	alegrar
todos	todos	PI0MP000	todo
con	con	SPS00	con
saber	saber	VMN0000	saber
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
de	de	SPS00	de
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
doña	doña	NP00000	don
ynes	Inés	NP00000	inés
y	y	CC	y
demas	demás	NCMS000	demás
de	de	SPS00	de
essa	esa	DD0FS0	ese
casa	casa	NCFS000	casa
	.	Fp	.
don	Don	NP00000	don
manuel	Manuel	NP00000	manuel
llego	llegó	VMIS3S0	llegar
bueno	bueno	AQ0MS0	bueno
y	y	CC	y
bino	vino	VMIS3S0	venir
contento	contento	AQ0MS0	contento
con	con	SPS00	con
aber	haber	VAN0000	haber
bisto	visto	VMP0000	ver
a	a	SPS00	a
vmd	VM	NP00000	VM
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
madre	madre	NCFS000	madre
y	y	CC	y
heras	hermanas	NCFP000	hermano
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
vmd	VM	NP00000	VM
dice	dice	VMIP3S0	decir
por	por	SPS00	por
la	la	DA0FS0	el
suia	suya	PX3FS000	suyo
en	en	SPS00	en
lo	lo	DA0NS0	el
del	del	SPS00+DA0MS0	de+el
concierto	concierto	NCMS000	concierto
del	del	SPS00+DA0MS0	de+el
labrador	labrador	NCMS000	labrador
	,	Fc	,
q	que	CS	que
de	dé	VMSP0S0	dar
fianças	fianzas	NCMP000	fianza
respecto	respecto	NCMS000	respecto
de	de	SPS00	de
que	que	CS	que
cumplira	cumplirá	VMIF3S0	cumplir
	,	Fc	,
el	él	PP3MS000	él
dice	dice	VMIP3S0	decir
que	que	CS	que
no	no	RN	no
tiene	tiene	VMIP3S0	tener
ningunas	ningunas	DI0FP0	ninguno
y	y	CC	y
q	que	CS	que
pa	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	a	SPS00	a
el	él	PP3MS000	él
le	le	PP3CSD00	le
an	han	VMIP3P0	haber
de	de	SPS00	de
entregar	entregar	VMN0000	entregar
	(	Fba	(
q	que	CS	que
es	es	VSIP3S0	ser
si	si	CS	si
el	él	PP3MS000	él
es	es	VSIP3S0	ser
cunplido	cumplido	VMP00SM	cumplir
mes	mes	NCMS000	mes
pasado	pasado	VMP00SM	pasar
de	de	SPS00	de
su	su	DP3CS0	su
comida	comida	NCFS000	comida
	)	Fbt	)
q	que	CS	que
en	en	SPS00	en
poco	poco	RQ	poco
puede	puede	VMIP3S0	poder
engañar	engañar	VMN0000	engañar
	;	Fx	;
q	que	CS	que
ara	hará	VMIF3S0	hacer
asiento	asiento	NCMS000	asiento
de	de	SPS00	de
cumplir	cumplir	VMN0000	cumplir
como	como	CS	como
se	se	P00CN000	se
acostunbra	acostunbra	VMIP3S0	acostunbrar
en	en	SPS00	en
esta	esta	DD0FS0	este
tierra	tierra	NCFS000	tierra
y	y	CC	y
que	que	CS	que
	,	Fc	,
si	si	CS	si
no	no	RN	no
	,	Fc	,
q	que	CS	que
el	él	PP3MS000	él
no	no	RN	no
puede	puede	VMIP3S0	poder
ni	ni	CC	ni
tiene	tiene	VMIP3S0	tener
fiança	fianza	NCFS000	fianza
	.	Fp	.
esto	Esto	PD0NN000	esto
	,	Fc	,
sor	señor	NP00000	señor
	,	Fc	,
conforme	conforme	RG	conforme
a	a	SPS00	a
el	el	DA0MS0	el
estilo	estilo	NCMS000	estilo
de	de	SPS00	de
esta	esta	DD0FS0	este
tierra	tierra	NCFS000	tierra
	,	Fc	,
un	un	DI0MS0	uno
asiento	asiento	NCMS000	asiento
se	se	P00CN000	se
açe	hace	VMIP3S0	hacer
sinple	simple	AQ0CS0	simple
en	en	SPS00	en
un	un	DI0MS0	uno
libro	libro	NCMS000	libro
y	y	CC	y
en	en	SPS00	en
esso	eso	PD0NN000	eso
se	se	P00CN000	se
pasa	pasa	VMIP3S0	pasar
	.	Fp	.
aqui	Aquí	RG	aquí
somos	somos	VSIP1P0	ser
mui	muy	RQ	muy
confiados	confiados	NP00000	confiado
sobre	sobre	SPS00	sobre
esto	esto	PD0NN000	esto
	.	Fp	.
vmd	VM	NP00000	VM
bea	vea	VMSP0S0	ver
lo	lo	DA0NS0	el
que	que	PR0CN000	que
quiere	quiere	VMIP3S0	querer
	,	Fc	,
q	que	CS	que
esso	eso	PD0NN000	eso
hare	haré	VMIF1S0	hacer
yo	yo	PP1CSN00	yo
y	y	CC	y
no	no	RN	no
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	,	Fc	,
si	si	CS	si
bien	bien	RG	bien
la	la	DA0FS0	el
resolucion	resolución	NCFS000	resolución
del	del	SPS00+DA0MS0	de+el
honbre	hombre	NCMS000	hombre
es	es	VSIP3S0	ser
esta	ésta	PD0FS000	este
	;	Fx	;
y	y	CC	y
q	que	CS	que
	,	Fc	,
si	si	CS	si
no	no	RN	no
	,	Fc	,
q	que	CS	que
busquemos	busquemos	VMSP1P0	buscar
otro	otro	PI0MS000	otro
	,	Fc	,
q	que	CS	que
el	él	PP3MS000	él
no	no	RN	no
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
obligar	obligar	VMN0000	obligar
a	a	SPS00	a
mas	más	RC	más
	.	Fp	.
en	En	SPS00	en
qto	cuanto	PA000000	cuanto
a	a	SPS00	a
