Jesus	Jesús	NP00000	jesús
	,	Fc	,
maria	María	NP00000	maría
	,	Fc	,
josephe	José	NP00000	josé
	.	Fp	.
Hijo	Hijo	NP00000	hijo
mio	mío	DP1MSS	mío
de	de	SPS00	de
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
	.	Fp	.
la	La	DA0FS0	el
tuya	tuya	PX2FS0S0	tuyo
Rvi	recibí	VMIS1S0	recibir
de	de	SPS00	de
26	26	Z	26
de	de	SPS00	de
novienbre	noviembre	NCMS000	noviembre
1644	1644	Z	1644
	.	Fp	.
con	Con	SPS00	con
ella	ella	PP3FS000	él
me	me	PP1CS000	me
alegre	alegré	VMIS1S0	alegrar
mucho	mucho	RQ	mucho
en	en	SPS00	en
saber	saber	VMN0000	saber
de	de	SPS00	de
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
	.	Fp	.
dios	Dios	NP00000	dios
te	te	PP2CS000	te
gde	guarde	VMSP0S0	guardar
como	como	PA000000	como
puede	puede	VMIP3S0	poder
	,	Fc	,
que	que	CS	que
hes	es	VSIP3S0	ser
como	como	PA000000	como
yo	yo	PP1CSN00	yo
te	te	PP2CS000	te
la	la	PP3FSA00	lo
deseo	deseo	VMIP1S0	desear
ser	ser	VSN0000	ser
muy	muy	RQ	muy
buena	buena	AQ0FS0	bueno
,	.	Fp	.
mis	Mis	DP1CPS	mi
hermanas	hermanas	NCFP000	hermano
te	te	PP2CS000	te
besan	besan	VMIP3P0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
	,	Fc	,
estimando	estimando	VMG0000	estimar
mucho	mucho	RQ	mucho
el	el	DA0MS0	el
amor	amor	NCMS000	amor
que	que	PR0CN000	que
les	les	PP3CPD00	le
haces	haces	VMIP2S0	hacer
	.	Fp	.
isabel	Isabel	NP00000	isabel
murio	murió	VMIS3S0	morir
	,	Fc	,
que	que	CS	que
estava	estaba	VMII0S0	estar
en	en	SPS00	en
el	el	DA0MS0	el
ospital	Hospital	NP00000	hospital
de	de	SPS00	de
la	la	DA0FS0	el
sangre	Sangre	NP00000	sangre
por	por	SPS00	por
doncella	doncella	NCFS000	doncella
	.	Fp	.
y	Y	CC	y
mi	mi	DP1CSS	mi
hermana	hermana	NCFS000	hermano
ma	María	NP00000	maría
Ramirez	Ramírez	NP00000	ramírez
tiene	tiene	VMIP3S0	tener
ya	ya	RG	ya
dos	dos	Z	2
hijas	hijas	NCFP000	hijo
casadas	casadas	VMP00PF	casar
y	y	CC	y
le	le	PP3CSD00	le
quedan	quedan	VMIP3P0	quedar
otras	otras	DI0FP0	otro
cuatro	cuatro	Z	4
	,	Fc	,
que	que	CS	que
las	las	DA0FP0	el
dos	dos	Z	2
las	las	PP3FPA00	lo
casara	casará	VMIF3S0	casar
presto	presto	RG	presto
tanbien	también	RG	también
,	.	Fp	.
mi	Mi	DP1CSS	mi
hermana	hermana	NCFS000	hermano
margarita	Margarita	NP00000	margarita
la	la	PP3FSA00	lo
tengo	tengo	VMIP1S0	tener
ya	ya	RG	ya
casada	casada	VMP00SF	casar
,	.	Fp	.
tu	Tú	PP2CSN00	tú
me	me	PP1CS000	me
escribes	escribes	VMIP2S0	escribir
que	que	CS	que
me	me	PP1CS000	me
as	has	VAIP2S0	haber
ynbiado	enviado	VMP0000	enviar
ocho	ocho	Z	8
cartas	cartas	NCFP000	carta
y	y	CC	y
yo	yo	PP1CSN00	yo
no	no	RN	no
e	he	VAIP1S0	haber
Rdo	recibido	VMP0000	recibir
mas	más	RC	más
de	de	SPS00	de
una	una	PI0FS000	uno
que	que	PR0CN000	que
me	me	PP1CS000	me
ynbiaste	enviaste	VMIS2S0	enviar
quando	cuando	PA000000	cuando
estavas	estabas	VMII2S0	estar
en	en	SPS00	en
mexico	México	NP00000	méxico
	,	Fc	,
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
dio	Diego	NP00000	diego
martin	Martín	NP00000	martín
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
respuesta	respuesta	NCFS000	respuesta
d	de	SPS00	de
ella	ella	PP3FS000	él
te	te	PP2CS000	te
escrivi	escribí	VMIS1S0	escribir
y	y	CC	y
enbie	envié	VMIS1S0	enviar
las	las	DA0FP0	el
informaciones	informaciones	NCFP000	información
que	que	PR0CN000	que
me	me	PP1CS000	me
ynbias	envías	VMIP2S0	enviar
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
d	de	SPS00	de
el	el	DA0MS0	el
testimonio	testimonio	NCMS000	testimonio
de	de	SPS00	de
como	como	CS	como
eres	eres	VSIP2S0	ser
libre	libre	AQ0CS0	libre
de	de	SPS00	de
todo	todo	PI0MS000	todo
.	,	Fc	,
ansi	así	RG	así
de	de	SPS00	de
matrimonio	matrimonio	NCMS000	matrimonio
como	como	CC	como
de	de	SPS00	de
relixion	religión	NCFS000	religión
	,	Fc	,
y	y	CC	y
la	la	DA0FS0	el
de	de	SPS00	de
tu	tu	DP2CSS	tu
linpieca	limpieza	NCFS000	limpieza
	.	Fp	.
y	Y	CC	y
que	que	CS	que
	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
ynbiaste	enviaste	VMIS2S0	enviar
a	a	SPS00	a
decir	decir	VMN0000	decir
que	que	CS	que
las	las	PP3FPA00	lo
rremitiese	remitiese	VMSI0S0	remitir
alli	allí	RG	allí
	,	Fc	,
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
diego	Diego	NP00000	diego
martin	Martín	NP00000	martín
	,	Fc	,
las	las	PP3FPA00	lo
ynbie	envié	VMIS1S0	enviar
alli	allí	RG	allí
con	con	SPS00	con
una	una	DI0FS0	uno
persona	persona	NCFS000	persona
que	que	PR0CN000	que
me	me	PP1CS000	me
dixo	dijo	VMIS3S0	decir
yva	iba	VMII0S0	ir
a	a	SPS00	a
mexico	México	NP00000	méxico
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
