Reseby	Recibí	VMIS1S0	recibir
su	su	DP3CS0	su
carta	carta	NCFS000	carta
de	de	SPS00	de
Vm	VM	NP00000	VM
y	y	CC	y
	,	Fc	,
notando	notando	VMG0000	notar
su	su	DP3CS0	su
locura	locura	NCFS000	locura
	,	Fc	,
allava	hallaba	VMII0S0	hallar
q	que	CS	que
azta	hasta	SPS00	hasta
aqui	aquí	RG	aquí
	,	Fc	,
sin	sin	SPS00	sin
passar	pasar	VMN0000	pasar
adelante	adelante	RG	adelante
	,	Fc	,
tenia	tenía	VMII0S0	tener
Respondido	respondido	VMP00SM	responder
:	;	Fx	;
no	no	RN	no
ostante	obstante	RG	obstante
Respondo	respondo	VMIP1S0	responder
	,	Fc	,
aunq	aunque	CS	aunque
es	es	VSIP3S0	ser
con	con	SPS00	con
mucha	mucha	DI0FS0	mucho
pacion	pasión	NCFS000	pasión
de	de	SPS00	de
notar	notar	VMN0000	notar
a	a	SPS00	a
Vm	VM	NP00000	VM
de	de	SPS00	de
tan	tan	RC	tan
poco	poco	RQ	poco
agradecida	agradecida	VMP00SF	agradecer
a	a	SPS00	a
quien	quien	PR0CS000	quien
se	se	P00CN000	se
hiziera	hiciera	VMSI0S0	hacer
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
ago	hago	VMIP1S0	hacer
	:	Fd	:
Recogerle	recogerle	VMN0000+PP3CSD00	recoger+le
a	a	SPS00	a
una	una	DI0FS0	uno
hija	hija	NCFS000	hijo
muger	mujer	NCFS000	mujer
pa	para	SPS00	para
	,	Fc	,
em	en	SPS00	en
compañia	compañía	NCFS000	compañía
de	de	SPS00	de
miz	mis	DP1CPS	mi
hijaz	hijas	NCFP000	hijo
y	y	CC	y
en	en	SPS00	en
su	su	DP3CS0	su
ygual	igual	NCMS000	igual
	,	Fc	,
la	la	PP3FSA00	lo
tener	tener	VMN0000	tener
,	.	Fp	.
y	Y	CC	y
ez	es	VSIP3S0	ser
mui	muy	RQ	muy
poca	poca	DI0FS0	poco
verguenca	vergüenza	NCFS000	vergüenza
la	la	DA0FS0	el
q	que	PR0CN000	que
Vm	VM	NP00000	VM
tiene	tiene	VMIP3S0	tener
	.	Fp	.
el	El	DA0MS0	el
querer	querer	VMN0000	querer
quitarla	quitarla	VMN0000+PP3FSA00	quitar+lo
del	del	SPS00+DA0MS0	de+el
bien	bien	NCMS000	bien
de	de	SPS00	de
donde	donde	PA000000	donde
esta	está	VMIP3S0	estar
pa	para	SPS00	para
ir	ir	VMN0000	ir
a	a	SPS00	a
morir	morir	VMN0000	morir
de	de	SPS00	de
ambre	hambre	NCFS000	hambre
,	.	Fp	.
q	Que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
lo	lo	PP3CNA00	lo
ago	hago	VMIP1S0	hacer
por	por	SPS00	por
Vm	VM	NP00000	VM
ni	ni	CCN	ni
tanpoco	tampoco	RG	tampoco
porq	porque	CS	porque
me	me	PP1CS000	me
sirva	sirva	VMSP0S0	servir
,	,	Fc	,
q	que	CS	que
quando	cuando	PA000000	cuando
vino	vino	VMIS3S0	venir
de	de	SPS00	de
poder	poder	NCMS000	poder
de	de	SPS00	de
Vm	VM	NP00000	VM
no	no	RN	no
tenia	tenía	VMII0S0	tener
ningum	ningún	DI0MS0	ninguno
prestimo	préstamo	NCMS000	préstamo
,	,	Fc	,
sino	sino	CC	sino
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
Dioz	Dios	NP00000	dios
y	y	CC	y
ser	ser	VSN0000	ser
huerfana	huérfana	NCFS000	huérfano
;	.	Fp	.
y	Y	CC	y
ez	es	VSIP3S0	ser
tanto	tanto	RC	tanto
asi	así	RG	así
y	y	CC	y
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
cargo	cargo	NCMS000	cargo
de	de	SPS00	de
consiensia	conciencia	NCFS000	conciencia
q	que	CS	que
	,	Fc	,
aunq	aunque	CS	aunque
viniera	viniera	VMSI0S0	venir
Vm	VM	NP00000	VM
em	en	SPS00	en
persona	persona	NCFS000	persona
por	por	SPS00	por
ella	ella	PP3FS000	él
	,	Fc	,
le	le	PP3CSD00	le
juro	juro	VMIP1S0	jurar
a	a	SPS00	a
Dioz	Dios	NP00000	dios
q	que	CS	que
no	no	RN	no
solamte	solamente	RG	solamente
la	la	PP3FSA00	lo
avia	había	VMII0S0	haber
de	de	SPS00	de
llevar	llevar	VMN0000	llevar
;	,	Fc	,
sino	sino	CC	sino
ni	ni	CCN	ni
verla	verla	VMN0000+PP3FSA00	ver+lo
;	.	Fp	.
y	Y	CC	y
le	le	PP3CSD00	le
