estoy	Estoy	VMIP1S0	estar
informado	informado	VMP00SM	informar
de	de	SPS00	de
Marcos	Marcos	NP00000	marcos
Fernandez	Fernández	NP00000	fernández
q	que	CS	que
los	los	DA0MP0	el
Pressos	presos	NCMP000	preso
de	de	SPS00	de
la	la	DA0FS0	el
Vezindad	vecindad	NCFS000	vecindad
le	le	PP3CSD00	le
han	han	VAIP3P0	haber
estragado	estragado	VMP0000	estragar
un	un	DI0MS0	uno
tanes	tanes	X	x
de	de	SPS00	de
mijo	mijo	NCMS000	mijo
,	.	Fp	.
y	Y	CC	y
q	que	CS	que
A	a	SPS00	a
vos	vos	PP2CS000	vos
martiño	Martiño	NP00000	martiño
montero	Montero	NP00000	montero
	,	Fc	,
mayordomo	mayordomo	NCMS000	mayordomo
de	de	SPS00	de
s	Santa	NP00000	santo
locaya	Locaya	NP00000	locaya
	,	Fc	,
os	os	PP2CP000	os
ha	ha	VAIP3S0	haber
requerido	requerido	VMP0000	requerir
Por	por	SPS00	por
dos	dos	Z	2
vezes	veces	NCFP000	vez
q	que	CS	que
los	los	PP3MPA00	lo
aprisionasedes	aprisionásedes	VMSI2P0	aprisionar
,	.	Fp	.
y	Y	CC	y
aunq	aunque	CS	aunque
habeys	habéis	VAIP2P0	haber
hecho	hecho	VMP0000	hacer
depues	después	RG	después
una	una	DI0FS0	uno
Pte	parte	NCFS000	parte
lo	lo	DA0NS0	el
q	que	PR0CN000	que
os	os	PP2CP000	os
tocava	tocaba	VMII0S0	tocar
,	,	Fc	,
ni	ni	CCN	ni
Por	por	SPS00	por
eso	eso	PD0NN000	eso
dexaron	dejaron	VMIS3P0	dejar
de	de	SPS00	de
estragar	estragar	VMN0000	estragar
dicho	dicho	VMP00SM	decir
mijo	mijo	NCMS000	mijo
.	.	Fp	.
Por	Por	SPS00	por
cuya	cuya	PU0FS000	cuyo
causa	causa	NCFS000	causa
	,	Fc	,
ireys	iréis	VMIF2P0	ir
con	con	SPS00	con
dos	dos	Z	2
hombres	hombres	NCMP000	hombre
a	a	SPS00	a
ver	ver	VMN0000	ver
el	el	DA0MS0	el
daño	daño	NCMS000	daño
y	y	CC	y
tasado	tasado	VMP00SM	tasar
Pagarselo	pagárselo	VMN0000+PP3CN000+PP3MSA00	pagar+se+lo
,	.	Fp	.
y	Y	CC	y
q	que	CS	que
se	se	P00CN000	se
vean	vean	VMSP3P0	ver
conmigo	conmigo	SPS00+PP1CSO00	con+mí
Para	para	SPS00	para
lunes	lunes	NCMN000	lunes
o	o	CC	o
martes	martes	NCMN000	martes
sin	sin	SPS00	sin
falta	falta	NCFS000	falta
,	,	Fc	,
Pena	pena	NCFS000	pena
de	de	SPS00	de
q	que	CS	que
sereys	seréis	VSIF2P0	ser
vos	vos	PP2CS000	vos
y	y	CC	y
ellos	ellos	PP3MP000	ellos
multados	multados	VMP00PM	multar
en	en	SPS00	en
cinquenta	cincuenta	Z	50
Rs	reales	NCMP000	real
si	si	CS	si
no	no	RN	no
executaredes	ejecutáredes	VMSF2P0	ejecutar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
os	os	PP2CP000	os
manda	manda	VMIP3S0	mandar
.	.	Fp	.
fecho	Fecho	AQ0MSP	fecho
en	en	SPS00	en
Peña	Pena	NP00000	pena
	,	Fc	,
a	a	SPS00	a
27	27	Z	27
de	de	SPS00	de
agosto	agosto	NCMS000	agosto
de	de	SPS00	de
90	90	Z	90
.	.	Fp	.
y	Y	CC	y
cobrareys	cobraréis	VMIF2P0	cobrar
de	de	SPS00	de
los	los	DA0MP0	el
reos	reos	NCMP000	reo
vuestros	vuestros	DP2MPP	vuestro
derechos	derechos	NCMP000	derecho
y	y	CC	y
los	los	DA0MP0	el
mios	míos	PX1MP0S0	mío
conforme	conforme	RG	conforme
al	al	SPS00+DA0MS0	a+el
Aranzel	arancel	NCFS000	arancel
real	real	NCMS000	real
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
lo	lo	PP3MSA00	lo
sabeys	sabéis	VMIP2P0	saber
	,	Fc	,
os	os	PP2CP000	os
lo	lo	PP3MSA00	lo
dira	dirá	VMIF3S0	decir
el	el	DA0MS0	el
secretario	secretario	NP00000	secretario
Pacheco	Pacheco	NP00000	pacheco
.	.	Fp	.
Montoto	Montoto	NP00000	montoto
