Vista	Vista	VMP00SF	ver
esta	ésta	PD0FS000	este
	,	Fc	,
luego	luego	RG	luego
al	al	SPS00+DA0MS0	a+el
instante	instante	NCMS000	instante
se	se	P00CN000	se
hagan	hagan	VMSP3P0	hacer
ViVas	vivas	AQ0FP0	vivo
diligenzias	diligencias	NCFP000	diligencia
en	en	SPS00	en
busca	busca	NCFS000	busca
de	de	SPS00	de
cinco	cinco	Z	5
cavallerias	caballerías	NCFP000	caballería
y	y	CC	y
esten	estén	VMSP3P0	estar
aqui	aquí	RG	aquí
Para	para	SPS00	para
miercoles	miércoles	NCMN000	miércoles
de	de	SPS00	de
Pascua	Pascua	NP00000	pascua
	,	Fc	,
conzertadas	concertadas	VMP00PF	concertar
lo	lo	DA0NS0	el
mas	más	RC	más
varato	barato	AQ0MS0	barato
q	que	PR0CN000	que
se	se	P00CN000	se
pudiere	pudiere	VMSF0S0	poder
.	.	Fp	.
Aunque	Aunque	CC	aunque
es	es	VSIP3S0	ser
Verdad	verdad	NCFS000	verdad
q	que	CS	que
Alvertico	Albertico	NP00000	albertico
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
q	que	CS	que
de	de	SPS00	de
su	su	DP3CS0	su
Parte	parte	NCFS000	parte
Vuscan	buscan	VMIP3P0	buscar
a	a	SPS00	a
cinco	cinco	Z	5
sin	sin	SPS00	sin
falta	falta	NCFS000	falta
	,	Fc	,
y	y	CC	y
Pues	pues	CS	pues
el	él	PP3MS000	él
se	se	P00CN000	se
obliga	obliga	VMIP3S0	obligar
a	a	SPS00	a
esto	esto	PD0NN000	esto
	,	Fc	,
Podras	podrás	VMIF2S0	poder
de	de	SPS00	de
tu	tu	DP2CSS	tu
Parte	parte	NCFS000	parte
hazer	hacer	VMN0000	hacer
lo	lo	DA0NS0	el
q	que	PR0CN000	que
convenga	convenga	VMSP0S0	convenir
	.	Fp	.
yo	Yo	PP1CSN00	yo
dare	daré	VMIF1S0	dar
Por	por	SPS00	por
cada	cada	DI0CN0	cada
una	una	PI0FS000	uno
seis	seis	Z	6
Rs	reales	NCMP000	real
	,	Fc	,
y	y	CC	y
aunq	aunque	CS	aunque
de	de	SPS00	de
ocho	ocho	Z	8
Poco	poco	RQ	poco
se	se	P00CN000	se
me	me	PP1CS000	me
darà	dará	VMIF3S0	dar
y	y	CC	y
en	en	SPS00	en
seys	seis	Z	6
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
alverte	Alberte	NP00000	alberte
las	las	PP3FPA00	lo
conzertaria	concertaría	VMIC0S0	concertar
	.	Fp	.
no	No	RN	no
aia	haya	VMSP0S0	haber
falta	falta	NCFS000	falta
en	en	SPS00	en
q	que	CS	que
esten	estén	VMSP3P0	estar
aqui	aquí	RG	aquí
Para	para	SPS00	para
la	la	DA0FS0	el
semana	semana	NCFS000	semana
de	de	SPS00	de
Pascua	Pascua	NP00000	pascua
de	de	SPS00	de
resurreccion	Resurrección	NP00000	resurrección
	.	Fp	.
en	En	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
mi	mi	DP1CSS	mi
Viage	viaje	NCMS000	viaje
	,	Fc	,
sera	será	VSIF3S0	ser
sin	sin	SPS00	sin
falta	falta	NCFS000	falta
	,	Fc	,
dandome	dándome	VMG0000+PP1CS000	dar+me
Dios	Dios	NP00000	dios
salud	salud	NCFS000	salud
	,	Fc	,
Para	para	SPS00	para
la	la	DA0FS0	el
semana	semana	NCFS000	semana
de	de	SPS00	de
Pasquilla	Pascuilla	NP00000	pascuilla
,	.	Fp	.
y	Y	CC	y
Para	para	SPS00	para
esto	esto	PD0NN000	esto
es	es	VSIP3S0	ser
necessario	necesario	AQ0MS0	necesario
me	me	PP1CS000	me
hagas	hagas	VMSP2S0	hacer
agasajo	agasajo	NCMS000	agasajo
de	de	SPS00	de
Prestarme	prestarme	VMN0000+PP1CS000	prestar+me
tu	tu	DP2CSS	tu
con	con	SPS00	con
el	el	DA0MS0	el
sillon	sillón	NCMS000	sillón
de	de	SPS00	de
la	la	DA0FS0	el
Sra	señora	NP00000	señor
Angela	Ángela	NP00000	ángela
Para	para	SPS00	para
D	doña	NP00000	don
jossepha	Josefa	NP00000	josefa
,	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
esto	esto	PD0NN000	esto
no	no	RN	no
aia	haya	VMSP0S0	haber
falta	falta	NCFS000	falta
y	y	CC	y
sea	sea	VSSP0S0	ser
	,	Fc	,
como	como	PA000000	como
digo	digo	VMIP1S0	decir
	,	Fc	,
Para	para	SPS00	para
lyA	la	DA0FS0	el
semana	semana	NCFS000	semana
de	de	SPS00	de
Pasquilla	Pascuilla	NP00000	pascuilla
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
esto	esto	PD0NN000	esto
aia	haya	VMSP0S0	haber
todo	todo	DI0MS0	todo
cuidado	cuidado	NCMS000	cuidado
y	y	CC	y
prontitud	prontitud	NCFS000	prontitud
	.	Fp	.
y	Y	CC	y
aunq	aunque	CS	aunque
alverte	Alberte	NP00000	alberte
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
q	que	CS	que
era	era	VSII0S0	ser
floja	floja	AQ0FS0	flojo
	,	Fc	,
sin	sin	SPS00	sin
embargo	embargo	NCMS000	embargo
de	de	SPS00	de
eso	eso	PD0NN000	eso
no	no	RN	no
dexes	dejes	VMSP2S0	dejar
de	de	SPS00	de
hazerme	hacerme	VMN0000+PP1CS000	hacer+me
agasajo	agasajo	NCMS000	agasajo
de	de	SPS00	de
Prestarmela	prestármela	VMN0000+PP1CS000+PP3FSA00	prestar+me+lo
	,	Fc	,
Porq	porque	CS	porque
nuestra	nuestra	DP1FSP	nuestro
jornada	jornada	NCFS000	jornada
sera	será	VSIF3S0	ser
muy	muy	RQ	muy
Poco	poco	RQ	poco
a	a	SPS00	a
poco	poco	RQ	poco
y	y	CC	y
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
he	he	VMIP1S0	haber
de	de	SPS00	de
estimar	estimar	VMN0000	estimar
mucho	mucho	RQ	mucho
.	.	Fp	.
y	Y	CC	y
Para	para	SPS00	para
ir	ir	VMN0000	ir
yo	yo	PP1CSN00	yo
	,	Fc	,
Pedire	pediré	VMIF1S0	pedir
una	una	PI0FS000	uno
al	al	SPS00+DA0MS0	a+el
Sr	señor	NP00000	señor
moscoso	Moscoso	NP00000	moscoso
	,	Fc	,
mi	mi	DP1CSS	mi
amigo	amigo	NCMS000	amigo
,	;	Fx	;
y	y	CC	y
Para	para	SPS00	para
la	la	DA0FS0	el
Donzella	doncella	NCFS000	doncella
	,	Fc	,
otra	otra	PI0FS000	otro
a	a	SPS00	a
Pacheco	Pacheco	NP00000	pacheco
.	.	Fp	.
Recibi	Recibí	VMIS1S0	recibir
quatro	cuatro	Z	4
Perdizes	perdices	NCFP000	perdiz
,	,	Fc	,
dos	dos	Z	2
gallinas	gallinas	NCFP000	gallina
	,	Fc	,
dos	dos	Z	2
qurs	cuartos	NCMP000	cuarto
de	de	SPS00	de
manteca	manteca	NCFS000	manteca
	,	Fc	,
un	un	DI0MS0	uno
conejo	conejo	NCMS000	conejo
,	,	Fc	,
un	un	DI0MS0	uno
cabrito	cabrito	NCMS000	cabrito
	,	Fc	,
medio	medio	AQ0MS0	medio
lanado	lanado	NCMS000	lanado
de	de	SPS00	de
vino	vino	NCMS000	vino
y	y	CC	y
57	57	Z	57
Rs	reales	NCMP000	real
y	y	CC	y
medio	medio	NCMS000	medio
,	.	Fp	.
estimete	Estimete	VMIS1S0+PP2CS000	estimar+te
muy	muy	RQ	muy
mucho	mucho	RQ	mucho
el	el	DA0MS0	el
regalo	regalo	NCMS000	regalo
q	que	PR0CN000	que
de	de	SPS00	de
tu	tu	DP2CSS	tu
atenzion	atención	NCFS000	atención
no	no	RN	no
esperava	esperaba	VMII0S0	esperar
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
cariño	cariño	NCMS000	cariño
de	de	SPS00	de
la	la	DA0FS0	el
Sra	señora	NP00000	señor
Angela	Ángela	NP00000	ángela
	.	Fp	.
y	Y	CC	y
espero	espero	VMIP1S0	esperar
resoluzion	resolución	NCFS000	resolución
fija	fija	AQ0FS0	fijo
de	de	SPS00	de
las	las	DA0FP0	el
cavallerias	caballerías	NCFP000	caballería
de	de	SPS00	de
los	los	DA0MP0	el
otros	otros	DI0MP0	otro
amigos	amigos	NCMP000	amigo
	.	Fp	.
y	Y	CC	y
assi	así	RG	así
	,	Fc	,
quando	cuando	PA000000	cuando
Vengan	vengan	VMSP3P0	venir
las	las	DA0FP0	el
bestias	bestias	NCFP000	bestia
Para	para	SPS00	para
llevar	llevar	VMN0000	llevar
las	las	DA0FP0	el
Vengan	vengan	VMSP3P0	venir
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
de	de	SPS00	de
dicha	dicha	VMP00SF	decir
resoluzion	resolución	NCFS000	resolución
Para	para	SPS00	para
yo	yo	PP1CSN00	yo
estar	estar	VMN0000	estar
esperando	esperando	VMG0000	esperar
sin	sin	SPS00	sin
falta	falta	NCFS000	falta
.	.	Fp	.
y	Y	CC	y
mira	mira	VMM02S0	mirar
si	si	CSI	si
se	se	P00CN000	se
te	te	PP2CS000	te
ofreze	ofrece	VMIP3S0	ofrecer
algo	algo	PI0CS000	algo
en	en	SPS00	en
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
Pueda	pueda	VMSP0S0	poder
serte	serte	VSN0000+PP2CS000	ser+te
bueno	bueno	AQ0MS0	bueno
Por	por	SPS00	por
acà	acá	RG	acá
	,	Fc	,
q	que	CS	que
lo	lo	PP3CNA00	lo
harè	haré	VMIF1S0	hacer
con	con	SPS00	con
sumo	sumo	AQ0MS0	sumo
gusto	gusto	NCMS000	gusto
.	.	Fp	.
Dios	Dios	NP00000	dios
te	te	PP2CS000	te
guarde	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
añ	años	NCMP000	año
	,	Fc	,
como	como	PA000000	como
deseo	deseo	VMIP1S0	desear
	,	Fc	,
en	en	SPS00	en
Vida	vida	NCFS000	vida
de	de	SPS00	de
la	la	DA0FS0	el
sra	señora	NP00000	señor
Angela	Ángela	NP00000	ángela
y	y	CC	y
la	la	DA0FS0	el
familia	familia	NCFS000	familia
.	.	Fp	.
coruña	Coruña	NP00000	coruña
	,	Fc	,
y	y	CC	y
marzo	marzo	NCMS000	marzo
18	18	Z	18
de	de	SPS00	de
90	90	Z	90
	.	Fp	.
B	Besa	VMIP3S0	besar
t	tu	DP2CSS	tu
m	mano	NCFS000	mano
tu	tu	DP2CSS	tu
amigo	amigo	NP00000	amigo
y	y	CC	y
servor	servidor	NCMS000	servidor
	,	Fc	,
sr	señor	NP00000	señor
Pedro	Pedro	NP00000	pedro
Montoto	Montoto	NP00000	montoto
de	de	SPS00	de
Lago	Lago	NP00000	lago
tengo	Tengo	VMIP1S0	tener
Una	una	DI0FS0	uno
encarga	encarga	NCFS000	encarga
de	de	SPS00	de
pollos	pollos	NCMP000	pollo
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
oydor	oidor	NP00000	oidor
D	don	NP00000	don
Po	Pedro	NP00000	pedro
cachupin	Cachupín	NP00000	cachupín
Para	para	SPS00	para
luego	luego	RG	luego
.	.	Fp	.
estimare	Estimaré	VMIF1S0	estimar
si	si	CS	si
ai	hay	VMIP3S0	haber
algu-nos	algunos	PI0MS000	alguno
me	me	PP1CS000	me
los	los	PP3MPA00	lo
remitan	remitan	VMSP3P0	remitir
	,	Fc	,
y	y	CC	y
serà	será	VSIF3S0	ser
fineza	fineza	NCFS000	fineza
en	en	SPS00	en
esta	esta	DD0FS0	este
ocasion	ocasión	NCFS000	ocasión
.	.	Fp	.
y	Y	CC	y
no	no	RN	no
digo	digo	VMIP1S0	decir
mas	más	RC	más
.	.	Fp	.
son	Son	VSIP3P0	ser
Para	para	SPS00	para
el	el	DA0MS0	el
sr	señor	NP00000	señor
marques	marqués	NCMS000	marqués
de	de	SPS00	de
ValVazes	Valvaces	NP00000	valvaces
.	.	Fp	.
Domingo	Domingo	NP00000	domingo
Ramos	Ramos	NP00000	ramos
	,	Fc	,
mi	mi	DP1CSS	mi
amigo	amigo	NP00000	amigo
y	y	CC	y
mi	mi	DP1CSS	mi
teniente	teniente	NCCS000	teniente
	.	Fp	.
