Estimaremos	Estimaremos	VMIF1P0	estimar
que	que	CS	que
esta	ésta	PD0FS000	este
le	le	PP3CSA00	le
alle	halle	VMSP0S0	hallar
a	a	SPS00	a
Vm	VM	NP00000	VM
con	con	SPS00	con
la	la	DA0FS0	el
salud	salud	NCFS000	salud
que	que	PR0CN000	que
le	le	PP3CSD00	le
deseamos	deseamos	VMIP1P0	desear
.	.	Fp	.
Ya	Ya	RG	ya
abra	habrá	VAIF3S0	haber
Vm	VM	NP00000	VM
savido	sabido	VMP0000	saber
nros	nuestros	DP1MPP	nuestro
travajos	trabajos	NCMP000	trabajo
y	y	CC	y
de	de	SPS00	de
como	como	CS	como
Dios	Dios	NP00000	dios
y	y	CC	y
su	Su	DP3CS0	su
bendita	Bendita	AQ0FSP	bendito
madre	Madre	NP00000	madre
fue	fue	VSIS3S0	ser
servido	servido	VMP00SM	servir
de	de	SPS00	de
sacarnos	sacarnos	VMN0000+PP1CP000	sacar+nos
de	de	SPS00	de
ellos	ellos	PP3MP000	ellos
juntamte	juntamente	RG	juntamente
a	a	SPS00	a
mi	mí	PP1CSO00	mí
con	con	SPS00	con
dos	dos	Z	2
hijas	hijas	NCFP000	hijo
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
hermana	hermana	NCFS000	hermano
con	con	SPS00	con
dos	dos	Z	2
hijas	hijas	NCFP000	hijo
y	y	CC	y
un	un	DI0MS0	uno
hijo	hijo	NCMS000	hijo
	,	Fc	,
adonde	adonde	PA000000	adonde
estamos	estamos	VMIP1P0	estar
todos	todos	PI0MP000	todo
de	de	SPS00	de
presente	presente	NCMS000	presente
en	en	SPS00	en
esta	esta	DD0FS0	este
casa	casa	NCFS000	casa
de	de	SPS00	de
la	la	DA0FS0	el
penitencia	penitencia	NCFS000	penitencia
pasando	pasando	VMG0000	pasar
mucha	mucha	DI0FS0	mucho
y	y	CC	y
estrema	extrema	AQ0FS0	extremo
nessd	necesidad	NCFS000	necesidad
y	y	CC	y
sin	sin	SPS00	sin
remedio	remedio	NCMS000	remedio
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
le	le	PP3CSD00	le
supplicamos	suplicamos	VMIP1P0	suplicar
se	se	P00CN000	se
duela	duela	VMSP0S0	doler
de	de	SPS00	de
nros	nuestros	DP1MPP	nuestro
travajos	trabajos	NCMP000	trabajo
y	y	CC	y
se	se	P00CN000	se
sirva	sirva	VMSP0S0	servir
de	de	SPS00	de
socorrernos	socorrernos	VMN0000+PP1CP000	socorrer+nos
con	con	SPS00	con
la	la	DA0FS0	el
limosna	limosna	NCFS000	limosna
que	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
servido	servido	VMP00SM	servir
	,	Fc	,
que	que	CS	que
p	por	SPS00	por
dios	Dios	NP00000	dios
y	y	CC	y
su	Su	DP3CS0	su
vendita	Bendita	AQ0FSP	bendito
madre	Madre	NP00000	madre
le	le	PP3CSD00	le
pedimos	pedimos	VMIP1P0	pedir
ayuda	ayuda	NCFS000	ayuda
de	de	SPS00	de
pasar	pasar	VMN0000	pasar
esta	esta	DD0FS0	este
triste	triste	AQ0CS0	triste
prision	prisión	NCFS000	prisión
	.	Fp	.
y	Y	CC	y
si	si	CS	si
Vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
hiziere	hiciere	VMSF0S0	hacer
lo	lo	PP3CNA00	lo
podra	podrá	VMIF3S0	poder
entregar	entregar	VMN0000	entregar
en	en	SPS00	en
esa	esa	DD0FS0	ese
corte	corte	NCFS000	corte
al	al	SPS00+DA0MS0	a+el
Sr	señor	NP00000	señor
Mig	Miguel	NP00000	miguel
Amero	Amero	NP00000	amero
	,	Fc	,
que	que	PR0CN000	que
bive	vive	VMIP3S0	vivir
en	en	SPS00	en
la	la	DA0FS0	el
calle	calle	NCFS000	calle
de	de	SPS00	de
San	San	NP00000	san
Bernardo	Bernardo	NP00000	bernardo
	—	Fg	—
la	la	DA0FS0	el
angosta	angosta	AQ0FS0	angosto
	—	Fg	—
o	o	CC	o
de	de	SPS00	de
la	la	DA0FS0	el
manera	manera	NCFS000	manera
que	que	PR0CN000	que
Vm	VM	NP00000	VM
fuere	fuere	VSSF0S0	ser
servido	servido	VMP00SM	servir
	.	Fp	.
y	Y	CC	y
confiadas	confiadas	VMP00PF	confiar
que	que	CS	que
Vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
le	le	PP3CSD00	le
suplicamos	suplicamos	VMIP1P0	suplicar
nos	nos	PP1CP000	nos
perdone	perdone	VMSP0S0	perdonar
este	este	DD0MS0	este
atrevimto	atrevimiento	NCMS000	atrevimiento
	,	Fc	,
a	a	SPS00	a
qn	quien	PR0CS000	quien
gd	guarde	VMSP0S0	guardar
dios	Dios	NP00000	dios
como	como	CS	como
deseamos	deseamos	VMIP1P0	desear
	.	Fp	.
To	Toledo	NP00000	toledo
	,	Fc	,
y	y	CC	y
enero	enero	NCMS000	enero
11	11	Z	11
de	de	SPS00	de
1658	1658	Z	1658
	.	Fp	.
Da	Doña	NP00000	don
Maria	María	NP00000	maría
de	de	SPS00	de
Fonseca	Fonseca	NP00000	fonseca
y	y	CC	y
Da	doña	NP00000	don
Felipa	Felipa	NP00000	felipa
de	de	SPS00	de
Fonseca	Fonseca	NP00000	fonseca
Sor	Señor	NP00000	señor
Bernardo	Bernardo	NP00000	bernardo
lopez	López	NP00000	lópez
portelo	Portelo	NP00000	portelo
	.	Fp	.
