Abe	Ave	I	ave
maria	María	NP00000	maría
	.	Fp	.
jesus	Jesús	NP00000	jesús
	,	Fc	,
maria	María	NP00000	maría
y	y	CC	y
josef	José	NP00000	josé
sea	sea	VSSP0S0	ser
en	en	SPS00	en
tu	tu	DP2CSS	tu
alma	alma	NCFS000	alma
y	y	CC	y
te	te	PP2CS000	te
fortalesca	fortalezca	VMSP0S0	fortalecer
y	y	CC	y
consuele	consuele	VMSP0S0	consolar
en	en	SPS00	en
los	los	DA0MP0	el
trabajos	trabajos	NCMP000	trabajo
	.	Fp	.
a	A	SPS00	a
mi	mi	DP1CSS	mi
notisia	noticia	NCFS000	noticia
llego	llegó	VMIS3S0	llegar
el	el	DA0MS0	el
dia	Día	NP00000	día
de	de	SPS00	de
santo	Santo	NP00000	santo
	,	Fc	,
qu	que	CS	que
el	el	DA0MS0	el
dia	día	NCMS000	día
antes	antes	RG	antes
por	por	SPS00	por
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
ybas	ibas	VMII2S0	ir
a	a	SPS00	a
esperar	esperar	VMN0000	esperar
un	un	DI0MS0	uno
coche	coche	NCMS000	coche
para	para	SPS00	para
yr	ir	VMN0000	ir
a	a	SPS00	a
toledo	Toledo	NP00000	toledo
	,	Fc	,
enbiando	enviando	VMG0000	enviar
yo	yo	PP1CSN00	yo
por	por	SPS00	por
mi	mi	DP1CSS	mi
manto	manto	NCMS000	manto
si	si	CS	si
estaba	estaba	VMII0S0	estar
adreçado	aderezado	VMP00SM	aderezar
	.	Fp	.
dijeron	Dijeron	VMIS3P0	decir
q	que	CS	que
ya	ya	RG	ya
no	no	RN	no
estaba	estaba	VMII0S0	estar
alli	allí	RG	allí
quien	quien	PR0CS000	quien
bibia	vivía	VMII0S0	vivir
en	en	SPS00	en
aquella	aquella	DD0FS0	aquel
casa	casa	NCFS000	casa
	.	Fp	.
quede	Quedé	VMIS1S0	quedar
con	con	SPS00	con
grande	grande	AQ0CS0	grande
confusion	confusión	NCFS000	confusión
asta	hasta	SPS00	hasta
que	que	CS	que
ya	ya	RG	ya
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
una	una	DI0FS0	uno
persona	persona	NCFS000	persona
la	la	DA0FS0	el
causa	causa	NCFS000	causa
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
al	al	SPS00+DA0MS0	a+el
poco	poco	DI0MS0	poco
apercibimiento	apercibimiento	NCMS000	apercibimiento
de	de	SPS00	de
rropa	ropa	NCFS000	ropa
que	que	PR0CN000	que
podias	podías	VMII2S0	poder
llebar	llevar	VMN0000	llevar
	,	Fc	,
t	te	PP2CS000	te
envio	envío	VMIP1S0	enviar
esas	esas	DD0FP0	ese
enaguas	enaguas	NCFP000	enagua
y	y	CC	y
camisa	camisa	NCFS000	camisa
para	para	SPS00	para
que	que	CS	que
te	te	PP2CS000	te
mudes	mudes	VMSP2S0	mudar
	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
pido	pido	VMIP1S0	pedir
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
que	que	CS	que
perdones	perdones	VMSP2S0	perdonar
a	a	SPS00	a
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
personas	personas	NCFP000	persona
que	que	PR0CN000	que
ubieren	hubieren	VASF3P0	haber
dicho	dicho	VMP0000	decir
o	o	CC	o
echo	hecho	VMP0000	hacer
contra	contra	SPS00	contra
ti	ti	PP2CSO00	ti
	,	Fc	,
para	para	SPS00	para
que	que	CS	que
con	con	SPS00	con
eso	eso	PD0NN000	eso
permita	permita	VMSP0S0	permitir
dios	Dios	NP00000	dios
se	se	P00CN000	se
alhare	hallare	VMSF0S0	hallar
la	la	DA0FS0	el
berdad	verdad	NCFS000	verdad
	.	Fp	.
en	En	SPS00	en
todo	todo	DI0MS0	todo
tienpo	tiempo	NCMS000	tiempo
sentire	sentiré	VMIF1S0	sentir
que	que	CS	que
sea	sea	VSSP0S0	ser
dios	Dios	NP00000	dios
ofendido	ofendido	VMP00SM	ofender
	.	Fp	.
su	Su	DP3CS0	su
majestad	Majestad	NP00000	majestad
te	te	PP2CS000	te
de	dé	VMSP0S0	dar
berdadero	verdadero	AQ0MS0	verdadero
conocimiento	conocimiento	NCMS000	conocimiento
y	y	CC	y
dolor	dolor	NCMS000	dolor
de	de	SPS00	de
aberle	haberle	VAN0000+PP3CSA00	haber+le
ofendido	ofendido	VMP0000	ofender
	,	Fc	,
q	que	CS	que
por	por	SPS00	por
cualquiera	cualquiera	DI0CS0	cualquiera
pecado	pecado	NCMS000	pecado
mortal	mortal	AQ0CS0	mortal
merecemos	merecemos	VMIP1P0	merecer
los	los	DA0MP0	el
ynfiernos	infiernos	NCMP000	infierno
	.	Fp	.
yo	Yo	PP1CSN00	yo
tengo	tengo	VMIP1S0	tener
arto	harto	RG	harto
qu	que	CS	que
es	es	VSIP3S0	ser
ofrecer	ofrecer	VMN0000	ofrecer
a	a	SPS00	a
dios	Dios	NP00000	dios
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
su	su	DP3CS0	su
grande	grande	AQ0CS0	grande
misericordia	misericordia	NCFS000	misericordia
fio	fío	VMIP1S0	fiar
que	que	CS	que
si	si	CS	si
es	es	VSIP3S0	ser
testimonio	testimonio	NCMS000	testimonio
te	te	PP2CS000	te
sacara	sacará	VMIF3S0	sacar
libre	libre	AQ0CS0	libre
	.	Fp	.
toda	Toda	DI0FS0	todo
la	la	DA0FS0	el
beatisima	Beatísima	AQSFS0	beato
trinidad	Trinidad	NP00000	trinidad
sea	sea	VSSP0S0	ser
contigo	contigo	SPS00+PP2CSO00	con+ti
y	y	CC	y
te	te	PP2CS000	te
de	dé	VMSP0S0	dar
gracia	gracia	NCFS000	gracia
para	para	SPS00	para
que	que	CS	que
enplees	emplees	VMSP2S0	emplear
todas	todas	DI0FP0	todo
tus	tus	DP2CPS	tu
afetos	afectos	NCMP000	afecto
en	en	SPS00	en
tu	tu	DP2CSS	tu
