madre	Madre	NP00000	madre
de	de	SPS00	de
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
y	y	CC	y
bida	vida	NCFS000	vida
	.	Fp	.
nuestro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
te	te	PP2CS000	te
de	dé	VMSP0S0	dar
alegres	alegres	AQ0CP0	alegre
y	y	CC	y
felices	felices	AQ0CP0	feliz
pasquas	Pascuas	NP00000	pascuas
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
las	las	PP3FPA00	lo
puedo	puedo	VMIP1S0	poder
tener	tener	VMN0000	tener
buenas	buenas	AQ0FP0	bueno
faltandome	faltándome	VMG0000+PP1CS000	faltar+me
tu	tú	PP2CSN00	tú
	,	Fc	,
dueño	dueño	NCMS000	dueño
de	de	SPS00	de
mi	mi	DP1CSS	mi
bida	vida	NCFS000	vida
y	y	CC	y
alma	alma	NCFS000	alma
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
mas	más	RC	más
a	a	SPS00	a
mas	más	RC	más
quedo	quedo	VMIP1S0	quedar
con	con	SPS00	con
un	un	DI0MS0	uno
balien	valiente	AQ0CS0	valiente
catarro	catarro	NCMS000	catarro
	,	Fc	,
mas	mas	CC	mas
quiriendo	queriendo	VMG0000	querer
dios	Dios	NP00000	dios
no	no	RN	no
sera	será	VSIF3S0	ser
na	nada	PI0NN00N	nada
	,	Fc	,
que	que	CS	que
con	con	SPS00	con
que	que	CS	que
se	se	P00CN000	se
açerca	acerca	VMIP3S0	acercar
el	el	DA0MS0	el
plaço	plazo	NCMS000	plazo
de	de	SPS00	de
mi	mi	DP1CSS	mi
yda	ida	NCFS000	ida
me	me	PP1CS000	me
siento	siento	VMIP1S0	sentir
mas	más	RC	más
alibiado	aliviado	VMP00SM	aliviar
	.	Fp	.
ya	Ya	RG	ya
sera	será	VSIF3S0	ser
presto	presto	RG	presto
	,	Fc	,
quiriendo	queriendo	VMG0000	querer
dios	Dios	NP00000	dios
	,	Fc	,
y	y	CC	y
asi	así	RG	así
me	me	PP1CS000	me
podras	podrás	VMIF2S0	poder
enbiar	enviar	VMN0000	enviar
a	a	SPS00	a
deçir	decir	VMN0000	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
quires	quieres	VMIP2S0	querer
que	que	CS	que
llebe	lleve	VMSP0S0	llevar
	,	Fc	,
que	que	CS	que
io	yo	PP1CSN00	yo
llebare	llevaré	VMIF1S0	llevar
.	.	Fp	.
e	He	VAIP1S0	haber
sentido	sentido	VMP0000	sentir
mucho	mucho	RQ	mucho
que	que	CS	que
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
doña	doña	NP00000	don
maria	María	NP00000	maría
y	y	CC	y
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
doña	doña	NP00000	don
francisca	Francisca	NP00000	francisca
no	no	RN	no
goçen	gocen	VMSP3P0	gozar
de	de	SPS00	de
entera	entera	AQ0FS0	entero
salud	salud	NCFS000	salud
	.	Fp	.
Dios	Dios	NP00000	dios
se	se	PP3CN000	se
la	la	PP3FSA00	lo
de	dé	VMSP0S0	dar
como	como	CS	como
puede	puede	VMIP3S0	poder
y	y	CC	y
este	este	DD0MS0	este
su	su	DP3CS0	su
serbidor	servidor	NCMS000	servidor
desea	desea	VMIP3S0	desear
	,	Fc	,
que	que	CS	que
anque	aunque	CS	aunque
pecador	pecador	NCMS000	pecador
lo	lo	PP3CNA00	lo
encomiendo	encomiendo	VMIP1S0	encomendar
muy	muy	RQ	muy
de	de	SPS00	de
beras	veras	NCFP000	vera
a	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
y	y	CC	y
nuestra	Nuestra	DP1FSP	nuestro
señora	Señora	NP00000	señor
	.	Fp	.
y	Y	CC	y
podran	podrán	VMIF3P0	poder
sus	sus	DP3CP0	su
merçeds	mercedes	NCFP000	merced
estar	estar	VMN0000	estar
entendidas	entendidas	NCFP000	entendido
de	de	SPS00	de
que	que	CS	que
se	se	PP3CN000	se
la	la	PP3FSA00	lo
deseo	deseo	VMIP1S0	desear
tanto	tanto	RC	tanto
como	como	CS	como
te	te	PP2CS000	te
nubla	nubla	VMIP3S0	nublar
y	y	CC	y
que	que	CS	que
	,	Fc	,
quiriendo	queriendo	VMG0000	querer
dios	Dios	NP00000	dios
	,	Fc	,
estare	estaré	VMIF1S0	estar
muy	muy	RQ	muy
brebemente	brevemente	RG	brevemente
a	a	SPS00	a
bellas	verlas	VMN0000+PP3FPA00	ver+lo
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
el	el	DA0MS0	el
ynter	inter	AQ0CN0	inter
me	me	PP1CS000	me
podran	podrán	VMIF3P0	poder
mandar	mandar	VMN0000	mandar
alguna	alguna	DI0FS0	alguno
cosa	cosa	NCFS000	cosa
q	que	CS	que
en	en	SPS00	en
esta	esta	DD0FS0	este
ciudad	ciudad	NCFS000	ciudad
se	se	P00CN000	se
les	les	PP3CPD00	le
ofresca	ofrezca	VMSP0S0	ofrecer
.	.	Fp	.
a	A	SPS00	a
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
doña	doña	NP00000	don
maria	María	NP00000	maría
herrera	Herrera	NP00000	herrera
beso	beso	VMIP1S0	besar
su	su	DP3CS0	su
mano	mano	NCFS000	mano
y	y	CC	y
q	que	CS	que
	,	Fc	,
como	como	CS	como
e	he	VAIP1S0	haber
dho	dicho	VMP0000	decir
	,	Fc	,
estare	estaré	VMIF1S0	estar
presto	presto	RG	presto
con	con	SPS00	con
su	su	DP3CS0	su
merçed	merced	NCFS000	merced
a	a	SPS00	a
baylar	bailar	VMN0000	bailar
el	el	DA0MS0	el
çaranmeque	zaranbeque	NCMS000	zaranbeque
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
su	su	DP3CS0	su
merçed	merced	NCFS000	merced
me	me	PP1CS000	me
quisire	quisiere	VMSF0S0	querer
mandar	mandar	VMN0000	mandar
	,	Fc	,
que	que	CS	que
sienpre	siempre	RG	siempre
me	me	PP1CS000	me
terna	tendrá	VMIF3S0	tener
a	a	SPS00	a
su	su	DP3CS0	su
horden	oden	NCFS000	oden
y	y	CC	y
serbiçio	servicio	NCMS000	servicio
	.	Fp	.
y	Y	CC	y
el	él	PP3MS000	él
entretanto	entretanto	NCMS000	entretanto
tenga	tenga	VMSP0S0	tener
feliçes	felices	AQ0CP0	feliz
y	y	CC	y
alegres	alegres	AQ0CP0	alegre
pasquas	Pascuas	NP00000	pascuas
	,	Fc	,
y	y	CC	y
todos	todos	DI0MP0	todo
las	las	PP3FPA00	lo
tengan	tengan	VMSP3P0	tener
	.	Fp	.
y	Y	CC	y
tu	tú	PP2CSN00	tú
	,	Fc	,
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
y	y	CC	y
bida	vida	NCFS000	vida
	,	Fc	,
mucha	mucha	DI0FS0	mucho
salud	salud	NCFS000	salud
que	que	PR0CN000	que
dios	Dios	NP00000	dios
te	te	PP2CS000	te
de	dé	VMSP0S0	dar
como	como	CS	como
puede	puede	VMIP3S0	poder
y	y	CC	y
este	este	DD0MS0	este
tu	tu	DP2CSS	tu
berdadero	verdadero	AQ0MS0	verdadero
yjo	hijo	NCMS000	hijo
desea	desea	VMIP3S0	desear
y	y	CC	y
a	ha	VMIP3S0	haber
menester	menester	NCMS000	menester
	.	Fp	.
y	Y	CC	y
porque	porque	CS	porque
no	no	RN	no
te	te	PP2CS000	te
quiro	quiero	VMIP1S0	querer
cansar	cansar	VMN0000	cansar
no	no	RN	no
soy	soy	VSIP1S0	ser
mas	más	RC	más
largo	largo	RG	largo
	,	Fc	,
y	y	CC	y
porque	porque	CS	porque
estaremos	estaremos	VMIF1P0	estar
presto	presto	RG	presto
juntos	juntos	AQ0MP0	junto
	.	Fp	.
tanbien	También	RG	también
a	a	SPS00	a
tu	tu	DP2CSS	tu
padre	padre	NCMS000	padre
e	he	VAIP1S0	haber
scrito	escrito	VMP0000	escribir
dos	dos	Z	2
cartas	cartas	NCFP000	carta
y	y	CC	y
no	no	RN	no
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
de	de	SPS00	de
ninguna	ninguna	DI0FS0	ninguno
repuesta	respuesta	NCFS000	respuesta
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
que	qué	PT0CN000	qué
sea	sea	VSSP0S0	ser
la	la	DA0FS0	el
causa	causa	NCFS000	causa
sino	sino	CC	sino
en	en	SPS00	en
que	que	CS	que
este	esté	VMSP0S0	estar
enogado	enojado	VMP00SM	enojar
conmigo	conmigo	SPS00+PP1CSO00	con+mí
	.	Fp	.
abisame	Avísame	VMM02S0+PP1CS000	avisar+me
de	de	SPS00	de
todo	todo	PI0MS000	todo
q	que	CS	que
lo	lo	PP3CNA00	lo
siento	siento	VMIP1S0	sentir
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
y	y	CC	y
que	que	CS	que
yre	iré	VMIF1S0	ir
presto	presto	RG	presto
a	a	SPS00	a
que	que	CS	que
nos	nos	PP1CP000	nos
goçemos	gocemos	VMSP1P0	gozar
	,	Fc	,
a	a	SPS00	a
dios	Dios	NP00000	dios
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
y	y	CC	y
bida	vida	NCFS000	vida
que	que	PR0CN000	que
te	te	PP2CS000	te
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
como	como	CS	como
deseo	deseo	VMIP1S0	desear
y	y	CC	y
e	he	VMIP1S0	haber
menester	menester	NCMS000	menester
	.	Fp	.
d	De	SPS00	de
esta	esta	DD0FS0	este
tu	tu	DP2CSS	tu
casa	casa	NCFS000	casa
	,	Fc	,
oy	hoy	RG	hoy
