Charissma	Carísima	AQSFS0	caro
no	No	RN	no
acavo	acabo	VMIP1S0	acabar
de	de	SPS00	de
entender	entender	VMN0000	entender
sus	sus	DP3CP0	su
cosas	cosas	NCFP000	cosa
.	.	Fp	.
Yo	Yo	PP1CSN00	yo
no	no	RN	no
te	te	PP2CS000	te
mortifico	mortifico	VMIP1S0	mortificar
en	en	SPS00	en
cosa	cosa	NCFS000	cosa
poca	poca	DI0FS0	poco
ni	ni	CC	ni
mucha	mucha	DI0FS0	mucho
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
te	te	PP2CS000	te
enseño	enseño	VMIP1S0	enseñar
y	y	CC	y
abiso	aviso	VMIP1S0	avisar
los	los	DA0MP0	el
peligros	peligros	NCMP000	peligro
de	de	SPS00	de
la	la	DA0FS0	el
vida	vida	NCFS000	vida
spirl	espiritual	AQ0CS0	espiritual
	.	Fp	.
tu	Tú	PP2CSN00	tú
ya	ya	RG	ya
no	no	RN	no
quieres	quieres	VMIP2S0	querer
salir	salir	VMN0000	salir
a	a	SPS00	a
mi	mí	PP1CSO00	mí
o	o	CC	o
no	no	RN	no
te	te	PP2CS000	te
dejan	dejan	VMIP3P0	dejar
	,	Fc	,
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
es	es	VSIP3S0	ser
desagradable	desagradable	AQ0CS0	desagradable
a	a	SPS00	a
Dios	Dios	NP00000	dios
tanto	tanto	RC	tanto
quanto	cuanto	PA000000	cuanto
no	no	RN	no
te	te	PP2CS000	te
puedo	puedo	VMIP1S0	poder
decir	decir	VMN0000	decir
	.	Fp	.
ya	Ya	RG	ya
abras	habrás	VAIF2S0	haber
bisto	visto	VMP0000	ver
por	por	SPS00	por
ese	ese	DD0MS0	ese
lienzo	lienzo	NCMS000	lienzo
que	que	CS	que
es	es	VSIP3S0	ser
charidad	caridad	NCFS000	caridad
lo	lo	DA0NS0	el
que	que	PR0CN000	que
obro	obro	VMIP1S0	obrar
contigo	contigo	SPS00+PP2CSO00	con+ti
.	.	Fp	.
dos	Dos	Z	2
spiritus	espíritus	NCMP000	espíritu
	,	Fc	,
uno	uno	Z	1
que	que	PR0CN000	que
haze	hace	VMIP3S0	hacer
tu	tu	DP2CSS	tu
bien	bien	NCMS000	bien
y	y	CC	y
otro	otro	PI0MS000	otro
que	que	PR0CN000	que
trae	trae	VMIP3S0	traer
daño	daño	NCMS000	daño
spiritual	espiritual	AQ0CS0	espiritual
	,	Fc	,
te	te	PP2CS000	te
haran	harán	VMIF3P0	hacer
mucha	mucha	DI0FS0	mucho
guerra	guerra	NCFS000	guerra
y	y	CC	y
te	te	PP2CS000	te
la	la	PP3FSA00	lo
hacen	hacen	VMIP3P0	hacer
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
sales	sales	VMIP2S0	salir
al	al	SPS00+DA0MS0	a+el
que	que	PR0CN000	que
te	te	PP2CS000	te
hace	hace	VMIP3S0	hacer
el	el	DA0MS0	el
bien	bien	NCMS000	bien
	,	Fc	,
mira	mira	VMM02S0	mirar
qual	cuál	PT0CS000	cuál
te	te	PP2CS000	te
pondre	pondré	VMIF1S0	poner
	:	Fd	:
el	el	DA0MS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
cause	cause	VMSP0S0	causar
el	el	DA0MS0	el
daño	daño	NCMS000	daño
.	.	Fp	.
muy	Muy	RQ	muy
falta	falta	NCFS000	falta
te	te	PP2CS000	te
beo	veo	VMIP1S0	ver
en	en	SPS00	en
la	la	DA0FS0	el
obediencia	obediencia	NCFS000	obediencia
Y	y	CC	y
en	en	SPS00	en
la	la	DA0FS0	el
humildad	humildad	NCFS000	humildad
	.	Fp	.
teme	Teme	VMM02S0	temer
a	a	SPS00	a
Dios	Dios	NP00000	dios
con	con	SPS00	con
amor	amor	NCMS000	amor
y	y	CC	y
obedezeme	obedéceme	VMM02S0+PP1CS000	obedecer+me
y	y	CC	y
te	te	PP2CS000	te
ira	irá	VMIF3S0	ir
bien	bien	RG	bien
