Jhs	JHS	NP00000	jhs
Ma	María	NP00000	maría
Sra	Señora	NP00000	señor
mia	mía	DP1FSS	mío
	.	Fp	.
hallandome	Hallándome	VMG0000+PP1CS000	hallar+me
tan	tan	RC	tan
à	a	SPS00	a
los	los	DA0MP0	el
principios	principios	NCMP000	principio
de	de	SPS00	de
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
exerçicios	ejercicios	NCMP000	ejercicio
de	de	SPS00	de
virtudes	virtudes	NCFP000	virtud
que	que	CS	que
aun	aún	RG	aun
no	no	RN	no
è	he	VAIP1S0	haber
entrado	entrado	VMP0000	entrar
en	en	SPS00	en
la	la	DA0FS0	el
casa	casa	NCFS000	casa
de	de	SPS00	de
la	la	DA0FS0	el
humildad	humildad	NCFS000	humildad
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
digo	digo	VMIP1S0	decir
si	si	CSI	si
no	no	RN	no
me	me	PP1CS000	me
es	es	VSIP3S0	ser
de	de	SPS00	de
daño	daño	NCMS000	daño
,	,	Fc	,
pues	pues	CS	pues
ni	ni	CC	ni
me	me	PP1CS000	me
conozco	conozco	VMIP1S0	conocer
ni	ni	CC	ni
deseo	deseo	NCMS000	deseo
me	me	PP1CS000	me
conozcan	conozcan	VMSP3P0	conocer
	,	Fc	,
que	que	CS	que
no	no	RN	no
soy	soy	VSIP1S0	ser
el	el	DA0MS0	el
que	que	PR0CN000	que
piensan	piensan	VMIP3P0	pensar
	.	Fp	.
ni	Ni	CC	ni
me	me	PP1CS000	me
despreçio	desprecio	VMIP1S0	despreciar
ni	ni	CC	ni
deseo	deseo	NCMS000	deseo
me	me	PP1CS000	me
despreçien	desprecien	VMSP3P0	despreciar
	;	Fx	;
antes	antes	RG	antes
me	me	PP1CS000	me
hallo	hallo	VMIP1S0	hallar
bien	bien	RG	bien
con	con	SPS00	con
las	las	DA0FP0	el
estimaziones	estimaciones	NCFP000	estimación
y	y	CC	y
me	me	PP1CS000	me
huelgo	huelgo	VMIP1S0	holgar
de	de	SPS00	de
que	que	CS	que
sepan	sepan	VMSP3P0	saber
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	.	Fp	.
me	Me	PP1CS000	me
siento	siento	VMIP1S0	sentir
à	a	SPS00	a
la	la	DA0FS0	el
mesa	mesa	NCFS000	mesa
de	de	SPS00	de
los	los	DA0MP0	el
grandes	grandes	AQ0CP0	grande
señores	señores	NCMP000	señor
quando	cuando	PA000000	cuando
debiera	debiera	VMSI0S0	deber
comer	comer	VMN0000	comer
en	en	SPS00	en
el	el	DA0MS0	el
suelo	suelo	NCMS000	suelo
junto	junto	RG	junto
al	al	SPS00+DA0MS0	a+el
estropajo	estropajo	NCMS000	estropajo
	,	Fc	,
si	si	CS	si
yo	yo	PP1CSN00	yo
fuera	fuera	VSSI0S0	ser
quien	quien	PR0CS000	quien
habia	había	VMII0S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
,	.	Fp	.
ni	Ni	CC	ni
busco	busco	NCMS000	busco
el	el	DA0MS0	el
despreçio	desprecio	NCMS000	desprecio
	,	Fc	,
ni	ni	CC	ni
le	le	PP3CSD00	le
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
amigo	amigo	NP00000	amigo
	,	Fc	,
ni	ni	CC	ni
amo	amo	NCMS000	amo
a	a	SPS00	a
quien	quien	PR0CS000	quien
me	me	PP1CS000	me
despreçia	desprecia	VMIP3S0	despreciar
	,	Fc	,
ni	ni	CC	ni
abenturo	aventuro	VMIP1S0	aventurar
mi	mi	DP1CSS	mi
anima	ánima	NCFS000	ánima
por	por	SPS00	por
quien	quien	PR0CS000	quien
me	me	PP1CS000	me
paga	paga	VMIP3S0	pagar
el	el	DA0MS0	el
bien	bien	NCMS000	bien
que	que	PR0CN000	que
le	le	PP3CSD00	le
hago	hago	VMIP1S0	hacer
con	con	SPS00	con
mal	mal	NCMS000	mal
en	en	SPS00	en
orden	orden	NCMS000	orden
a	a	SPS00	a
su	su	DP3CS0	su
salbazion	salvación	NCFS000	salvación
	,	Fc	,
de	de	SPS00	de
que	que	CS	que
se	se	P00CN000	se
biene	viene	VMIP3S0	venir
à	a	SPS00	a
los	los	DA0MP0	el
ojos	ojos	NCMP000	ojo
quan	cuán	RG	cuán
falso	falso	RG	falso
estoy	estoy	VMIP1S0	estar
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
bueno	bueno	AQ0MS0	bueno
	—	Fg	—
pues	pues	CS	pues
no	no	RN	no
e	he	VAIP1S0	haber
comenzado	comenzado	VMP0000	comenzar
a	a	SPS00	a
dar	dar	VMN0000	dar
exemplo	ejemplo	NCMS000	ejemplo
	—	Fg	—
y	y	CC	y
quan	cuán	RG	cuán
ruin	ruin	AQ0CS0	ruin
soy	soy	VSIP1S0	ser
	—	Fg	—
pues	pues	CS	pues
me	me	PP1CS000	me
meto	meto	VMIP1S0	meter
a	a	SPS00	a
alentar	alentar	VMN0000	alentar
a	a	SPS00	a
las	las	DA0FP0	el
almas	almas	NCFP000	alma
pa	para	SPS00	para
que	que	CS	que
sirban	sirvan	VMSP3P0	servir
à	a	SPS00	a
Dios	Dios	NP00000	dios
	,	Fc	,
y	y	CC	y
a	a	SPS00	a
darles	darles	VMN0000+PP3CPD00	dar+le
consejo	consejo	NCMS000	consejo
	,	Fc	,
y	y	CC	y
a	a	SPS00	a
obrar	obrar	VMN0000	obrar
otras	otras	DI0FP0	otro
cosas	cosas	NCFP000	cosa
que	que	CS	que
en	en	SPS00	en
