Jueves	Jueves	NCMN000	jueves
	,	Fc	,
a	a	SPS00	a
beinteihuno	veintiuno	NCMS000	veintiuno
de	de	SPS00	de
ogtubre	octubre	NCMS000	octubre
	,	Fc	,
llege	llegué	VMIS1S0	llegar
a	a	SPS00	a
esta	esta	DD0FS0	este
cassa	casa	NCFS000	casa
	.	Fp	.
i	Y	CC	y
el	el	DA0MS0	el
no	no	RN	no
aber	haber	VAN0000	haber
llegado	llegado	VMP0000	llegar
antes	antes	RG	antes
fue	fue	VMIS3S0	ir
por	por	SPS00	por
haber	haber	VAN0000	haber
estado	estado	VMP0000	estar
detenido	detenido	VMP0000	detener
dos	dos	Z	2
dias	días	NCMP000	día
i	y	CC	y
medio	medio	NCMS000	medio
en	en	SPS00	en
huna	una	DI0FS0	uno
ciudad	ciudad	NCFS000	ciudad
que	que	PR0CN000	que
llaman	llaman	VMIP3P0	llamar
horense	Orense	NP00000	orense
para	para	SPS00	para
buscar	buscar	VMN0000	buscar
en	en	SPS00	en
que	qué	PT0CN000	qué
benir	venir	VMN0000	venir
dende	dende	SPS00	dende
alli	allí	RG	allí
a	a	SPS00	a
Zelanoba	Celanova	NP00000	celanova
	,	Fc	,
porque	porque	CS	porque
en	en	SPS00	en
orense	Orense	NP00000	orense
entrege	entregué	VMIS1S0	entregar
la	la	DA0FS0	el
Mula	mula	NCFS000	mulo
a	a	SPS00	a
los	los	DA0MP0	el
mozos	mozos	NCMP000	mozo
que	que	PR0CN000	que
bolbian	volvían	VMII3P0	volver
las	las	DA0FP0	el
Mulas	mulas	NCFP000	mulo
de	de	SPS00	de
San	San	NP00000	san
Millan	Millán	NP00000	millán
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
quisieron	quisieron	VMIS3P0	querer
pasar	pasar	VMN0000	pasar
conmigo	conmigo	SPS00+PP1CSO00	con+mí
a	a	SPS00	a
zelanoba	Celanova	NP00000	celanova
	.	Fp	.
luego	Luego	RG	luego
que	que	CS	que
llege	llegué	VMIS1S0	llegar
di	di	VMIS1S0	dar
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
a	a	SPS00	a
Nuestro	nuestro	DP1MSP	nuestro
P	padre	NP00000	padre
abad	abad	NP00000	abad
	,	Fc	,
el	el	DA0MS0	el
qual	cual	PR0CS000	cual
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
i	y	CC	y
haze	hace	VMIP3S0	hacer
mucho	mucho	DI0MS0	mucho
agasajo	agasajo	NCMS000	agasajo
	,	Fc	,
Juntamente	juntamente	RG	juntamente
con	con	SPS00	con
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
Mo	maestro	NCMS000	maestro
de	de	SPS00	de
nobizios	novicios	NCMP000	novicio
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
Religioso	religioso	NCMS000	religioso
mui	muy	RQ	muy
obserbante	observante	RG	observante
i	y	CC	y
birtuoso	virtuoso	AQ0MS0	virtuoso
,	.	Fc	,
biernes	Viernes	NCMN000	viernes
sigiente	siguiente	AQ0CS0	siguiente
me	me	PP1CS000	me
exsaminaron	examinaron	VMIS3P0	examinar
i	y	CC	y
me	me	PP1CS000	me
entraron	entraron	VMIS3P0	entrar
en	en	SPS00	en
el	el	DA0MS0	el
Nobiziado	noviciado	NCMS000	noviciado
	,	Fc	,
mas	mas	CC	mas
asta	hasta	SPS00	hasta
haora	ahora	RG	ahora
no	no	RN	no
nos	nos	PP1CP000	nos
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
el	el	DA0MS0	el
abbito	hábito	NCMS000	hábito
por	por	SPS00	por
esperar	esperar	VMN0000	esperar
a	a	SPS00	a
o-tros	otros	DI0MP0	otro
	(	Fba	(
que	que	CS	que
ia	ya	RG	ya
no	no	RN	no
pueden	pueden	VMIP3P0	poder
tardar	tardar	VMN0000	tardar
	)	Fbt	)
que	que	CS	que
tanbien	también	RG	también
an	han	VMIP3P0	haber
de	de	SPS00	de
tomar	tomar	VMN0000	tomar
el	el	DA0MS0	el
abbito	hábito	NCMS000	hábito
,	,	Fc	,
mas	mas	CC	mas
me	me	PP1CS000	me
pareze	parece	VMIP3S0	parecer
que	que	CS	que
no	no	RN	no
tardaremos	tardaremos	VMIF1P0	tardar
a	a	SPS00	a
tomarlo	tomarlo	VMN0000+PP3CNA00	tomar+lo
otros	otros	DI0MP0	otro
dos	dos	Z	2
i	y	CC	y
io	yo	PP1CSN00	yo
	,	Fc	,
que	que	CS	que
ia	ya	RG	ya
estan	están	VMIP3P0	estar
en	en	SPS00	en
casa	casa	NCFS000	casa
segun	según	SPS00	según
el	el	DA0MS0	el
animo	ánimo	NCMS000	ánimo
tiene	tiene	VMIP3S0	tener
nuestro	nuestro	DP1MSP	nuestro
Pe	padre	NP00000	padre
abbad	abad	NP00000	abad
,	.	Fp	.
La	La	DA0FS0	el
caussa	causa	NCFS000	causa
de	de	SPS00	de
no	no	RN	no
haber	haber	VAN0000	haber
escrito	escrito	VMP0000	escribir
despues	después	RG	después
que	que	CS	que
bine	vine	VMIS1S0	venir
es	es	VSIP3S0	ser
porque	porque	CS	porque
el	el	DA0MS0	el
sabbado	sábado	NCMS000	sábado
passado	pasado	VMP00SM	pasar
	,	Fc	,
quando	cuando	PA000000	cuando
quise	quise	VMIS1S0	querer
escribir	escribir	VMN0000	escribir
	,	Fc	,
me	me	PP1CS000	me
digo	dijo	VMIS3S0	decir
mi	mi	DP1CSS	mi
Maestro	maestro	NCMS000	maestro
que	que	CS	que
no	no	RN	no
tenia	tenía	VMII0S0	tener
que	que	CS	que
escribir	escribir	VMN0000	escribir
entonzes	entonces	RG	entonces
porque	porque	CS	porque
asta	hasta	SPS00	hasta
oi	hoy	RG	hoy
no	no	RN	no
habia	había	VMII0S0	haber
de	de	SPS00	de
haber	haber	VMN0000	haber
quien	quien	PR0CS000	quien
llebara	llevara	VMSI0S0	llevar
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
	.	Fp	.
i	Y	CC	y
asi	así	RG	así
por	por	SPS00	por
esso	eso	PD0NN000	eso
no	no	RN	no
he	he	VAIP1S0	haber
escrito	escrito	VMP0000	escribir
asta	hasta	SPS00	hasta
oi	hoy	RG	hoy
	.	Fp	.
io	Yo	PP1CSN00	yo
llege	llegué	VMIS1S0	llegar
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
grazias	gracias	NCFP000	gracia
	.	Fp	.
i	Y	CC	y
tambien	también	RG	también
a	a	SPS00	a
el	el	DA0MS0	el
presente	presente	NCMS000	presente
lo	lo	PP3CNA00	lo
estoi	estoy	VMIP1S0	estar
	,	Fc	,
i	y	CC	y
mui	muy	RQ	muy
gustoso	gustoso	AQ0MS0	gustoso
de	de	SPS00	de
hestar	estar	VMN0000	estar
en	en	SPS00	en
huna	una	DI0FS0	uno
cassa	casa	NCFS000	casa
tan	tan	RC	tan
santa	santa	AQ0FS0	santo
;	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
Vmd	VM	NP00000	VM
es	es	VSIP3S0	ser
que	que	CS	que
me	me	PP1CS000	me
encomiende	encomiende	VMSP0S0	encomendar
a	a	SPS00	a
Dios	Dios	NP00000	dios
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
de	dé	VMSP0S0	dar
gracia	gracia	NCFS000	gracia
para	para	SPS00	para
que	que	CS	que
le	le	PP3CSD00	le
sirba	sirva	VMSP0S0	servir
;	.	Fp	.
a	A	SPS00	a
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
Doña	doña	NP00000	don
Isabel	Isabel	NP00000	isabel
le	le	PP3CSD00	le
dara	dará	VMIF3S0	dar
Vmd	VM	NP00000	VM
muchas	muchas	DI0FP0	mucho
memorias	memorias	NCFP000	memoria
,	.	Fp	.
Dios	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
los	los	DA0MP0	el
años	años	NCMP000	año
de	de	SPS00	de
mi	mi	DP1CSS	mi
desseo	deseo	NCMS000	deseo
.	.	Fp	.
Zelanoba	Celanova	NP00000	celanova
	,	Fc	,
a	a	SPS00	a
30	30	Z	30
de	de	SPS00	de
ogtubre	octubre	NCMS000	octubre
de	de	SPS00	de
16683	1683	Z	1683
Pirmo	Primo	NCMS000	primo
de	de	SPS00	de
Vmd	VM	NP00000	VM
que	que	PR0CN000	que
su	su	DP3CS0	su
mano	mano	NCFS000	mano
Bessa	besa	VMIP3S0	besar
