Hermano	Hermano		
mio	mío		
	.		
Con	Con		
grandisimo	grandísimo		
cuidado	cuidado		
me	me		
tiene	tiene		
el	el		
que	que		
no	no		
aigas	hayas		
escrito	escrito		
	,		
abiendome	habiéndome		
dicho	dicho		
escribirias	escribirías		
de	de		
contado	contado		
como	como		
estubieras	estuvieras		
cerca	cerca		
de	de		
tu	tu		
lugar	lugar		
	;		
ya	ya		
me	me		
parece	parece		
a	ha		
mas	más		
de	de		
quince	quince		
dias	días		
i	y		
no	no		
e	he		
tenido	tenido		
letra	letra		
tuia	tuya		
	.		
y	Y		
asi	así		
	,		
por	por		
amor	amor		
de	de		
dios	Dios		
	,		
te	te		
suplico	suplico		
no	no		
dexes	dejes		
de	de		
benir	venir		
con	con		
la	la		
puntualidad	puntualidad		
posible	posible		
por	por		
sacar	sacar		
a	a		
muchos	muchos		
mentirosos	mentirosos		
	,		
porque	porque		
dicen	dicen		
que	que		
no	no		
as	has		
de	de		
bolber	volver		
	,		
de	de		
lo	lo		
cual	cual		
no	no		
tengo	tengo		
io	yo		
esas	esas		
confiancas	confianzas		
de	de		
ti	ti		
	.		
y	Y		
el	el		
dotor	doctor		
bides	Vides		
y	y		
martin	Martín		
de	de		
comas	Comas		
an	han		
benido	venido		
a	a		
casa	casa		
a	a		
llebarse	llevarse		
los	los		
trastos	trastos		
del	del		
oficio	oficio		
	,		
porque	porque		
dicen	dicen		
que	que		
no	no		
bolberas	volverás		
	.		
y	Y		
martin	Martín		
de	de		
comas	Comas		
	,		
que	que		
la	la		
escopeta	escopeta		
	(		
que	que		
no	no		
te	te		
la	la		
abias	habías		
llebado	llevado		
	)		
que	que		
trataramos	tratáramos		
de	de		
darsela	dársela		
	.		
y	Y		
asi	así		
	,		
por	por		
amor	amor		
de	de		
dios	Dios		
	,		
te	te		
suplico	suplico		
no	no		
dexes	dejes		
de	de		
benir	venir		
con	con		
la	la		
brebedad	brevedad		
posible	posible		
por	por		
sacar	sacar		
a	a		
muchos	muchos		
mentirosos	mentirosos		
y	y		
cumplir	cumplir		
tu	tú		
como	como		
ombre	hombre		
de	de		
bien	bien		
	,		
que	que		
te	te		
tengo	tengo		
por	por		
tal	tal		
	.		
y	Y		
echa	echa		
de	de		
ber	ver		
que	que		
aquello	aquello		
que	que		
estaba	estaba		
en	en		
duda	duda		
a	ha		
salido	salido		
de	de		
beras	veras		
	.		
y	Y		
aquellas	aquellas		
personas	personas		
que	que		
tu	tú		
Referias	referías		
ya	ya		
ban	van		
diciendo	diciendo		
por	por		
ese	ese		
lugar	lugar		
lo	lo		
que	que		
les	les		
parece	parece		
	.		
y	Y		
por	por		
sacar	sacar		
los	los		
mentirosos	mentirosos		
te	te		
suplico	suplico		
bengas	vengas		
con	con		
la	la		
puntualidad	puntualidad		
posible	posible		
	,		
que	que		
pues	puedes		
creer	creer		
que	que		
en	en		
quince	quince		
dias	días		
que	que		
a	ha		
que	que		
faltas	faltas		
me	me		
pareçe	parece		
a	ha		
quince	quince		
años	años		
	.		
y	Y		
si	si		
me	me		
allara	hallara		
con	con		
fuerças	fuerzas		
para	para		
poder	poder		
ir	ir		
me	me		
ubiera	hubiera		
ido	ido		
contigo	contigo		
	.		
y	Y		
mi	mi		
madre	madre		
i	y		
mi	mi		
ermano	hermano		
Juan	Juan		
y	y		
mi	mi		
padre	padre		
te	te		
lo	lo		
encargan	encargan		
mucho	mucho		
que	que		
cuanto	cuanto		
antes	antes		
sea	sea		
la	la		
benida	venida		
	,		
por	por		
no	no		
dar	dar		
que	que		
ablar	hablar		
a	a		
badaxos	badajos		
	.		
los	Los		
barberos	barberos		
que	que		
tu	tú		
encontraste	encontraste		
estuvieron	estuvieron		
en	en		
casa	casa		
y	y		
el	el		
mas	más		
pequeño	pequeño		
se	se		
acomodo	acomodó		
con	con		
antonio	Antonio		
fernandez	Fernández		
	.		
i	Y		
el	el		
dho	dicho		
lo	lo		
alle	hallé		
mitido	metido		
a	a		
nabaxas	navajas		
	.		
a	A		
ber	ver		
si	si		
se	se		
puede	puede		
acomodar	acomodar		
	.		
y	Y		
el	el		
que	que		
se	se		
a	ha		
quedado	quedado		
aqui	aquí		
tiene	tiene		
grande	grande		
gana	gana		
de	de		
que	que		
bengas	vengas		
porque	porque		
le	le		
mandes	mandes		
en	en		
que	que		
el	él		
te	te		
pueda	pueda		
serbir	servir		
	,		
que	que		
bino	vino		
mui	muy		
agradecido	agradecido		
el	el		
uno	uno		
i	y		
el	el		
otro	otro		
por	por		
aberlos	haberlos		
encaminado	encaminado		
a	a		
mi	mi		
casa	casa		
	.		
y	Y		
io	yo		
recibi	recibí		
garande	grande		
contento	contento		
por	por		
las	las		
noticias	noticias		
que	que		
me	me		
dieron	dieron		
de	de		
ti	ti		
	.		
en	En		
cuanto	cuanto		
a	a		
la	la		
casa	casa		
	,		
no	no		
dexes	dejes		
de	de		
benir	venir		
antes	antes		
de	de		
San	San		
Juan	Juan		
o	o		
	,		
si	si		
no	no		
pues	puedes		
benir	venir		
antes	antes		
	,		
me	me		
escribas	escribas		
de	de		
contado	contado		
para	para		
que	que		
no	no		
la	la		
aRienden	arrienden		
a	a		
otro	otro		
	.		
no	No		
se	se		
me	me		
ofrece	ofrece		
otra	otra		
cosa	cosa		
sino	sino		
que	que		
Recibas	recibas		
mil	mil		
Recados	recados		
de	de		
parte	parte		
de	de		
mi	mi		
madre	madre		
y	y		
mi	mi		
padre	padre		
y	y		
mis	mis		
ermanos	hermanos		
	,		
y	y		
de	de		
mi	mi		
parte	parte		
mil	mil		
abraços	abrazos		
	.		
y	Y		
adios	adiós		
asta	hasta		
la	la		
bista	vista		
	,		
que	que		
confio	confío		
en	en		
dios	Dios		
sera	será		
con	con		
brebedad	brevedad		
	.		
Utiel	Utiel		
	,		
y	y		
Junio	junio		
a	a		
11	11		
de	de		
1692	1692		
tu	Tu		
esposa	esposa		
que	que		
desea	desea		
berte	verte		
	,		
maria	María		
de	de		
moia	Moya		
