Mui	Muy	RQ	muy
Señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
de	De	SPS00	de
sumo	sumo	AQ0MS0	sumo
gusto	gusto	NCMS000	gusto
sera	será	VSIF3S0	ser
para	para	SPS00	para
mi	mí	PP1CSO00	mí
el	el	DA0MS0	el
que	que	CS	que
vmd	VM	NP00000	VM
Goçe	goce	VMSP0S0	gozar
cumplida	cumplida	VMP00SF	cumplir
salud	salud	NCFS000	salud
en	en	SPS00	en
conpañia	compañía	NCFS000	compañía
de	de	SPS00	de
hessas	esas	DD0FP0	ese
mis	mis	DP1CPS	mi
señoras	señoras	NCFP000	señor
	,	Fc	,
cuias	cuyas	PU0FP000	cuyo
manos	manos	NCFP000	mano
besso	beso	VMIP1S0	besar
:	.	Fp	.
canales	Canales	NP00000	canales
	,	Fc	,
mariquita	Mariquita	NP00000	mariquita
y	y	CC	y
io	yo	PP1CSN00	yo
nos	nos	PP1CP000	nos
quedamos	quedamos	VMIP1P0	quedar
con	con	SPS00	con
ella	ella	PP3FS000	él
para	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
vmd	VM	NP00000	VM
gustare	gustare	VMSF0S0	gustar
de	de	SPS00	de
mandarnos	mandarnos	VMN0000+PP1CP000	mandar+nos
	,	Fc	,
que	que	CS	que
lo	lo	PP3CNA00	lo
haremos	haremos	VMIF1P0	hacer
en	en	SPS00	en
entera	entera	AQ0FS0	entero
boluntad	voluntad	NCFS000	voluntad
.	.	Fp	.
el	El	DA0MS0	el
dador	dador	NCMS000	dador
d	de	SPS00	de
esta	ésta	PD0FS000	este
es	es	VSIP3S0	ser
mi	mi	DP1CSS	mi
sobrino	sobrino	NCMS000	sobrino
:	,	Fc	,
que	que	PR0CN000	que
pasa	pasa	VMIP3S0	pasar
a	a	SPS00	a
velez	Vélez	NP00000	vélez
	(	Fba	(
malaga	Málaga	NP00000	málaga
	)	Fbt	)
a	a	SPS00	a
ber	ver	VMN0000	ver
a	a	SPS00	a
un	un	DI0MS0	uno
hermano	hermano	NCMS000	hermano
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
alla	allá	RG	allá
cassado	casado	VMP00SM	casar
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
camino	camino	NCMS000	camino
a	a	SPS00	a
cunplir	cumplir	VMN0000	cumplir
una	una	DI0FS0	uno
promessa	promesa	NCFS000	promesa
que	que	PR0CN000	que
hize	hice	VMIS1S0	hacer
hecha	hecha	VMP00SF	hacer
a	a	SPS00	a
nuestra	Nuestra	DP1FSP	nuestro
sa	Señora	NP00000	señor
de	de	SPS00	de
la	la	DA0FS0	el
cabeça	Cabeza	NP00000	cabeza
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
hesso	eso	PD0NN000	eso
ba	va	VMIP3S0	ir
a	a	SPS00	a
pie	pie	NCMS000	pie
	.	Fp	.
Y	Y	CC	y
por	por	SPS00	por
esta	esta	DD0FS0	este
raçon	razón	NCFS000	razón
suplica	suplica	VMIP3S0	suplicar
a	a	SPS00	a
vmd	VM	NP00000	VM
que	que	CS	que
le	le	PP3CSA00	le
aiude	ayude	VMSP0S0	ayudar
con	con	SPS00	con
algun	algún	DI0MS0	alguno
estipendio	estipendio	NCMS000	estipendio
de	de	SPS00	de
missas	misas	NCFP000	misa
para	para	SPS00	para
que	que	CS	que
tenga	tenga	VMSP0S0	tener
pa-r	para	SPS00	para
aiuda	ayuda	NCFS000	ayuda
al	al	SPS00+DA0MS0	a+el
camino	camino	NCMS000	camino
	,	Fc	,
quedando	quedando	VMG0000	quedar
a	a	SPS00	a
la	la	DA0FS0	el
disposiçion	disposición	NCFS000	disposición
de	de	SPS00	de
vmd	VM	NP00000	VM
y	y	CC	y
aguardando	aguardando	VMG0000	aguardar
mandatos	mandatos	NCMP000	mandato
de	de	SPS00	de
hessos	esos	DD0MP0	ese
ses	señores	NCMP000	señor
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
les	les	PP3CPD00	le
dara	dará	VMIF3S0	dar
nuestras	nuestras	DP1FPP	nuestro
memorias	memorias	NCFP000	memoria
	,	Fc	,
cuia	cuya	PU0FS000	cuyo
bida	vida	NCFS000	vida
gde	guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
los	los	DA0MP0	el
años	años	NCMP000	año
de	de	SPS00	de
mi	mi	DP1CSS	mi
deseo	deseo	NCMS000	deseo
	.	Fp	.
d	De	SPS00	de
esta	esta	DD0FS0	este
propia	propia	AQ0FS0	propio
Priego	Priego	NP00000	priego
	,	Fc	,
y	y	CC	y
henero	enero	NCMS000	enero
1	1	Z	1
de	de	SPS00	de
95	95	Z	95
	.	Fp	.
serbidora	Servidora	NCFS000	servidor
de	de	SPS00	de
vmd	VM	NP00000	VM
que	que	PR0CN000	que
sus	sus	DP3CP0	su
manos	manos	NCFP000	mano
bessa	besa	VMIP3S0	besar
	,	Fc	,
Da	doña	NP00000	don
Geronima	Gerónima	NP00000	gerónima
Gallardo	Gallardo	NP00000	gallardo
y	y	CC	y
heredia	Heredia	NP00000	heredia
Sr	Señor	NP00000	señor
Don	don	NP00000	don
Joseph	Joseph	NP00000	joseph
ocaña	Ocaña	NP00000	ocaña
	.	Fp	.
