hermano	Hermano	NP00000	hermano
y	y	CC	y
marido	marido	NCMS000	marido
po	Pedro	NP00000	pedro
gõçalez	González	NP00000	gonzález
	.	Fp	.
su	Su	DP3CS0	su
carta	carta	NCFS000	carta
receby	recibí	VMIS1S0	recibir
y	y	CC	y
cõ	con	SPS00	con
ella	ella	PP3FS000	él
mucho	mucho	DI0MS0	mucho
cõtento	contento	NCMS000	contento
en	en	SPS00	en
saber	saber	VMN0000	saber
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
	.	Fp	.
dios	Dios	NP00000	dios
se	se	PP3CN000	se
la	la	PP3FSA00	lo
de	dé	VMSP0S0	dar
como	como	CS	como
puede	puede	VMIP3S0	poder
y	y	CC	y
como	como	CS	como
yo	yo	PP1CSN00	yo
se	se	PP3CN000	se
la	la	PP3FSA00	lo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
y	Y	CC	y
cierto	cierto	RG	cierto
me	me	PP1CS000	me
holgara	holgara	VMSI0S0	holgar
mas	más	RC	más
de	de	SPS00	de
le	le	PP3CSD00	le
ber	ver	VMN0000	ver
a	a	SPS00	a
el	él	PP3MS000	él
que	que	CS	que
no	no	RN	no
a	a	SPS00	a
la	la	DA0FS0	el
carta	carta	NCFS000	carta
	,	Fc	,
que	que	CS	que
cierto	cierto	RG	cierto
ya	ya	RG	ya
no	no	RN	no
esperaba	esperaba	VMII0S0	esperar
yo	yo	PP1CSN00	yo
ber	ver	VMN0000	ver
carta	carta	NCFS000	carta
sino	sino	CC	sino
de	de	SPS00	de
le	le	PP3CSD00	le
ber	ver	VMN0000	ver
a	a	SPS00	a
el	él	PP3MS000	él
	.	Fp	.
que	Que	CS	que
no	no	RN	no
fuera	fuera	RG	fuera
mucho	mucho	RQ	mucho
que	que	CS	que
se	se	P00CN000	se
biniera	viniera	VMSI0S0	venir
a	a	SPS00	a
cabo	cabo	NCMS000	cabo
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
tienpo	tiempo	NCMS000	tiempo
	.	Fp	.
poque	Porque	CS	porque
aunque	aunque	CS	aunque
no	no	RN	no
trajera	trajera	VMSI0S0	traer
mas	más	RC	más
de	de	SPS00	de
su	su	DP3CS0	su
persona	persona	NCFS000	persona
	,	Fc	,
bengase	véngase	VMSP0S0+P00CN000	venir+se
como	como	CS	como
quiera	quiera	VMSP0S0	querer
que	que	CS	que
se	se	P00CN000	se
