sr	Señor		
Paulo	Paulo		
y	y		
Jacome	Jácome		
pinto	Pinto		
	.		
serinan	Surinam		
	,		
a	a		
29	29		
de	de		
ag	agosto		
1672	1672		
En	En		
el	el		
ultimo	último		
navio	navío		
que	que		
de	de		
ay	ahí		
bino	vino		
del	del		
maestre	maestre		
piter	Pete		
Juncker	Juncker		
tube	tuve		
una	una		
brebe	breve		
de	de		
Vmd	VM		
que	que		
la	la		
estime	estimé		
por	por		
las	las		
buenas	buenas		
nuebas	nuevas		
de	de		
su	su		
salud	salud		
	,		
que	que		
sea	sea		
por	por		
muchos	muchos		
años	años		
	.		
yo	Yo		
y	y		
mi	mi		
pa	parienta		
quedamos	quedamos		
con	con		
ella	ella		
al	al		
serbisio	servicio		
de	de		
Vmd	VM		
	.		
Tengo	Tengo		
abisado	avisado		
como	como		
e	he		
savido	sabido		
que	que		
el	el		
forte	Forte		
jelandia	Zeelandia		
donde	donde		
carge	cargué		
17	17		
piezas	piezas		
de	de		
asucar	azúcar		
fue	fue		
a	a		
ingelatera	Inglaterra		
	,		
que	que		
lo	lo		
senti	sentí		
mucho	mucho		
	.		
y	Y		
el	el		
segundo	segundo		
conosimto	conocimiento		
remeti	remití		
con	con		
el	el		
mtre	maestre		
jacob	Jacob		
Adoz	Adoz		
i	y		
jenbug	Jenbug		
,	.		
y	Y		
me	me		
traiga	traiga		
buenas	buenas		
nuebas	nuevas		
de	de		
aber	haber		
llegado	llegado		
el	el		
nabio	navío		
la	La		
esperenza	Esperanza		
que	que		
salio	salió		
de	de		
aqui	aquí		
por	por		
fin	fin		
de	de		
maio	mayo		
	,		
en	en		
el	el		
qual	cual		
carge	cargué		
29	29		
piesas	piezas		
de	de		
asucar	azúcar		
bueno	bueno		
	,		
como	como		
costa	consta		
de	de		
la	la		
fatura	factura		
q	que		
mande	mandé		
con	con		
18	18		
484	484		
ll	libras		
	,		
y	y		
tres	tres		
bariles	barriles		
de	de		
duses	dulces		
que	que		
mi	mi		
Hno	hermano		
me	me		
pidio	pidió		
	.		
sea	Sea		
dios	Dios		
serbido	servido		
aya	haya		
ido	ido		
todo	todo		
en	en		
pas	paz		
para	para		
que	que		
se	se		
ber	ver		
algun	algún		
fruto	fruto		
	.		
que	Que		
fue	fue		
desgrasia	desgracia		
aber	haber		
aora	ahora		
gera	guerra		
	,		
que	que		
nos	nos		
da	da		
mucho	mucho		
quidado	cuidado		
,	.		
y	Y		
en	en		
23	23		
de	de		
Junio	junio		
salio	salió		
de	de		
aqui	aquí		
el	el		
mestre	maestre		
jacob	Jacob		
Adoz	Adoz		
jandus	Jandus		
	,		
que	que		
dios	Dios		
llebe	lleve		
en	en		
pas	paz		
	,		
con	con		
quien	quien		
remiti	remití		
4	4		
ausos	ausos		
de	de		
bueno	bueno		
	,		
q	que		
todo	todo		
es	es		
por	por		
qta	cuenta		
de	de		
mi	mi		
Hno	hermano		
d	don		
Josehp	José		
del	del		
castillo	Castillo		
	,		
de	de		
que	que		
aqui	aquí		
remito	remito		
el	el		
segundo	segundo		
conosimto	conocimiento		
,	.		
y	Y		
de	de		
presente	presente		
con	con		
el	el		
mtre	maestre		
sutilngt	Sutelinge		
	,		
que	que		
esta	está		
para	para		
salir	salir		
	,		
e	he		
cargado	cargado		
seis	seis		
ausos	ausos		
de	de		
buen	buen		
asucar	azúcar		
	,		
porque	porque		
lo	lo		
mio	mío		
es	es		
de	de		
lo	lo		
megor	mejor		
que	que		
aqui	aquí		
se	se		
ase	hace		
	.		
y	Y		
ansimesmo	asimismo		
otras	otras		
tres	tres		
ausos	ausos		
	:		
el	el		
uno	uno		
de	de		
los	los		
de	de		
aqui	aquí		
y	y		
los	los		
dos	dos		
de	de		
fransia	Francia		
	.		
y	Y		
estos	estos		
tres	tres		
lleban	llevan		
esta	esta		
marca	marca		
como	como		
parese	parece		
del	del		
conosimto	conocimiento		
,	,		
todo	todo		
por	por		
qta	cuenta		
de	de		
mi	mi		
Hno	hermano		
d	don		
josehe	José		
del	del		
castillo	Castillo		
	.		
premita	Permita		
dios	Dios		
llebarlo	llevarlo		
en	en		
pas	paz		
,	.		
y	Y		
aqui	aquí		
queda	queda		
para	para		
salir	salir		
dentro	dentro		
de	de		
8	8		
dias	días		
el	el		
maestre	maestre		
pita	Pita		
y	y		
arpe	Arpe		
	,		
donde	donde		
cargo	cargo		
sinco	cinco		
u	o		
seis	seis		
ausos	ausos		
	.		
y	Y		
asimesmo	asimismo		
dentro	dentro		
de	de		
meses	meses		
sale	sale		
el	el		
maestre	maestre		
picter	Peter		
dunque	Dunque		
	,		
con	con		
quien	quien		
remitire	remitiré		
dies	diez		
y	y		
doze	doce		
mil	mil		
libras	libras		
	.		
todo	Todo		
llebe	lleve		
dios	Dios		
en	en		
pas	paz		
,	.		
y	Y		
en	en		
los	los		
mas	más		
nabios	navíos		
que	que		
ubiera	hubiera		
mandare	mandaré		
como	como		
baia	vaya		
asiendo	haciendo		
.	.		
A	A		
mi	mi		
Hno	hermano		
le	le		
remito	remito		
una	una		
memoria	memoria		
de	de		
algunas	algunas		
cosas	cosas		
que	que		
pido	pido		
,	,		
que	que		
a	ha		
de	de		
remitir	remitir		
a	a		
Vmd	VM		
para	para		
que	que		
me	me		
benga	venga		
en	en		
el	el		
primer	primer		
nabio	navío		
,	.		
y	Y		
la	la		
fariña	farinha		
supco	suplico		
a	a		
Vmd	VM		
sea	sea		
de	de		
la	la		
megor	mejor		
y	y		
lo	lo		
demas	demás		
	,		
porque	porque		
en	en		
esta	esta		
tiera	tierra		
todo	todo		
lo	lo		
que	que		
no	no		
es	es		
bueno	bueno		
dura	dura		
menos	menos		
,	.		
y	Y		
Vmd	VM		
me	me		
tiene	tiene		
aqui	aquí		
mui	muy		
a	a		
su	su		
serbisio	servicio		
como	como		
su	su		
maior	mayor		
amigo	amigo		
y	y		
serbidor	servidor		
,	.		
y	Y		
mi	mi		
pa	parienta		
se	se		
recomienda	recomienda		
en	en		
esas	esas		
mis	mis		
sres	señores		
como	como		
io	yo		
lo	lo		
ago	hago		
de	de		
Vmd	VM		
	,		
quia	cuya		
bida	vida		
gde	guarde		
dios	Dios		
	.		
de	De		
Vmd	VM		
	,		
yseque	Isaac		
montesinos	Montesinos		
