somos	Somos	VSIP1P0	ser
a	a	SPS00	a
8	8	Z	8
de	de	SPS00	de
setie	septiembre	NCMS000	septiembre
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
de	de	SPS00	de
ariba	arriba	RG	arriba
es	es	VSIP3S0	ser
copia	copia	NCFS000	copia
de	de	SPS00	de
la	la	DA0FS0	el
que	que	PR0CN000	que
mande	mandé	VMIS1S0	mandar
a	a	SPS00	a
Vm	VM	NP00000	VM
con	con	SPS00	con
el	el	DA0MS0	el
mestre	maestre	NCFS000	maestre
sutelinge	Sutelinge	NP00000	sutelinge
	,	Fc	,
que	que	CS	que
dios	Dios	NP00000	dios
llebe	lleve	VMSP0S0	llevar
en	en	SPS00	en
pas	paz	NCFS000	paz
	.	Fp	.
y	Y	CC	y
esta	ésta	PD0FS000	este
ba	va	VMIP3S0	ir
con	con	SPS00	con
el	el	DA0MS0	el
maestre	maestre	NCFS000	maestre
pitre	Peter	NP00000	peter
iaspe	Jaspe	NP00000	jaspe
	,	Fc	,
que	que	CS	que
esta	está	VMIP3S0	estar
para	para	SPS00	para
partir	partir	VMN0000	partir
	.	Fp	.
y	Y	CC	y
remito	remito	VMIP1S0	remitir
seis	seis	Z	6
ausos	ausos	NCMP000	auso
de	de	SPS00	de
buen	buen	AQ0MS0	bueno
asucar	azúcar	NCCS000	azúcar
	.	Fp	.
dios	Dios	NP00000	dios
lo	lo	PP3CNA00	lo
llebe	lleve	VMSP0S0	llevar
en	en	SPS00	en
pas	paz	NCFS000	paz
	.	Fp	.
y	Y	CC	y
no	no	RN	no
se	se	P00CN000	se
me	me	PP1CS000	me
ofrese	ofrece	VMIP3S0	ofrecer
desir	decir	VMN0000	decir
mas	más	RC	más
de	de	SPS00	de
lo	lo	DA0NS0	el
dho	dicho	VMP00SM	decir
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
el	el	DA0MS0	el
nabio	navío	NCMS000	navío
de	de	SPS00	de
sutilinge	Sutelinge	NP00000	sutelinge
que	que	CS	que
salio	salió	VMIS3S0	salir
la	la	DA0FS0	el
semana	semana	NCFS000	semana
pasada	pasada	VMP00SF	pasar
escribi	escribí	VMIS1S0	escribir
a	a	SPS00	a
mi	mi	DP1CSS	mi
Hno	hermano	NP00000	hermano
felipe	Felipe	NP00000	felipe
y	y	CC	y
le	le	PP3CSD00	le
abise	avisé	VMIS1S0	avisar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	a	SPS00	a
