esta	Ésta	PD0FS000	este
q	que	CS	que
escribo	escribo	VMIP1S0	escribir
ba	va	VMIP3S0	ir
a	a	SPS00	a
tino	tino	NCMS000	tino
	,	Fc	,
porq	porque	CS	porque
e	he	VAIP1S0	haber
scripto	escrito	VMP0000	escribir
otras	otras	DI0FP0	otro
quatro	cuatro	Z	4
cartas	cartas	NCFP000	carta
y	y	CC	y
no	no	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
ban	van	VMIP3P0	ir
a	a	SPS00	a
manos	manos	NCFP000	mano
de	de	SPS00	de
mi	mi	DP1CSS	mi
ermano	hermano	NCMS000	hermano
	.	Fp	.
yo	Yo	PP1CSN00	yo
e	he	VAIP1S0	haber
ynbiado	enviado	VMP0000	enviar
por	por	SPS00	por
la	la	DA0FS0	el
orden	orden	NCFS000	orden
q	que	PR0CN000	que
e	he	VAIP1S0	haber
podido	podido	VMP0000	poder
una	una	DI0FS0	uno
informacion	información	NCFS000	información
de	de	SPS00	de
quiennes	quiénes	PT0CP000	quién
eran	eran	VSII3P0	ser
nuestros	nuestros	DP1MPP	nuestro
padres	padres	NCMP000	padre
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
la	la	PP3FSA00	lo
a	ha	VAIP3S0	haber
recibydo	recibido	VMP0000	recibir
	.	Fp	.
ynbieme	Envíeme	VMSP0S0+PP1CS000	enviar+me
mi	mi	DP1CSS	mi
erno	hermano	NCMS000	hermano
un	un	DI0MS0	uno
poder	poder	NCMS000	poder
de	de	SPS00	de
el	el	DA0MS0	el
zenso	censo	NCMS000	censo
y	y	CC	y
demas	demás	RG	demás
azienda	hacienda	NCFS000	hacienda
q	que	PR0CN000	que
aqui	aquí	RG	aquí
le	le	PP3CSD00	le
pertenezca	pertenezca	VMSP0S0	pertenecer
para	para	SPS00	para
q	que	CS	que
yo	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
pueda	pueda	VMSP0S0	poder
aber	haber	VMN0000	haber
	,	Fc	,
q	que	CS	que
qualquier	cualquier	DI0CS0	cualquier
cosa	cosa	NCFS000	cosa
i	y	CC	y
bien	bien	RG	bien
q	que	CS	que
me	me	PP1CS000	me
iziere	hiciere	VMSF0S0	hacer
sera	será	VSIF3S0	ser
azer	hacer	VMN0000	hacer
por	por	SPS00	por
una	una	DI0FS0	uno
pobre	pobre	AQ0CS0	pobre
hermana	hermana	NCFS000	hermano
	,	Fc	,
q	que	CS	que
si	si	CS	si
no	no	RN	no
lo	lo	PP3CNA00	lo
trabajo	trabajo	VMIP1S0	trabajar
no	no	RN	no
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
	.	Fp	.
y	Y	CC	y
ansi	así	RG	así
tube	tuve	VMIS1S0	tener
a	a	SPS00	a
mucho	mucho	RQ	mucho
los	los	DA0MP0	el
100	100	Z	100
reales	reales	NCMP000	real
q	que	PR0CN000	que
me	me	PP1CS000	me
ynbio	envió	VMIS3S0	enviar
	,	Fc	,
los	los	DA0MP0	el
quales	cuales	PR0CP000	cual
le	le	PP3CSD00	le
tengo	tengo	VMIP1S0	tener
pagado	pagado	VMP0000	pagar
en	en	SPS00	en
rogar	rogar	VMN0000	rogar
a	a	SPS00	a
dios	Dios	NP00000	dios
por	por	SPS00	por
el	él	PP3MS000	él
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
	.	Fp	.
nuestro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
me	me	PP1CS000	me
le	le	PP3CSD00	le
ge	guarde	VMSP0S0	guardar
para	para	SPS00	para
anparo	amparo	NCMS000	amparo
mio	mío	DP1MSS	mío
y	y	CC	y
de	dé	VMSP0S0	dar
buenissimas	buenísimas	NP00000	buenísimas
pasquas	Pascuas	NP00000	pascuas
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
torqmada	Torquemada	NP00000	torquemada
	,	Fc	,
28	28	Z	28
abril	abril	NCMS000	abril
1628	1628	Z	1628
años	años	NCMP000	año
	.	Fp	.
mi	Mi	DP1CSS	mi
marido	marido	NCMS000	marido
anton	Antón	NP00000	antón
cobo	Cobo	NP00000	cobo
le	le	PP3CSD00	le
besa	besa	VMIP3S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
	.	Fp	.
su	Su	DP3CS0	su
erna	hermana	NCFS000	hermano
	,	Fc	,
ysabel	Isabel	NP00000	isabel
nyeto	Nieto	NCMS000	nieto
