Sor	Señor	NP00000	señor
Mio	mío	DP1MSS	mío
	.	Fp	.
Estimo	Estimo	VMIP1S0	estimar
,	,	Fc	,
respecto	respeto	NCMS000	respeto
,	,	Fc	,
benero	venero	NCMS000	venero
a	a	SPS00	a
vmd	VM	NP00000	VM
como	como	CS	como
a	a	SPS00	a
señor	señor	NP00000	señor
y	y	CC	y
amparo	amparo	NCMS000	amparo
	,	Fc	,
deudo	deudo	NCMS000	deudo
y	y	CC	y
padre	padre	NCMS000	padre
	,	Fc	,
y	y	CC	y
como	como	CS	como
en	en	SPS00	en
quien	quien	PR0CS000	quien
siempre	siempre	RG	siempre
e	he	VAIP1S0	haber
allado	hallado	VMP0000	hallar
refuguio	refugio	NCMS000	refugio
y	y	CC	y
consuelo	consuelo	NCMS000	consuelo
.	.	Fp	.
no	No	RN	no
soi	soy	VSIP1S0	ser
hombre	hombre	NCMS000	hombre
	,	Fc	,
señor	señor	NP00000	señor
	,	Fc	,
que	que	CS	que
quando	cuando	PA000000	cuando
fueran	fueran	VSSI3P0	ser
berdades	verdades	NCFP000	verdad
dichas	dichas	VMP00PF	decir
por	por	SPS00	por
vmd	VM	NP00000	VM
me	me	PP1CS000	me
abian	habían	VMII3P0	haber
de	de	SPS00	de
amargar	amargar	VMN0000	amargar
	,	Fc	,
por	por	SPS00	por
conocer	conocer	VMN0000	conocer
que	que	CS	que
el	el	DA0MS0	el
celo	celo	NCMS000	celo
que	que	CS	que
vmd	VM	NP00000	VM
tiene	tiene	VMIP3S0	tener
es	es	VSIP3S0	ser
santo	santo	NCMS000	santo
	,	Fc	,
justo	justo	AQ0MS0	justo
y	y	CC	y
util	útil	AQ0CS0	útil
para	para	SPS00	para
mi	mí	PP1CSO00	mí
.	.	Fp	.
asi	Así	RG	así
fuera	fuera	VSSI0S0	ser
la	la	DA0FS0	el
intenzion	intención	NCFS000	intención
de	de	SPS00	de
la	la	DA0FS0	el
lengua	lengua	NCFS000	lengua
quiebrantaguegsos	quebrantahuesos	SPS00	quebrantahuesos
que	que	CS	que
a	a	SPS00	a
vmd	VM	NP00000	VM
informo	informó	VMIS3S0	informar
cosas	cosas	NCFP000	cosa
tan	tan	RC	tan
falsas	falsas	AQ0FP0	falso
	,	Fc	,
pues	pues	CS	pues
quando	cuando	PA000000	cuando
fueran	fueran	VSSI3P0	ser
berdades	verdades	NCFP000	verdad
debia	debía	VMII0S0	deber
	,	Fc	,
como	como	CS	como
madre	madre	NCFS000	madre
	,	Fc	,
no	no	RN	no
sacar	sacar	VMN0000	sacar
a	a	SPS00	a
plaça	plaza	NCFS000	plaza
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
importa	importa	VMIP3S0	importar
