R	Reverendo	AQ0MS0	reverendo
P	padre	NCMS000	padre
Prior	prior	NCMS000	prior
	.	Fp	.
no	No	RN	no
puedo	puedo	VMIP1S0	poder
dejar	dejar	VMN0000	dejar
de	de	SPS00	de
escrivir	escribir	VMN0000	escribir
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NCFS000	reverencia
estos	estos	DD0MP0	este
renglones	renglones	NCMP000	renglón
	.	Fp	.
lo	Lo	DA0NS0	el
primero	primero	RG	primero
	,	Fc	,
por	por	SPS00	por
aver	haber	VAN0000	haber
tenido	tenido	VMP0000	tener
en	en	SPS00	en
ese	ese	DD0MS0	ese
santo	santo	AQ0MS0	santo
conbento	convento	NCMS000	convento
un	un	DI0MS0	uno
tio	tío	NCMS000	tío
que	que	PR0CN000	que
se	se	P00CN000	se
llamo	llamó	VMIS3S0	llamar
fr	fray	NP00000	fray
Ju	Juan	NP00000	juan
de	de	SPS00	de
Velasco	Velasco	NP00000	velasco
y	y	CC	y
un	un	DI0MS0	uno
cuñado	cuñado	NCMS000	cuñado
que	que	CS	que
ansimesmo	asimismo	RG	asimismo
se	se	P00CN000	se
llamo	llamó	VMIS3S0	llamar
fr	fray	NP00000	fray
Ju	Juan	NP00000	juan
de	de	SPS00	de
Velasco	Velasco	NP00000	velasco
	,	Fc	,
que	que	CS	que
fue	fue	VSIS3S0	ser
lego	lego	AQ0MS0	lego
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
	,	Fc	,
por	por	SPS00	por
ponerle	ponerle	VMN0000+PP3CSD00	poner+le
presente	presente	VMSP0S0	presentar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NP00000	reverencia
el	el	DA0MS0	el
casso	caso	NCMS000	caso
por	por	SPS00	por
cuia	cuya	PU0FS000	cuyo
causa	causa	NCFS000	causa
a	ha	VAIP3S0	haber
ssido	sido	VSP0000	ser
llamado	llamado	VMP00SM	llamar
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Po	Pedro	NP00000	pedro
Barvero	Barbero	NCMS000	barbero
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
como	como	CS	como
se	se	P00CN000	se
sigue	sigue	VMIP3S0	seguir
	:	Fd	:
en	en	SPS00	en
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
cuidaba	cuidaba	VMII0S0	cuidar
de	de	SPS00	de
las	las	DA0FP0	el
alajas	alhajas	NCFP000	alhaja
de	de	SPS00	de
na	Nuestra	DP1FSP	nuestro
señora	Señora	NP00000	señor
del	del	SPS00+DA0MS0	de+el
carmen	Carmen	NP00000	carmen
una	una	DI0FS0	uno
beata	beata	NCFS000	beato
que	que	CS	que
se	se	P00CN000	se
llama	llama	VMIP3S0	llamar
Geronima	Jerónima	NP00000	jerónima
,	;	Fx	;
y	y	CC	y
el	el	DA0MS0	el
alcalde	alcalde	NCMS000	alcalde
y	y	CC	y
jurado	jurado	NCMS000	jurado
de	de	SPS00	de
na	Nuestra	DP1FSP	nuestro
sra	Señora	NP00000	señor
del	del	SPS00+DA0MS0	de+el
Carmen	Carmen	NP00000	carmen
quisieron	quisieron	VMIS3P0	querer
tomarla	tomarla	VMN0000+PP3FSA00	tomar+lo
cuentas	cuentas	NCFP000	cuenta
asi	así	RG	así
de	de	SPS00	de
las	las	DA0FP0	el
alajas	alhajas	NCFP000	alhaja
como	como	CS	como
del	del	SPS00+DA0MS0	de+el
dinero	dinero	NCMS000	dinero
,	,	Fc	,
para	para	VMIP3S0	parar
lo	lo	PP3CNA00	lo
cual	cual	CC	cual
ablaron	hablaron	VMIS3P0	hablar
a	a	SPS00	a
fr	fray	NP00000	fray
Po	Pedro	NP00000	pedro
Barvero	Barbero	NCMS000	barbero
para	para	SPS00	para
que	que	CS	que
les	les	PP3CPD00	le
asistiese	asistiese	VMSI0S0	asistir
a	a	SPS00	a
dhas	dichas	VMP00PF	decir
quentas	cuentas	NCFP000	cuenta
	,	Fc	,
como	como	CS	como
interesado	interesado	VMP00SM	interesar
y	y	CC	y
persona	persona	NCFS000	persona
que	que	CS	que
tenia	tenía	VMII0S0	tener
noticia	noticia	NCFS000	noticia
del	del	SPS00+DA0MS0	de+el
dinero	dinero	NCMS000	dinero
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
na	Nuestra	DP1FSP	nuestro
sra	Señora	NP00000	señor
	.	Fp	.
aviendo	Habiendo	VAG0000	haber
llegado	llegado	VMP0000	llegar
con	con	SPS00	con
asistencia	asistencia	NCFS000	asistencia
de	de	SPS00	de
los	los	DA0MP0	el
referidos	referidos	NCMP000	referido
y	y	CC	y
el	el	DA0MS0	el
essno	escribano	NCMS000	escribano
,	,	Fc	,
se	se	P00CN000	se
reconocio	reconoció	VMIS3S0	reconocer
faltaban	faltaban	VMII3P0	faltar
algunas	algunas	DI0FP0	alguno
joias	joyas	NCFP000	joya
y	y	CC	y
algunas	algunas	DI0FP0	alguno
mandas	mandas	VMIP2S0	mandar
que	que	CS	que
avia	había	VAII0S0	haber
percibido	percibido	VMP0000	percibir
dha	dicha	VMP00SF	decir
veata	beata	NCFS000	beato
	,	Fc	,
conprovandoselo	comprobándoselo	VMG0000+PP3CN000+PP3MSA00	comprobar+se+lo
el	el	DA0MS0	el
P	padre	NCMS000	padre
f	fray	NP00000	fray
Pedro	Pedro	NP00000	pedro
delante	delante	RG	delante
de	de	SPS00	de
todos	todos	PI0MP000	todo
	.	Fp	.
por	Por	SPS00	por
cuia	cuya	PU0FS000	cuyo
causa	causa	NCFS000	causa
dos	dos	Z	2
sobrinas	sobrinas	NCFP000	sobrino
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
dha	dicha	VMP00SF	decir
veata	beata	NCFS000	beato
	,	Fc	,
que	que	CS	que
la	la	DA0FS0	el
una	una	DI0FS0	uno
fue	fue	VSIS3S0	ser
la	la	DA0FS0	el
que	que	PR0CN000	que
estubo	estuvo	VMIS3S0	estar
con	con	SPS00	con
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NCFS000	reverencia
en	en	SPS00	en
toledo	Toledo	NP00000	toledo
	,	Fc	,
le	le	PP3CSD00	le
ablaron	hablaron	VMIS3P0	hablar
con	con	SPS00	con
poca	poca	DI0FS0	poco
atencion	atención	NCFS000	atención
y	y	CC	y
mucha	mucha	DI0FS0	mucho
audazia	audacia	NCFS000	audacia
y	y	CC	y
desberguença	desvergũenza	NCFS000	desvergũenza
	,	Fc	,
tanto	tanto	RC	tanto
que	que	CS	que
a	a	SPS00	a
los	los	DA0MP0	el
que	que	PR0CN000	que
se	se	P00CN000	se
allaron	hallaron	VMIS3P0	hallar
presentes	presentes	AQ0CP0	presente
les	les	PP3CPD00	le
parecio	pareció	VMIS3S0	parecer
mui	muy	RQ	muy
mal	mal	RG	mal
y	y	CC	y
las	las	PP3FPA00	lo
pusieron	pusieron	VMIS3P0	poner
como	como	CS	como
mereçen	merecen	VMIP3P0	merecer
	.	Fp	.
y	Y	CC	y
si	si	CS	si
la	la	DA0FS0	el
justiçia	justicia	NCFS000	justicia
ordinaria	ordinaria	NCFS000	ordinaria
ubiera	hubiera	VASI0S0	haber
cumplido	cumplido	VMP0000	cumplir
con	con	SPS00	con
su	su	DP3CS0	su
