M	Muy	RQ	muy
R	reverendo	NP00000	reverendo
Pe	padre	NP00000	padre
Prior	prior	NCMS000	prior
	.	Fp	.
a	Ha	VAIP3S0	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
nuestra	nuestra	DP1FSP	nuestro
noticia	noticia	NCFS000	noticia
como	como	CS	como
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NCFS000	reverencia
a	ha	VAIP3S0	haber
mandado	mandado	VMP0000	mandar
hir	ir	VMN0000	ir
a	a	SPS00	a
ese	ese	DD0MS0	ese
convento	convento	NCMS000	convento
a	a	SPS00	a
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Pedro	Pedro	NP00000	pedro
Barvero	Barbero	NCMS000	barbero
para	para	SPS00	para
que	que	CS	que
no	no	RN	no
buelba	vuelva	VMSP0S0	volver
mas	más	RC	más
a	a	SPS00	a
esta	esta	DD0FS0	este
billa	villa	NCFS000	villa
	.	Fp	.
y	Y	CC	y
respecto	respecto	NCMS000	respeto
de	de	SPS00	de
tener	tener	VMN0000	tener
noticia	noticia	NCFS000	noticia
que	que	CS	que
la	la	DA0FS0	el
causa	causa	NCFS000	causa
de	de	SPS00	de
esto	esto	PD0NN000	esto
an	han	VAIP3P0	haber
ssido	sido	VSP0000	ser
una	una	DI0FS0	uno
sra	señora	NCFS000	señor
Beata	beata	NCFS000	beato
y	y	CC	y
una	una	DI0FS0	uno
sobrana	sobrina	NCFS000	sobrino
suia	suya	PX3FS000	suyo
	,	Fc	,
la	la	PP3FSA00	lo
cual	cual	CC	cual
nos	nos	PP1CP000	nos
an	han	VAIP3P0	haber
dho	dicho	VMP0000	decir
que	que	CS	que
a	ha	VAIP3S0	haber
hido	ido	VMP0000	ir
a	a	SPS00	a
ese	ese	DD0MS0	ese
convento	convento	NCMS000	convento
a	a	SPS00	a
informar	informar	VMN0000	informar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
R	reverencia	NP00000	reverencia
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
es	es	VSIP3S0	ser
ni	ni	CC	ni
sera	será	VSIF3S0	ser
verdad	verdad	NCFS000	verdad
	,	Fc	,
guiada	guiada	VMP00SF	guiar
de	de	SPS00	de
interes	interés	NCMS000	interés
porque	porque	CS	porque
tomamos	tomamos	VMIS1P0	tomar
cuenta	cuenta	NCFS000	cuenta
a	a	SPS00	a
dha	dicha	VMP00SF	decir
veata	beata	NCFS000	beato
de	de	SPS00	de
unas	unas	DI0FP0	uno
joias	joyas	NCFP000	joya
y	y	CC	y
dinero	dinero	NCMS000	dinero
que	que	CS	que
tenia	tenía	VMII0S0	tener
de	de	SPS00	de
nuestra	Nuestra	DP1FSP	nuestro
señora	Señora	NP00000	señor
del	del	SPS00+DA0MS0	de+el
carmen	Carmen	NP00000	carmen
	.	Fp	.
y	Y	CC	y
dha	dicha	VMP00SF	decir
quenta	cuenta	NCFS000	cuenta
no	no	RN	no
se	se	P00CN000	se
metio	metió	VMIS3S0	meter
en	en	SPS00	en
ella	ella	PP3FS000	él
el	el	DA0MS0	el
P	padre	NCMS000	padre
fr	fray	NP00000	fray
Pedro	Pedro	NP00000	pedro
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
hizo	hizo	VMIS3S0	hacer
fue	fue	VSIS3S0	ser
alumbrarnos	alumbrarnos	VMN0000+PP1CP000	alumbrar+nos
de	de	SPS00	de
algunas	algunas	DI0FP0	alguno
cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
savia	sabía	VMII0S0	saber
tenia	tenía	VMII0S0	tener
la	la	DA0FS0	el
beata	beata	NCFS000	beato
en	en	SPS00	en
su	su	DP3CS0	su
poder	poder	NCMS000	poder
	,	Fc	,
las	las	DA0FP0	el
cuales	cuales	PR0CP000	cual
decia	decía	VMII0S0	decir
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
acordava	acordaba	VMII0S0	acordar
que	que	CS	que
tal	tal	RC	tal
tenia	tenía	VMII0S0	tener
	.	Fp	.
todo	Todo	DI0MS0	todo
lo	lo	DA0NS0	el
cual	cual	PR0CS000	cual
saco	sacó	VMIS3S0	sacar
a	a	SPS00	a
luz	luz	NCFS000	luz
y	y	CC	y
provo	probó	VMIS3S0	probar
el	el	DA0MS0	el
pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Pedro	Pedro	NP00000	pedro
ser	ser	VSN0000	ser
berdad	verdad	NCFS000	verdad
que	que	CS	que
las	las	PP3FPA00	lo
tenian	tenían	VMII3P0	tener
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
esso	eso	PD0NN000	eso
dijo	dijo	VMIS3S0	decir
la	la	DA0FS0	el
que	que	PR0CN000	que
fue	fue	VMIS3S0	ir
a	a	SPS00	a
ablar	hablar	VMN0000	hablar
con	con	SPS00	con
V	vuestra	DP2FSP	vuestro
R	reverencia	NP00000	reverencia
que	que	CS	que
avia	había	VMII0S0	haber
de	de	SPS00	de
destruir	destruir	VMN0000	destruir
a	a	SPS00	a
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Pedro	Pedro	NP00000	pedro
	.	Fp	.
y	Y	CC	y
respecto	respecto	NCMS000	respeto
de	de	SPS00	de
yr	ir	VMN0000	ir
esa	esa	DD0FS0	ese
señora	señora	NCFS000	señor
apasionada	apasionada	AQ0FS0	apasionado
ablaria	hablaría	VMIC0S0	hablar
cosas	cosas	NCFP000	cosa
contra	contra	SPS00	contra
su	su	DP3CS0	su
credito	crédito	NCMS000	crédito
	,	Fc	,
el	el	DA0MS0	el
cual	cual	PR0CS000	cual
le	le	PP3CSD00	le
tiene	tiene	VMIP3S0	tener
mui	muy	RQ	muy
asegurado	asegurado	VMP00SM	asegurar
en	en	SPS00	en
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
y	y	CC	y
tanto	tanto	RC	tanto
que	que	CS	que
en	en	SPS00	en
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
que	que	CS	que
emos	hemos	VAIP1P0	haber
conoçido	conocido	VMP0000	conocer
en	en	SPS00	en
este	este	DD0MS0	este
lugar	lugar	NCMS000	lugar
relijioso	religioso	NCMS000	religioso
no	no	RN	no
emos	hemos	VAIP1P0	haber
conozido	conocido	VMP0000	conocer
ninguno	ninguno	PI0MS00N	ninguno
que	que	PR0CN000	que
mas	más	RC	más
ayga	haya	VASP0S0	haber
complido	cumplido	VMP0000	cumplir
con	con	SPS00	con
su	su	DP3CS0	su
obligacion	obligación	NCFS000	obligación
y	y	CC	y
asista	asista	VMSP0S0	asistir
mals	más	RC	más
al	al	SPS00+DA0MS0	a+el
confisionario	confesionario	NCMS000	confesionario
que	que	CS	que
el	él	PP3MS000	él
	;	Fx	;
y	y	CC	y
mas	más	RC	más
emos	hemos	VAIP1P0	haber
savido	sabido	VMP0000	saber
que	que	CS	que
es	es	VSIP3S0	ser
mui	muy	RQ	muy
penitente	penitente	RG	penitente
	.	Fp	.
y	Y	CC	y
respecto	respecto	NCMS000	respeto
de	de	SPS00	de
ser	ser	VSN0000	ser
jurados	jurados	NCMP000	jurado
como	como	CS	como
somos	somos	VSIP1P0	ser
	,	Fc	,
nos	nos	PP1CP000	nos
pareçe	parece	VMIP3S0	parecer
sera	será	VSIF3S0	ser
obra	obra	NCFS000	obra
acepta	acepta	AQ0FSP	acepto
a	a	SPS00	a
los	los	DA0MP0	el
ojos	ojos	NCMP000	ojo
de	de	SPS00	de
dios	Dios	NP00000	dios
nuestro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
informar	informar	VMN0000	informar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
R	reverencia	NP00000	reverencia
la	la	DA0FS0	el
verdad	verdad	NCFS000	verdad
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
esta	ésta	PD0FS000	este
y	y	CC	y
no	no	RN	no
otra	otra	PI0FS000	otro
	.	Fp	.
y	Y	CC	y
crea	crea	VMSP0S0	creer
V	vuestra	DP2FSP	vuestro
R	reverencia	NP00000	reverencia
que	que	CS	que
todo	todo	DI0MS0	todo
este	este	DD0MS0	este
lugar	lugar	NCMS000	lugar
a	ha	VAIP3S0	haber
clamado	clamado	VMP0000	clamar
pidiendonos	pidiéndonos	VMG0000+PP1CP000	pedir+nos
escrivamos	escribamos	VMSP1P0	esrcibir
sobre	sobre	SPS00	sobre
este	este	DD0MS0	este
punto	punto	NCMS000	punto
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NP00000	reverencia
	.	Fp	.
y	Y	CC	y
todos	todos	PI0MS000	todo
emos	hemos	VAIP1P0	haber
sentido	sentido	VMP0000	sentir
que	que	CS	que
por	por	SPS00	por
esta	esta	DD0FS0	este
causa	causa	NCFS000	causa
recoja	recoja	VMSP0S0	recoger
V	vuestra	DP2FSP	vuestro
R	reverencia	NCFS000	reverencia
a	a	SPS00	a
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Pedro	Pedro	NP00000	pedro
a	a	SPS00	a
su	su	DP3CS0	su
conbento	convento	NCMS000	convento
,	.	Fp	.
y	Y	CC	y
assi	así	RG	así
	,	Fc	,
suplicamos	suplicamos	VMIP1P0	suplicar
mande	mande	VMSP0S0	mandar
V	vuestra	DP2FSP	vuestro
R	reverencia	NP00000	reverencia
se	se	P00CN000	se
aga	haga	VMSP0S0	hacer
informe	informe	NCMS000	informe
por	por	SPS00	por
maior	mayor	NCMS000	mayor
para	para	SPS00	para
que	que	CS	que
vea	vea	VMSP0S0	ver
que	que	CS	que
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
es	es	VSIP3S0	ser
verdad	verdad	NCFS000	verdad
y	y	CC	y
para	para	SPS00	para
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
diga	diga	VMSP0S0	decir
en	en	SPS00	en
este	este	DD0MS0	este
lugar	lugar	NCMS000	lugar
que	que	CS	que
un	un	DI0MS0	uno
relijiosso	religioso	NCMS000	religioso
como	como	CS	como
de	de	SPS00	de
las	las	DA0FP0	el
prendas	prendas	NCFP000	prenda
del	del	SPS00+DA0MS0	de+el
Padre	padre	NCMS000	padre
fr	fray	NP00000	fray
Po	Pedro	NP00000	pedro
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
avito	hábito	NCMS000	hábito
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
R	reverencia	NP00000	reverencia
salga	salga	VMSP0S0	salir
porque	porque	CS	porque
lo	lo	PP3CNA00	lo
an	han	VAIP3P0	haber
conseguido	conseguido	VMP0000	conseguir
estas	estas	DD0FP0	este
mujeres	mujeres	NCFP000	mujer
	.	Fp	.
no	No	RN	no
se	se	P00CN000	se
ofrece	ofrece	VMIP3S0	ofrecer
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
que	que	PR0CN000	que
suplicar	suplicar	VMN0000	suplicar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NP00000	reverencia
	,	Fc	,
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
que	que	CS	que
nos	nos	PP1CP000	nos
mande	mande	VMSP0S0	mandar
	.	Fp	.
Dios	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Va	vuestra	DP2FSP	vuestro
Ra	reverencia	NP00000	reverencia
m	muchos	DI0MP0	mucho
ans	años	NCMP000	año
	.	Fp	.
tembleque	Tembleque	NP00000	tembleque
	,	Fc	,
y	y	CC	y
septiembre	septiembre	NCMS000	septiembre
de	de	SPS00	de
1689	1689	Z	1689
.	.	Fp	.
Miguel	Miguel	NP00000	miguel
maçarambroz	Mazarambroz	NP00000	mazarambroz
A	A	SPS00	a
mi	mi	DP1CSS	mi
Pa	padre	NCMS000	padre
Prior	prior	NCMS000	prior
	.	Fp	.
Juan	Juan	NP00000	juan
de	de	SPS00	de
Belasco	Velasco	NP00000	velasco
