Rdo	Reverendo		
Pe	padre		
Prior	prior		
,	.		
recivi	Recibí		
la	la		
de	de		
V	vuestra		
Pd	paternidad		
y	y		
veo	veo		
en	en		
ella	ella		
lo	lo		
mucho	mucho		
que	que		
me	me		
favoreçe	favorece		
y	y		
la	la		
Volutad	voluntad		
tan	tan		
fina	fina		
que	que		
me	me		
muestra	muestra		
.	.		
todo	Todo		
es	es		
para	para		
mostrarme	mostrarme		
rendido	rendido		
a	a		
darle	darle		
gusto	gusto		
en	en		
todo	todo		
lo	lo		
que	que		
el	el		
de	de		
V	vuestra		
P	paternidad		
muy	muy		
Rda	reverenda		
guste	guste		
.	.		
En	En		
que	que		
lo	lo		
dice	dice		
mi	mi		
Pe	padre		
Prior	prior		
de	de		
que	que		
asegure	asegure		
El	el		
Echo	hecho		
;	,		
referire	referiré		
el	el		
casso	caso		
,	,		
o	o		
lo	lo		
que	que		
alcanzo	alcanzo		
(	(		
puedo	puedo		
decirle	decirle		
)	)		
	,		
y	y		
en	en		
virtud	virtud		
d	de		
esso	eso		
podra	podrá		
asegurarse	asegurarse		
o	o		
no	no		
.	.		
llegando	Llegando		
essa	esa		
persona	persona		
a	a		
comunicar	comunicar		
este	este		
casso	caso		
(	(		
que	que		
tanto	tanto		
sentimiento	sentimiento		
le	le		
ha	ha		
causado	causado		
a	a		
V	vuestra		
Pd	paternidad		
,	,		
y	y		
a	a		
mi	mí		
pesar	pesar		
,	,		
porque	porque		
a	a		
todos	todos		
los	los		
Relijiosos	religiosos		
los	los		
quiero	quiero		
como	como		
a	a		
mi	mi		
Alma	alma		
)	)		
	,		
hiçe	hice		
todo	todo		
lo	lo		
posible	posible		
por	por		
favorecer	favorecer		
al	al		
Pe	padre		
fr	fray		
Pedro	Pedro		
amedrantadola	amedrantándola		
a	a		
la	la		
tal	tal		
Persona	persona		
con	con		
el	el		
cargo	cargo		
que	que		
se	se		
echava	echaba		
a	a		
cuestas	cuestas		
,	,		
e	etc		
y	y		
que	que		
mirase	mirase		
si	si		
la	la		
llevava	llevaba		
venganza	venganza		
;	.		
y	Y		
respondiendo	respondiendo		
que	que		
era	era		
verdad	verdad		
lo	lo		
que	que		
decia	decía		
;	,		
la	la		
persuadi	persuadí		
al	al		
cumplimiento	cumplimiento		
de	de		
su	su		
obligacion	obligación		
y	y		
que	que		
se	se		
cargase	cargase		
siempre	siempre		
a	a		
la	la		
parte	parte		
de	de		
la	la		
misericordia	misericordia		
;	.		
y	Y		
para	para		
mejor	mejor		
haçerlo	hacerlo		
,	,		
la	la		
remiti	remití		
a	a		
V	vuestra		
Pd	paternidad		
Rda	reverenda		
,	,		
que	que		
	,		
como	como		
tan	tan		
docto	docto		
y	y		
finalmente	finalmente		
su	su		
Pe	padre		
;	,		
mirase	mirase		
a	a		
su	su		
Relijioso	religioso		
como	como		
a	a		
su	su		
hijo	hijo		
.	.		
tambien	También		
la	la		
dije	dije		
se	se		
rrindiese	rindiese		
a	a		
su	su		
dictamen	dictamen		
;	;		
y	y		
me	me		
dio	dio		
palabra	palabra		
de	de		
no	no		
hacer	hacer		
mas	más		
que	que		
lo	lo		
que	que		
V	vuestra		
Pd	paternidad		
le	le		
ordenase	ordenase		
y	y		
que	que		
desde	desde		
Aora	ahora		
lo	lo		
sepultava	sepultaba		
en	en		
su	su		
pecho	pecho		
para	para		
no	no		
decirlo	decirlo		
a	a		
otro	otro		
alguno	alguno		
.	.		
esta	Ésta		
es	es		
la	la		
seguridad	seguridad		
que	que		
puede	puede		
allarse	hallarse		
en	en		
el	el		
casso	caso		
presente	presente		
(	(		
si	si		
es	es		
que	que		
es	es		
verdad	verdad		
)	)		
de	de		
parte	parte		
d	de		
esta	esta		
persona	persona		
;	.		
digo	Digo		
de	de		
parte	parte		
d	de		
esta	ésta		
;	,		
porque	porque		
no	no		
se	sé		
que	qué		
he	he		
oido	oído		
acerca	acerca		
de	de		
otra	otra		
(	(		
quiza	quizá		
sera	será		
todo	todo		
falso	falso		
)	)		
;	.		
lo	Lo		
que	que		
yo	yo		
aseguro	aseguro		
es	es		
de	de		
estar	estar		
con	con		
todo	todo		
Estudio	estudio		
para	para		
	,		
si	si		
acerca	acerca		
d	de		
essa	esa		
materia	materia		
llegare	llegare		
algo	algo		
,	,		
mirar	mirar		
por	por		
el	el		
credito	crédito		
del	del		
Sto	santo		
havito	hábito		
(	(		
sin	sin		
faltar	faltar		
a	a		
la	la		
obligacion	obligación		
)	)		
	,		
q	que		
es	es		
mirar	mirar		
por	por		
mi	mí		
mismo	mismo		
;	.		
y	Y		
assi	así		
V	vuestra		
Pd	paternidad		
no	no		
me	me		
agradezca	agradezca		
lo	lo		
que	que		
es	es		
util	útil		
y	y		
credito	crédito		
mio	mío		
.	.		
V	Vuestra		
Pd	paternidad		
vea	vea		
si	si		
en	en		
otra	otra		
cossa	cosa		
le	le		
puedo	puedo		
servir	servir		
y	y		
vera	verá		
mi	mi		
buena	buena		
voluntad	voluntad		
;	,		
que	que		
aora	ahora		
le	le		
dice	dice		
a	a		
mi	mi		
Dios	Dios		
me	me		
le	le		
gde	guarde		
.	.		
tembleqe	Tembleque		
	,		
y	y		
setiembre	septiembre		
8	8		
de	de		
89	89		
	.		
V	Vuestra		
Pd	paternidad		
muy	muy		
Rda	reverenda		
	.		
capellan	Capellán		
y	y		
siervo	siervo		
q	que		
S	su		
M	mano		
B	besa		
	,		
fr	fray		
Ju	Juan		
de	de		
Almagro	Almagro		
de	de		
S	San		
Yldefonso	Ildefonso		
mi	Mi		
Rdo	reverendo		
Pe	padre		
Prior	prior		
	.		
