quinçe	Quince	Z	15
dias	días	NCMP000	día
ha	ha	VMIP3S0	haber
que	que	CS	que
estoi	estoy	VMIP1S0	estar
en	en	SPS00	en
el	el	DA0MS0	el
convento	convento	NCMS000	convento
y	y	CC	y
no	no	RN	no
he	he	VAIP1S0	haber
salido	salido	VMP0000	salir
a	a	SPS00	a
la	la	DA0FS0	el
çiudad	ciudad	NCFS000	ciudad
ni	ni	CC	ni
saldre	saldré	VMIF1S0	salir
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
mas	más	RC	más
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
bien	bien	RG	bien
puedes	puedes	VMIP2S0	poder
vivir	vivir	VMN0000	vivir
descuidada	descuidada	NCFS000	descuidado
,	,	Fc	,
porque	porque	CS	porque
tanpoco	tampoco	RG	tampoco
io	yo	PP1CSN00	yo
he	he	VAIP1S0	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
licençia	licencia	NCFS000	licencia
por	por	SPS00	por
quitar	quitar	VMN0000	quitar
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
.	.	Fp	.
de	De	SPS00	de
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
ultima	última	AO0FS0	último
no	no	RN	no
he	he	VAIP1S0	haber
savido	sabido	VMP0000	saber
nada	nada	PI0NN00N	nada
porque	porque	CS	porque
el	el	DA0MS0	el
Prior	prior	NCMS000	prior
no	no	RN	no
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
llamado	llamado	VMP0000	llamar
como	como	CS	como
quando	cuando	PA000000	cuando
es	es	VSIP3S0	ser
otra	otra	PI0FS000	otro
;	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
encargo	encargo	VMIP1S0	encargar
es	es	VSIP3S0	ser
que	que	CS	que
no	no	RN	no
lo	lo	PP3CNA00	lo
dejes	dejes	VMSP2S0	dejar
de	de	SPS00	de
la	la	DA0FS0	el
mano	mano	NCFS000	mano
porque	porque	CS	porque
inporta	importa	VMIP3S0	importar
	,	Fc	,
porque	porque	CS	porque
esta	está	VMIP3S0	estar
