Al	Al	SPS00+DA0MS0	a+el
Rdo	reverendo	NP00000	reverendo
padre	padre	NP00000	padre
N	nuestro	DP1MSP	nuestro
prior	prior	NCMS000	prior
	.	Fp	.
ya	Ya	RG	ya
por	por	SPS00	por
unas	unas	DI0FP0	uno
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
Me	me	PP1CS000	me
Diçen	dicen	VMIP3P0	decir
embiaron	enviaron	VMIS3P0	enviar
A	a	SPS00	a
va	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
habra	habrá	VAIF3S0	haber
echo	hecho	VMP0000	hacer
juicio	juicio	NCMS000	juicio
que	que	CS	que
es	es	VSIP3S0	ser
falso	falso	AQ0MS0	falso
el	el	DA0MS0	el
primer	primer	AO0MS0	primero
punto	punto	NCMS000	punto
	;	Fx	;
y	y	CC	y
Me	me	PP1CS000	me
Alegrara	alegrará	VMIF3S0	alegrar
saber	saber	VMN0000	saber
la	la	DA0FS0	el
sustançia	sustancia	NCFS000	sustancia
para	para	SPS00	para
conbençer	convencer	VMN0000	convencer
A	a	SPS00	a
este	este	DD0MS0	este
Demonio	demonio	NCMS000	demonio
,	.	Fp	.
en	En	SPS00	en
el	el	DA0MS0	el
segundo	segundo	AO0MS0	segundo
punto	punto	NCMS000	punto
Me	me	PP1CS000	me
Dice	dice	VMIP3S0	decir
de	de	SPS00	de
çierto	cierto	AQ0MS0	cierto
su	su	DP3CS0	su
Ama	ama	NCFS000	amo
que	que	CS	que
las	las	DA0FP0	el
criadas	criadas	NCFP000	criado
que	que	CS	que
oi	hoy	RG	hoy
tiene	tiene	VMIP3S0	tener
No	no	RN	no
se	se	P00CN000	se
An	han	VAIP3P0	haber
confessado	confesado	VMP0000	confesar
Asta	hasta	SPS00	hasta
ora	ahora	RG	ahora
en	en	SPS00	en
este	este	DD0MS0	este
lugar	lugar	NCMS000	lugar
	,	Fc	,
que	que	CS	que
una	una	DI0FS0	uno
que	que	PR0CN000	que
despidio	despidió	VMIS3S0	despedir
Abra	habrá	VMIF3S0	haber
quatro	cuatro	Z	4
semanas	semanas	NCFP000	semana
se	se	P00CN000	se
confessaba	confesaba	VMII0S0	confesar
con	con	SPS00	con
el	el	DA0MS0	el
Merçenario	mercenario	NCMS000	mercenario
	,	Fc	,
conque	conque	CS	conque
etta	etc	NCMS000	etcétera
	.	Fp	.
Asi	Así	RG	así
	,	Fc	,
Me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
conbeniente	conveniente	AQ0CS0	conveniente
que	que	CS	que
por	por	SPS00	por
el	el	DA0MS0	el
credito	crédito	NCMS000	crédito
de	de	SPS00	de
esse	ese	DD0MS0	ese
pobre	pobre	AQ0CS0	pobre
fraile	fraile	NCMS000	fraile
va	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
le	le	PP3CSD00	le
embie	envíe	VMSP0S0	enviar
quanto	cuanto	PA000000	cuanto
Ante	antes	RG	antes
	,	Fc	,
que	que	CS	que
creo	creo	VMIP1S0	creer
que	que	CS	que
viniendo	viniendo	VMG0000	venir
A	ha	VMIP3S0	haber
de	de	SPS00	de
cesar	cesar	VMN0000	cesar
todo	todo	PI0MS000	todo
	.	Fp	.
y	Y	CC	y
A	a	SPS00	a
Dios	Dios	NP00000	dios
que	que	CS	que
gde	guarde	VMSP0S0	guardar
A	a	SPS00	a
va	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
	.	Fp	.
tembleque	Tembleque	NP00000	tembleque
	,	Fc	,
y	y	CC	y
setiembe	septiembre	NCMS000	septiembre
30	30	Z	30
de	de	SPS00	de
89	89	Z	89
	.	Fp	.
Mui	Muy	RQ	muy
Afecto	afecto	NCMS000	afecto
subdito	súbdito	NCMS000	súbdito
de	de	SPS00	de
va	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
q	que	CS	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
B	besa	VMIP3S0	besar
	,	Fc	,
fr	fray	NP00000	fray
franco	Francisco	NP00000	francisco
fz	Fernández	NP00000	fernández
Monesterio	Monasterio	NCMS000	monasterio
